,Ticker symbol
0,ENI.MI
1,ISP.MI
2,TIT.MI
3,US.MI
4,LDO.MI
5,UCG.MI
6,PST.MI
7,A2A.MI
8,SRS.MI
9,FCT.MI
10,BAMI.MI
11,G.MI
12,UNIR.MI
13,PRT.MI
14,BPE.MI
15,BMPS.MI
16,TRN.MI
17,SPM.MI
18,01913.MI
19,SAL.MI
20,DAN.MI
21,OVS.MI
22,MARR.MI
23,HER.MI
24,PIA.MI
25,BRE.MI
26,MB.MI
27,CE.MI
28,BPSO.MI
29,09638.MI
30,INW.MI
31,ENAV.MI
32,FBK.MI
33,AVIO.MI
34,BGN.MI
35,REY.MI
36,DIA.MI
37,ECNL.MI
38,SFER.MI
39,TOD.MI
40,BSS.MI
41,RCS.MI
42,OJM.MI
43,REC.MI
44,SL.MI
45,BMED.MI
46,BDB.MI
47,BZU.MI
48,TGYM.MI
49,GEO.MI
50,BC.MI
51,ELC.MI
52,NTZ.MI
53,COM.MI
54,IF.MI
55,IRC.MI
56,TPRO.MI
57,MONC.MI
58,SOL.MI
59,CLI.MI
60,ZV.MI
61,SIT.MI
62,SRG.MI
63,AMP.MI
64,IRE.MI
65,RWAY.MI
66,BFF.MI
67,GPI.MI
68,CRL.MI
69,SRI.MI
70,EVS.MI
71,S24.MI
72,TISG.MI
73,PRI.MI
74,FF.MI
75,ILTY.MI
76,ACE.MI
77,XPR.MI
78,NWL.MI
79,EM.MI
80,SAB.MI
81,DOV.MI
82,IE.MI
83,ALMEX.MI
84,LR.MI
85,YRM.MI
86,CMB.MI
87,ENEL.MI
88,INDB.MI
89,IGD.MI
90,ELN.MI
91,AEF.MI
92,IP.MI
93,BIA.MI
94,PVN.MI
95,MT.MI
96,IG.MI
97,ALA.MI
98,CELL.MI
99,BST.MI
100,VLS.MI
101,GVS.MI
102,BE.MI
103,TES.MI
104,LUVE.MI
105,POR.MI
106,EDAC.MI
107,AV.MI
108,FILA.MI
109,GTH.MI
110,IOT.MI
111,FAR.MI
112,RAT.MI
113,ZUC.MI
114,NET.MI
115,ICF.MI
116,SOM.MI
117,FNM.MI
118,GBUS.MI
119,GE.MI
120,SG.MI
121,PIRC.MI
122,SPN.MI
123,AUTME.MI
124,TSPA.MI
125,PRO.MI
126,FM.MI
127,ENV.MI
128,PQ.MI
129,PHN.MI
130,MASI.MI
131,COSMO.MI
132,NDT.MI
133,LMB.MI
134,ADB.MI
135,ENY.MI
136,SVS.MI
137,OMER.MI
138,ABP.MI
139,MOLD.MI
140,IEG.MI
141,ALK.MI
142,CLF.MI
143,ALKER.MI
144,TYA.MI
145,STAR7.MI
146,ICOS.MI
147,PTR.MI
148,PINF.MI
149,1TIME.MI
150,SEB.MI
151,CSP.MI
152,GML.MI
153,MN.MI
154,SIO.MI
155,ITD.MI
156,GM.MI
157,MARP.MI
158,VIM.MI
159,FPE.MI
160,OSA.MI
161,TXT.MI
162,ERG.MI
163,G.COM.MI
164,CML.MI
165,STVN.MI
166,MNL.MI
167,RAD.MI
168,UD.MI
169,PMT.MI
170,BEC.MI
171,FNL.MI
172,MDC.MI
173,RFG.MI
174,SEIF.MI
175,DAL.MI
176,SCK.MI
177,PWS.MI
178,SIAV.MI
179,CFV.MI
180,CFL.MI
181,FIRE.MI
182,AIW.MI
183,WIIT.MI
184,S3D.MI
185,ILP.MI
186,ENT.MI
187,HI.MI
188,CLA.MI
189,NUSCO.MI
190,RETI.MI
191,ESAU.MI
192,LFG.MI
193,COV.MI
194,ATON.MI
195,MTV.MI
196,FVI.MI
197,IGV.MI
198,MAIL.MI
199,EXSY.MI
200,GRAL.MI
201,ILLA.MI
202,LON.MI
203,IMP.MI
204,DOX.MI
205,FNX.MI
206,TKO.MI
207,PLT.MI
208,TPS.MI
209,ECK.MI
210,ACO.MI
211,ACQ.MI
212,GEL.MI
213,SOU.MI
214,FCM.MI
215,CVG.MI
216,ELES.MI
217,PRL.MI
218,RLT.MI
219,EVA.MI
220,GGTV.MI
221,NPI.MI
222,POZ.MI
223,TER.MI
224,ETH.MI
225,TD.MI
226,CY4.MI
227,GF.MI
228,DLG.MI
229,MFT.MI
230,FDA.MI
231,CNS.MI
232,ASC.MI
233,PRM.MI
234,NVP.MI
235,SCF.MI
236,STG.MI
237,CULT.MI
238,DGT.MI
239,FARM.MI
240,HQF.MI
241,AED.MI
242,TFI.MI
243,SES.MI
244,KIP.MI
245,ABTG.MI
246,SSL.MI
247,MAPS.MI
248,LDB.MI
249,GAMB.MI
250,NSP.MI
251,FKR.MI
252,TNX.MI
253,BLUE.MI
254,BELL.MI
255,WEB.MI
256,TCM.MI
257,IB.MI
258,DIB.MI
259,ABT.MI
260,COP.MI
261,SO.MI
262,1CALL.MI
263,GAB.MI
264,MED.MI
265,JUVE.MI
266,REEVO.MI
267,CYB.MI
268,VTY.MI
269,FOS.MI
270,JNX.MI
271,VNT.MI
272,SCM.MI
273,TIP.MI
274,DIG.MI
275,GIS.MI
276,AGL.MI
277,NWRN.MI
278,ART.MI
279,TB.MI
280,PSA.MI
281,LVEN.MI
282,CLE.MI
283,YSFT.MI
284,CAI.MI
285,BIRO.MI
286,SBB.MI
287,PFI.MI
288,DGV.MI
289,ERFO.MI
290,GO.MI
291,ICC.MI
292,BCM.MI
293,GHC.MI
294,SIF.MI
295,TMP.MI
296,SERI.MI
297,OS.MI
298,VE.MI
299,ALF.MI
300,ABS.MI
301,GSP.MI
302,REN.MI
303,CBB.MI
304,TIS.MI
305,MOL.MI
306,FCH.MI
307,AMB.MI
308,DBA.MI
309,TLS.MI
310,CIRC.MI
311,TWL.MI
312,PHIL.MI
313,AGP.MI
314,FTC.MI
315,BAN.MI
316,PLC.MI
317,DM.MI
318,TNXT.MI
319,EPR.MI
320,SGC.MI
321,ORS.MI
322,INC.MI
323,AZM.MI
324,RKT.MI
325,YIV.MI
326,RN.MI
327,CASA.MI
328,YOLO.MI
329,DATA.MI
330,BFG.MI
331,FDE.MI
332,IWB.MI
333,MTS.MI
334,CFM.MI
335,CALT.MI
336,BRI.MI
337,MLLAB.MI
338,ESI.MI
339,SFL.MI
340,ITM.MI
341,UNI.MI
342,AC5.MI
343,BO.MI
344,DEA.MI
345,CNP.MI
346,ITW.MI
347,MLMCE.MI
348,CIR.MI
349,SHE.MI
350,SOS.MI
351,ALMTH.MI
352,B.MI
353,U24.MI
354,TTT.MI
355,NTW.MI
356,IMS.MI
357,MIT.MI
358,CED.MI
359,WMC.MI
360,FUL.MI
361,GSR.MI
362,CIA.MI
363,UBM.MI
364,CREG.MI
365,MLAZL.MI
366,DOT.MI
367,OLI.MI
368,EFIN.MI
369,MLSMP.MI
370,IKG.MI
371,IIG.MI
372,DHH.MI
373,HZY.MI
374,FHR.MI
375,EUK.MI
376,MLGLA.MI
377,RDF.MI
378,RST.MI
379,DTH.MI
380,VIA.MI
381,GNTA.MI
382,BIE.MI
383,MLITN.MI
384,CHL.MI
385,CDG.MI
386,ISC.MI
387,MEC.MI
388,NR.MI
389,LMG.MI
390,KI.MI
391,CARE.MI
392,EEMS.MI
393,REVO.MI
394,EPS2.MI
395,IDM.MI
396,GEQ.MI
397,SPTV.MI
398,DIT.MI
399,NEXI.MI
400,AGA.MI
401,4AIM.MI
402,EQUI.MI
403,MLEBX.MI
404,CDR.MI
405,FIC.MI
406,ANIM.MI
407,PRY.MI
408,DNR.MI
409,ARN.MI
410,POPR.MI
411,MON.MI
412,IN4.MI
