,A2A.MI,A2A.MI,A2A.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,EUR,EUR,EUR
AccountsPayable,1478000000.0,1549000000.0,2886000000.0
AccountsReceivable,756000000.0,831000000.0,1124000000.0
AccumulatedDepreciation,-6196000000.0,-6541000000.0,-7115000000.0
AvailableForSaleSecurities,27000000.0,36000000.0,64000000.0
CapitalLeaseObligations,142000000.0,110000000.0,112000000.0
CapitalStock,1629000000.0,1629000000.0,1629000000.0
CashAndCashEquivalents,434000000.0,1012000000.0,964000000.0
CashCashEquivalentsAndShortTermInvestments,444000000.0,1023000000.0,973000000.0
CommonStock,1629000000.0,1629000000.0,1629000000.0
CommonStockEquity,3289000000.0,3537000000.0,3760000000.0
CurrentAssets,3110000000.0,3953000000.0,8587000000.0
CurrentCapitalLeaseObligation,25000000.0,21000000.0,23000000.0
CurrentDebt,279000000.0,567000000.0,723000000.0
CurrentDebtAndCapitalLeaseObligation,304000000.0,588000000.0,746000000.0
CurrentLiabilities,2635000000.0,3011000000.0,8148000000.0
DerivativeProductLiabilities,9000000.0,19000000.0,11000000.0
FinancialAssets,2000000.0,0.0,
Goodwill,374000000.0,426000000.0,746000000.0
GoodwillAndOtherIntangibleAssets,2379000000.0,2737000000.0,3125000000.0
GrossAccountsReceivable,756000000.0,831000000.0,1124000000.0
GrossPPE,11065000000.0,11703000000.0,12703000000.0
HedgingAssetsCurrent,371000000.0,426000000.0,3737000000.0
Inventory,184000000.0,139000000.0,204000000.0
InvestedCapital,6758000000.0,7924000000.0,8716000000.0
InvestmentinFinancialAssets,27000000.0,36000000.0,64000000.0
LiabilitiesHeldforSaleNonCurrent,0.0,14000000.0,15000000.0
LongTermCapitalLeaseObligation,117000000.0,89000000.0,89000000.0
LongTermDebt,3190000000.0,3820000000.0,4233000000.0
LongTermDebtAndCapitalLeaseObligation,3307000000.0,3909000000.0,4322000000.0
LongTermEquityInvestment,38000000.0,17000000.0,33000000.0
LongTermProvisions,676000000.0,752000000.0,797000000.0
MinorityInterest,362000000.0,579000000.0,543000000.0
NetDebt,3035000000.0,3375000000.0,3992000000.0
NetPPE,4869000000.0,5162000000.0,5588000000.0
NetTangibleAssets,910000000.0,800000000.0,635000000.0
NonCurrentDeferredRevenue,,72000000.0,92000000.0
NonCurrentDeferredTaxesAssets,277000000.0,265000000.0,424000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,307000000.0,278000000.0,294000000.0
OrdinarySharesNumber,3109183856.0,3109183856.0,3070459934.0
OtherCurrentAssets,1000000.0,1000000.0,1000000.0
OtherCurrentLiabilities,9000000.0,9000000.0,10000000.0
OtherIntangibleAssets,2005000000.0,2311000000.0,2379000000.0
OtherInventories,4000000.0,9000000.0,8000000.0
OtherNonCurrentAssets,23000000.0,28000000.0,25000000.0
OtherNonCurrentLiabilities,140000000.0,52000000.0,23000000.0
OtherPayable,385000000.0,405000000.0,682000000.0
OtherReceivables,1238000000.0,1377000000.0,2386000000.0
OtherShortTermInvestments,10000000.0,11000000.0,9000000.0
Payables,1942000000.0,2011000000.0,3684000000.0
PrepaidAssets,39000000.0,27000000.0,42000000.0
RawMaterials,180000000.0,130000000.0,196000000.0
RetainedEarnings,389000000.0,364000000.0,504000000.0
ShareIssued,3132905277.0,3132905277.0,3132905277.0
StockholdersEquity,3289000000.0,3537000000.0,3760000000.0
TangibleBookValue,910000000.0,800000000.0,635000000.0
TaxesReceivable,77000000.0,129000000.0,120000000.0
TotalAssets,10725000000.0,12226000000.0,18008000000.0
TotalCapitalization,6479000000.0,7357000000.0,7993000000.0
TotalDebt,3611000000.0,4497000000.0,5068000000.0
TotalEquityGrossMinorityInterest,3651000000.0,4116000000.0,4303000000.0
TotalLiabilitiesNetMinorityInterest,7074000000.0,8110000000.0,13705000000.0
TotalNonCurrentAssets,7615000000.0,8273000000.0,9421000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,4439000000.0,5099000000.0,5557000000.0
TotalTaxPayable,79000000.0,57000000.0,116000000.0
TradeandOtherPayablesNonCurrent,,3000000.0,3000000.0
TreasurySharesNumber,23721421.0,23721421.0,62445343.0
TreasuryStock,54000000.0,54000000.0,0.0
WorkingCapital,475000000.0,942000000.0,439000000.0
