,AA,AA,AA,AA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,1484000000.0,1403000000.0,1674000000.0,1757000000.0
AccountsReceivable,546000000.0,471000000.0,757000000.0,778000000.0
AccumulatedDepreciation,-13799000000.0,-13332000000.0,-13130000000.0,-13112000000.0
AdditionalPaidInCapital,9639000000.0,9663000000.0,9577000000.0,9183000000.0
AssetsHeldForSaleCurrent,,648000000.0,0.0,
CapitalLeaseObligations,100000000.0,82000000.0,64000000.0,
CapitalStock,2000000.0,2000000.0,2000000.0,2000000.0
CashAndCashEquivalents,879000000.0,1607000000.0,1814000000.0,1363000000.0
CashCashEquivalentsAndShortTermInvestments,879000000.0,1607000000.0,1814000000.0,1363000000.0
CommonStock,2000000.0,2000000.0,2000000.0,2000000.0
CommonStockEquity,4112000000.0,3311000000.0,4672000000.0,5058000000.0
ConstructionInProgress,321000000.0,335000000.0,288000000.0,
CurrentAssets,3530000000.0,4520000000.0,5026000000.0,5250000000.0
CurrentDebt,1000000.0,2000000.0,76000000.0,1000000.0
CurrentDebtAndCapitalLeaseObligation,1000000.0,2000000.0,76000000.0,1000000.0
CurrentLiabilities,2563000000.0,2761000000.0,3223000000.0,3004000000.0
DefinedPensionBenefit,33000000.0,,164000000.0,
DerivativeProductLiabilities,581000000.0,742000000.0,1048000000.0,1026000000.0
EmployeeBenefits,2364000000.0,2352000000.0,1187000000.0,732000000.0
FinancialAssets,18000000.0,0.0,7000000.0,2000000.0
FinishedGoods,305000000.0,321000000.0,538000000.0,
GainsLossesNotAffectingRetainedEarnings,-4974000000.0,-5629000000.0,-4592000000.0,-3578000000.0
Goodwill,150000000.0,145000000.0,144000000.0,
GoodwillAndOtherIntangibleAssets,202000000.0,190000000.0,180000000.0,
GrossPPE,21715000000.0,20522000000.0,19753000000.0,19605000000.0
HedgingAssetsCurrent,59000000.0,21000000.0,14000000.0,134000000.0
Inventory,1644000000.0,1398000000.0,1956000000.0,2427000000.0
InvestedCapital,5912000000.0,5776000000.0,6474000000.0,6865000000.0
InvestmentsAndAdvances,1113000000.0,1051000000.0,1199000000.0,1143000000.0
LandAndImprovements,333000000.0,320000000.0,264000000.0,
LongTermCapitalLeaseObligation,100000000.0,82000000.0,64000000.0,
LongTermDebt,1799000000.0,2463000000.0,1726000000.0,1806000000.0
LongTermDebtAndCapitalLeaseObligation,1899000000.0,2545000000.0,1790000000.0,1806000000.0
LongTermProvisions,902000000.0,918000000.0,957000000.0,937000000.0
MachineryFurnitureEquipment,12935000000.0,12117000000.0,11676000000.0,
MinorityInterest,1774000000.0,1705000000.0,1612000000.0,1514000000.0
NetDebt,921000000.0,858000000.0,,444000000.0
NetPPE,7916000000.0,7190000000.0,6623000000.0,6493000000.0
NetTangibleAssets,3910000000.0,3121000000.0,4492000000.0,5058000000.0
