,AAC,AAC
asOfDate,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M
currencyCode,USD,USD
AdditionalPaidInCapital,22499.0,0.0
CapitalStock,2501.0,1000002500.0
CashAndCashEquivalents,,749510.0
CashCashEquivalentsAndShortTermInvestments,,749510.0
CashFinancial,,749510.0
CommonStock,2501.0,1000002500.0
CommonStockEquity,11155.0,931342833.0
CurrentAccruedExpenses,364935.0,3476416.0
CurrentAssets,523475.0,1285892.0
CurrentDebt,147385.0,
CurrentDebtAndCapitalLeaseObligation,147385.0,
CurrentDeferredAssets,523475.0,0.0
CurrentLiabilities,512320.0,3523316.0
CurrentNotesPayable,147385.0,0.0
DerivativeProductLiabilities,,31704522.0
DuetoRelatedPartiesCurrent,,46900.0
InvestedCapital,158540.0,931342833.0
NetDebt,147385.0,
NetTangibleAssets,11155.0,931342833.0
NonCurrentDeferredAssets,523475.0,
NonCurrentDeferredLiabilities,,35000000.0
OrdinarySharesNumber,125012500.0,125000000.0
OtherNonCurrentAssets,,1000284779.0
Payables,,46900.0
PayablesAndAccruedExpenses,364935.0,3523316.0
PreferredStock,0.0,0.0
PrepaidAssets,,536382.0
RetainedEarnings,-13845.0,-68659667.0
ShareIssued,125012500.0,125000000.0
StockholdersEquity,11155.0,931342833.0
TangibleBookValue,11155.0,931342833.0
TotalAssets,523475.0,1001570671.0
TotalCapitalization,11155.0,931342833.0
TotalDebt,147385.0,
TotalEquityGrossMinorityInterest,11155.0,931342833.0
TotalLiabilitiesNetMinorityInterest,512320.0,70227838.0
TotalNonCurrentAssets,0.0,1000284779.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,66704522.0
WorkingCapital,11155.0,-2237424.0
