,AACG,AACG,AACG
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,CNY,CNY,CNY
AccountsReceivable,214591.0,2245194.0,938189.0
AccumulatedDepreciation,-34563300.0,-42211063.0,-32924739.0
AdditionalPaidInCapital,560814066.0,541272503.0,540583564.0
BuildingsAndImprovements,53049213.0,53049213.0,53049213.0
CapitalLeaseObligations,20556017.0,40977952.0,40717267.0
CapitalStock,4692312.0,4716675.0,4720147.0
CashAndCashEquivalents,154197758.0,112723433.0,71339361.0
CashCashEquivalentsAndShortTermInvestments,154197758.0,112723433.0,71339361.0
CommonStock,4692312.0,4716675.0,4720147.0
CommonStockEquity,300140073.0,198404863.0,187769092.0
CurrentAccruedExpenses,28743354.0,23711434.0,24755374.0
CurrentAssets,183560151.0,120939600.0,75407150.0
CurrentCapitalLeaseObligation,20556017.0,16972187.0,17351427.0
CurrentDebt,4991000.0,6801000.0,
CurrentDebtAndCapitalLeaseObligation,25547017.0,23773187.0,17351427.0
CurrentDeferredLiabilities,171880131.0,199448112.0,202453092.0
CurrentDeferredRevenue,171880131.0,199448112.0,202453092.0
CurrentLiabilities,264816284.0,274883563.0,267978614.0
DuefromRelatedPartiesCurrent,1960403.0,0.0,
GainsLossesNotAffectingRetainedEarnings,-37478167.0,-37424722.0,-37559847.0
Goodwill,200478795.0,194754963.0,194754963.0
GoodwillAndOtherIntangibleAssets,336078565.0,305341074.0,288107741.0
GrossPPE,117420385.0,122109365.0,111846132.0
IncomeTaxPayable,679961.0,108488.0,22781.0
InvestedCapital,305131073.0,205205863.0,187769092.0
InvestmentsAndAdvances,45726391.0,44000000.0,38000000.0
Leases,14419590.0,17840533.0,8611042.0
LoansReceivable,4126502.0,0.0,
LongTermCapitalLeaseObligation,,24005765.0,23365840.0
LongTermDebtAndCapitalLeaseObligation,,24005765.0,23365840.0
MachineryFurnitureEquipment,9165291.0,9440533.0,7768468.0
MinorityInterest,50391547.0,49341369.0,3130442.0
NetPPE,82857085.0,79898302.0,78921393.0
NetTangibleAssets,-35938492.0,-106936211.0,-100338649.0
NonCurrentDeferredAssets,11464891.0,2491792.0,0.0
NonCurrentDeferredLiabilities,48241809.0,28985472.0,24931322.0
NonCurrentDeferredTaxesAssets,11464891.0,2491792.0,0.0
NonCurrentDeferredTaxesLiabilities,48241809.0,28985472.0,24931322.0
OrdinarySharesNumber,62357078.0,62701002.0,62753840.0
OtherCurrentAssets,8229786.0,4347006.0,2964809.0
OtherCurrentBorrowings,4991000.0,6801000.0,
OtherCurrentLiabilities,18323739.0,23200260.0,23395940.0
OtherIntangibleAssets,135599770.0,110586111.0,93352778.0
OtherNonCurrentAssets,16402750.0,22950264.0,26739026.0
OtherNonCurrentLiabilities,12500120.0,,
OtherPayable,19642082.0,4642082.0,
OtherProperties,40786291.0,41779086.0,42417409.0
OtherReceivables,8530931.0,,
Payables,20322043.0,4750570.0,22781.0
PayablesAndAccruedExpenses,49065397.0,28462004.0,24778155.0
PreferredSecuritiesOutsideStockEquity,44896428.0,48498368.0,
PrepaidAssets,1605908.0,253608.0,14396.0
Properties,0.0,0.0,0.0
Receivables,19526699.0,3615553.0,1088584.0
RetainedEarnings,-200151065.0,-298533669.0,-310156018.0
ShareIssued,62942436.0,63286360.0,63339198.0
StockholdersEquity,300140073.0,198404863.0,187769092.0
TangibleBookValue,-35938492.0,-106936211.0,-100338649.0
TaxesReceivable,4694272.0,1370359.0,150395.0
TotalAssets,676089833.0,575621032.0,507175310.0
TotalCapitalization,300140073.0,198404863.0,187769092.0
TotalDebt,25547017.0,47778952.0,40717267.0
TotalEquityGrossMinorityInterest,350531620.0,247746232.0,190899534.0
TotalLiabilitiesNetMinorityInterest,325558213.0,327874800.0,316275776.0
TotalNonCurrentAssets,492529682.0,454681432.0,431768160.0
TotalNonCurrentLiabilitiesNetMinorityInterest,60741929.0,52991237.0,48297162.0
TotalTaxPayable,679961.0,108488.0,22781.0
TreasurySharesNumber,585358.0,585358.0,585358.0
TreasuryStock,27737073.0,11625924.0,9818754.0
WorkingCapital,-81256133.0,-153943963.0,-192571464.0
