,AACI,AACI
asOfDate,2021-09-30 00:00:00,2022-09-30 00:00:00
periodType,12M,12M
currencyCode,USD,USD
AccountsPayable,93467.0,3137535.0
AdditionalPaidInCapital,1378693.0,941796.0
CapitalStock,150000683.0,150549432.0
CashAndCashEquivalents,657590.0,177578.0
CashCashEquivalentsAndShortTermInvestments,657590.0,177578.0
CashFinancial,657590.0,177578.0
CommonStock,150000683.0,150549432.0
CommonStockEquity,150910477.0,147399535.0
CurrentAccruedExpenses,89889.0,0.0
CurrentAssets,917170.0,239520.0
CurrentDebt,,251754.0
CurrentDebtAndCapitalLeaseObligation,,251754.0
CurrentLiabilities,209027.0,3684910.0
CurrentNotesPayable,,251754.0
IncomeTaxPayable,,145621.0
InvestedCapital,150910477.0,147651289.0
NetDebt,,74176.0
NetTangibleAssets,150910477.0,147399535.0
NonCurrentPrepaidAssets,201282.0,0.0
OrdinarySharesNumber,20709500.0,20709500.0
OtherNonCurrentAssets,150001052.0,150844925.0
Payables,119138.0,3433156.0
PayablesAndAccruedExpenses,209027.0,3433156.0
PreferredStock,0.0,0.0
PrepaidAssets,259580.0,61942.0
RetainedEarnings,-468899.0,-4091693.0
ShareIssued,20709500.0,20709500.0
StockholdersEquity,150910477.0,147399535.0
TangibleBookValue,150910477.0,147399535.0
TotalAssets,151119504.0,151084445.0
TotalCapitalization,150910477.0,147399535.0
TotalDebt,,251754.0
TotalEquityGrossMinorityInterest,150910477.0,147399535.0
TotalLiabilitiesNetMinorityInterest,209027.0,3684910.0
TotalNonCurrentAssets,150202334.0,150844925.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0
TotalTaxPayable,25671.0,295621.0
WorkingCapital,708143.0,-3445390.0
