,AADI,AADI
asOfDate,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M
currencyCode,USD,USD
AccountsPayable,2392000.0,6439000.0
AccountsReceivable,14149000.0,0.0
AdditionalPaidInCapital,20161000.0,279089000.0
CapitalLeaseObligations,125000.0,605000.0
CapitalStock,2000.0,2000.0
CashAndCashEquivalents,4455000.0,148989000.0
CashCashEquivalentsAndShortTermInvestments,4455000.0,148989000.0
CommonStock,1000.0,2000.0
CommonStockEquity,-12433000.0,136406000.0
CurrentAccruedExpenses,4099000.0,8445000.0
CurrentAssets,18685000.0,151272000.0
CurrentCapitalLeaseObligation,125000.0,131000.0
CurrentDebt,9029000.0,
CurrentDebtAndCapitalLeaseObligation,9154000.0,131000.0
CurrentLiabilities,30058000.0,15273000.0
DuetoRelatedPartiesCurrent,14314000.0,258000.0
DuetoRelatedPartiesNonCurrent,0.0,5757000.0
GoodwillAndOtherIntangibleAssets,0.0,3811000.0
GrossPPE,140000.0,614000.0
InvestedCapital,-2302000.0,136406000.0
LongTermCapitalLeaseObligation,0.0,474000.0
LongTermDebt,1102000.0,
LongTermDebtAndCapitalLeaseObligation,1102000.0,474000.0
NetDebt,5676000.0,
NetPPE,140000.0,614000.0
NetTangibleAssets,-12432000.0,132595000.0
OrdinarySharesNumber,20838292.0,20894695.0
OtherCurrentBorrowings,9029000.0,
OtherCurrentLiabilities,99000.0,
OtherIntangibleAssets,,3811000.0
OtherNonCurrentAssets,,2213000.0
OtherNonCurrentLiabilities,97000.0,
OtherProperties,140000.0,614000.0
Payables,16706000.0,6697000.0
PayablesAndAccruedExpenses,20805000.0,15142000.0
PreferredStock,1000.0,0.0
PreferredStockEquity,1000.0,
PrepaidAssets,81000.0,2283000.0
Receivables,14149000.0,0.0
RetainedEarnings,-32595000.0,-142685000.0
ShareIssued,20838292.0,20894695.0
StockholdersEquity,-12432000.0,136406000.0
TangibleBookValue,-12433000.0,132595000.0
TotalAssets,18825000.0,157910000.0
TotalCapitalization,-11330000.0,136406000.0
TotalDebt,10256000.0,605000.0
TotalEquityGrossMinorityInterest,-12432000.0,136406000.0
TotalLiabilitiesNetMinorityInterest,31257000.0,21504000.0
TotalNonCurrentAssets,140000.0,6638000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1199000.0,6231000.0
TradeandOtherPayablesNonCurrent,0.0,0.0
WorkingCapital,-11373000.0,135999000.0
