,AAL,AAL,AAL,AAL
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,2062000000.0,1196000000.0,1772000000.0,2149000000.0
AccountsReceivable,1750000000.0,1342000000.0,1505000000.0,2138000000.0
AccumulatedDepreciation,-18659000000.0,-16757000000.0,-18171000000.0,-20029000000.0
AdditionalPaidInCapital,3945000000.0,6894000000.0,7234000000.0,7291000000.0
AllowanceForDoubtfulAccountsReceivable,-29000000.0,,,
CapitalLeaseObligations,9129000000.0,8428000000.0,8117000000.0,8024000000.0
CapitalStock,4000000.0,6000000.0,6000000.0,6000000.0
CashAndCashEquivalents,280000000.0,245000000.0,273000000.0,440000000.0
CashCashEquivalentsAndShortTermInvestments,3826000000.0,6864000000.0,12431000000.0,8965000000.0
CashFinancial,280000000.0,245000000.0,273000000.0,440000000.0
CommonStock,4000000.0,6000000.0,6000000.0,6000000.0
CommonStockEquity,-118000000.0,-6867000000.0,-7340000000.0,-5799000000.0
ConstructionInProgress,1674000000.0,1446000000.0,517000000.0,613000000.0
CurrentAccruedExpenses,3679000000.0,4135000000.0,4255000000.0,4694000000.0
CurrentAssets,8206000000.0,11095000000.0,17336000000.0,15269000000.0
CurrentCapitalLeaseObligation,1708000000.0,1651000000.0,1507000000.0,1465000000.0
CurrentDebt,2861000000.0,2797000000.0,2489000000.0,3274000000.0
CurrentDebtAndCapitalLeaseObligation,4569000000.0,4448000000.0,3996000000.0,4739000000.0
CurrentDeferredLiabilities,8001000000.0,6790000000.0,8983000000.0,9914000000.0
CurrentDeferredRevenue,8001000000.0,6790000000.0,8983000000.0,9914000000.0
CurrentLiabilities,18311000000.0,16569000000.0,19006000000.0,21496000000.0
EmployeeBenefits,6052000000.0,7069000000.0,5053000000.0,2837000000.0
GainsLossesNotAffectingRetainedEarnings,-6331000000.0,-7103000000.0,-5942000000.0,-4585000000.0
Goodwill,4091000000.0,4091000000.0,4091000000.0,4091000000.0
GoodwillAndOtherIntangibleAssets,6175000000.0,6120000000.0,6079000000.0,6150000000.0
GrossAccountsReceivable,1779000000.0,,,
GrossPPE,62391000000.0,56495000000.0,55558000000.0,58323000000.0
Inventory,1851000000.0,1614000000.0,1795000000.0,2279000000.0
InvestedCapital,24197000000.0,25726000000.0,30720000000.0,29864000000.0
LongTermCapitalLeaseObligation,7421000000.0,6777000000.0,6610000000.0,6559000000.0
LongTermDebt,21454000000.0,29796000000.0,35571000000.0,32389000000.0
LongTermDebtAndCapitalLeaseObligation,28875000000.0,36573000000.0,42181000000.0,38948000000.0
MachineryFurnitureEquipment,1674000000.0,1446000000.0,,
NetDebt,24035000000.0,32348000000.0,37787000000.0,35223000000.0
NetPPE,43732000000.0,39738000000.0,37387000000.0,38294000000.0
NetTangibleAssets,-6293000000.0,-12987000000.0,-13419000000.0,-11949000000.0
NonCurrentDeferredAssets,645000000.0,3239000000.0,3556000000.0,3099000000.0
NonCurrentDeferredLiabilities,5422000000.0,7162000000.0,6239000000.0,5976000000.0
NonCurrentDeferredRevenue,5422000000.0,7162000000.0,6239000000.0,5976000000.0
NonCurrentDeferredTaxesAssets,645000000.0,3239000000.0,3556000000.0,3099000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,6052000000.0,7069000000.0,5053000000.0,2837000000.0
OrdinarySharesNumber,428202506.0,621479522.0,647727595.0,650642461.0
OtherCurrentAssets,,,,892000000.0
OtherCurrentBorrowings,2861000000.0,2797000000.0,2489000000.0,3274000000.0
OtherCurrentLiabilities,4808000000.0,,,
OtherEquityAdjustments,,,,-4585000000.0
OtherIntangibleAssets,2084000000.0,2029000000.0,1988000000.0,2059000000.0
OtherNonCurrentAssets,1237000000.0,1816000000.0,2109000000.0,1904000000.0
OtherNonCurrentLiabilities,1453000000.0,1502000000.0,1328000000.0,1258000000.0
OtherProperties,18180000000.0,17233000000.0,17185000000.0,18007000000.0
OtherShortTermInvestments,3546000000.0,6619000000.0,12158000000.0,8525000000.0
Payables,2062000000.0,1196000000.0,1772000000.0,2149000000.0
PayablesAndAccruedExpenses,5741000000.0,5331000000.0,6027000000.0,6843000000.0
PrepaidAssets,621000000.0,666000000.0,615000000.0,892000000.0
Receivables,1750000000.0,1342000000.0,1505000000.0,2138000000.0
RestrictedCash,158000000.0,609000000.0,990000000.0,995000000.0
RetainedEarnings,2264000000.0,-6664000000.0,-8638000000.0,-8511000000.0
ShareIssued,428202506.0,621479522.0,647727595.0,650642461.0
StockholdersEquity,-118000000.0,-6867000000.0,-7340000000.0,-5799000000.0
TangibleBookValue,-6293000000.0,-12987000000.0,-13419000000.0,-11949000000.0
TotalAssets,59995000000.0,62008000000.0,66467000000.0,64716000000.0
TotalCapitalization,21336000000.0,22929000000.0,28231000000.0,26590000000.0
TotalDebt,33444000000.0,41021000000.0,46177000000.0,43687000000.0
TotalEquityGrossMinorityInterest,-118000000.0,-6867000000.0,-7340000000.0,-5799000000.0
TotalLiabilitiesNetMinorityInterest,60113000000.0,68875000000.0,73807000000.0,70515000000.0
TotalNonCurrentAssets,51789000000.0,50913000000.0,49131000000.0,49447000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,41802000000.0,52306000000.0,54801000000.0,49019000000.0
WorkingCapital,-10105000000.0,-5474000000.0,-1670000000.0,-6227000000.0
