,AAMC,AAMC,AAMC
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,USD,USD,USD
AccountsPayable,1328000.0,9152000.0,3465000.0
AccountsReceivable,5014000.0,3414000.0,0.0
AdditionalPaidInCapital,44646000.0,46574000.0,143523000.0
AssetsHeldForSaleCurrent,,894000.0,0.0
CapitalLeaseObligations,4483000.0,675000.0,859000.0
CapitalStock,29000.0,30000.0,34000.0
CashAndCashEquivalents,19965000.0,41623000.0,78349000.0
CashCashEquivalentsAndShortTermInvestments,40528000.0,88978000.0,78349000.0
CommonStock,29000.0,30000.0,34000.0
CommonStockEquity,-207928000.0,-166578000.0,-76528000.0
CurrentAccruedExpenses,5407000.0,2539000.0,983000.0
CurrentAssets,47151000.0,96614000.0,80186000.0
CurrentCapitalLeaseObligation,265000.0,75000.0,139000.0
CurrentDebtAndCapitalLeaseObligation,265000.0,75000.0,139000.0
CurrentLiabilities,7000000.0,13104000.0,4587000.0
GainsLossesNotAffectingRetainedEarnings,-33000.0,-65000.0,54000.0
GrossPPE,4339000.0,656000.0,825000.0
InvestedCapital,-207928000.0,-166578000.0,-76528000.0
LiabilitiesHeldforSaleNonCurrent,,1599000.0,0.0
LongTermCapitalLeaseObligation,4218000.0,600000.0,720000.0
LongTermDebtAndCapitalLeaseObligation,4218000.0,600000.0,720000.0
NetPPE,4339000.0,656000.0,825000.0
NetTangibleAssets,-207928000.0,-166578000.0,-76528000.0
OrdinarySharesNumber,1598512.0,1650212.0,2055561.0
OtherCurrentLiabilities,,1338000.0,
OtherNonCurrentAssets,1758000.0,2482000.0,465000.0
OtherNonCurrentLiabilities,,1027000.0,2697000.0
OtherProperties,4339000.0,656000.0,825000.0
OtherShortTermInvestments,20563000.0,47355000.0,0.0
Payables,1328000.0,9152000.0,3465000.0
PayablesAndAccruedExpenses,6735000.0,11691000.0,4448000.0
PreferredSecuritiesOutsideStockEquity,249958000.0,250000000.0,150000000.0
PrepaidAssets,1609000.0,3328000.0,1837000.0
Receivables,5014000.0,3414000.0,0.0
RetainedEarnings,23662000.0,63426000.0,57450000.0
ShareIssued,2897177.0,2966207.0,3416541.0
StockholdersEquity,-207928000.0,-166578000.0,-76528000.0
TangibleBookValue,-207928000.0,-166578000.0,-76528000.0
TotalAssets,53248000.0,99752000.0,81476000.0
TotalCapitalization,-207928000.0,-166578000.0,-76528000.0
TotalDebt,4483000.0,675000.0,859000.0
TotalEquityGrossMinorityInterest,-207928000.0,-166578000.0,-76528000.0
TotalLiabilitiesNetMinorityInterest,261176000.0,266330000.0,158004000.0
TotalNonCurrentAssets,6097000.0,3138000.0,1290000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,254176000.0,253226000.0,153417000.0
TreasurySharesNumber,1298665.0,1315995.0,1360980.0
TreasuryStock,276232000.0,276543000.0,277589000.0
WorkingCapital,40151000.0,83510000.0,75599000.0
