,AAME,AAME,AAME
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,USD,USD,USD
AccountsReceivable,45269000.0,56598000.0,42375000.0
AdditionalPaidInCapital,57820000.0,57437000.0,57441000.0
CapitalStock,22456000.0,22456000.0,22456000.0
CashAndCashEquivalents,12893000.0,19319000.0,24753000.0
CashCashEquivalentsAndShortTermInvestments,245365000.0,273425000.0,285739000.0
CommonStock,22401000.0,22401000.0,22401000.0
CommonStockEquity,118339000.0,145005000.0,141231000.0
GainsLossesNotAffectingRetainedEarnings,10459000.0,25000000.0,17688000.0
GoodwillAndOtherIntangibleAssets,2544000.0,2544000.0,2544000.0
InvestedCapital,152077000.0,178743000.0,174969000.0
InvestmentsAndAdvances,256632000.0,274060000.0,281348000.0
InvestmentsInOtherVenturesUnderEquityMethod,1238000.0,1238000.0,1238000.0
LongTermDebt,33738000.0,33738000.0,33738000.0
LongTermDebtAndCapitalLeaseObligation,33738000.0,33738000.0,33738000.0
LongTermEquityInvestment,1238000.0,1238000.0,1238000.0
NetDebt,20845000.0,14419000.0,8985000.0
NetTangibleAssets,115850000.0,142516000.0,138742000.0
NonCurrentDeferredLiabilities,,1301000.0,
NonCurrentDeferredTaxesLiabilities,,1301000.0,
OrdinarySharesNumber,20472162.0,20415243.0,20378576.0
OtherEquityInterest,-781000.0,-284000.0,-73000.0
OtherShortTermInvestments,232472000.0,254106000.0,260986000.0
PayablesAndAccruedExpenses,23588000.0,26412000.0,25465000.0
PreferredSharesNumber,55000.0,55000.0,55000.0
PreferredStock,55000.0,55000.0,55000.0
PreferredStockEquity,55000.0,55000.0,55000.0
Receivables,45269000.0,56598000.0,42375000.0
RetainedEarnings,36020000.0,47790000.0,51264000.0
ShareIssued,22400894.0,22400894.0,22400894.0
StockholdersEquity,118394000.0,145060000.0,141286000.0
TangibleBookValue,115795000.0,142461000.0,138687000.0
TotalAssets,377626000.0,405187000.0,402286000.0
TotalCapitalization,152132000.0,178798000.0,175024000.0
TotalDebt,33738000.0,33738000.0,33738000.0
TotalEquityGrossMinorityInterest,118394000.0,145060000.0,141286000.0
TotalLiabilitiesNetMinorityInterest,259232000.0,260127000.0,261000000.0
TreasurySharesNumber,1928732.0,1985651.0,2022318.0
TreasuryStock,7580000.0,7339000.0,7490000.0
