,AAN,AAN,AAN,AAN
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,80173000.0,84566000.0,83118000.0,106966000.0
AccountsReceivable,37079000.0,33990000.0,29443000.0,38191000.0
AccumulatedDepreciation,-283664000.0,-310563000.0,-250691000.0,-281980000.0
AdditionalPaidInCapital,,708668000.0,724384000.0,738428000.0
AllowanceForDoubtfulAccountsReceivable,-10720000.0,-7613000.0,-7163000.0,-8895000.0
AssetsHeldForSaleCurrent,10131000.0,8956000.0,1550000.0,1857000.0
BuildingsAndImprovements,54923000.0,51841000.0,53732000.0,43309000.0
CapitalLeaseObligations,338477000.0,279789000.0,309834000.0,496401000.0
CapitalStock,837800000.0,17550000.0,17779000.0,18050000.0
CashAndCashEquivalents,48773000.0,76123000.0,22832000.0,27716000.0
CashCashEquivalentsAndShortTermInvestments,48773000.0,76123000.0,22832000.0,27716000.0
CommonStock,837800000.0,17550000.0,17779000.0,18050000.0
CommonStockEquity,837781000.0,711325000.0,718166000.0,695402000.0
ConstructionInProgress,4483000.0,8014000.0,21035000.0,15080000.0
CurrentAccruedExpenses,119294000.0,123257000.0,138798000.0,133047000.0
CurrentAssets,938876000.0,843279000.0,844217000.0,883457000.0
CurrentDebt,,,10000000.0,
CurrentDebtAndCapitalLeaseObligation,,,10000000.0,
CurrentDeferredLiabilities,47692000.0,68894000.0,66289000.0,73196000.0
CurrentDeferredRevenue,47692000.0,68894000.0,66289000.0,73196000.0
CurrentLiabilities,268288000.0,299742000.0,310959000.0,337239000.0
FinishedGoods,781598000.0,697235000.0,772154000.0,789759000.0
GainsLossesNotAffectingRetainedEarnings,-19000.0,-797000.0,-739000.0,-1396000.0
Goodwill,447781000.0,7569000.0,13134000.0,54710000.0
GoodwillAndOtherIntangibleAssets,462015000.0,16666000.0,18229000.0,173238000.0
GrossAccountsReceivable,47799000.0,41603000.0,36606000.0,47086000.0
GrossPPE,796222000.0,749018000.0,759711000.0,1009387000.0
Inventory,781598000.0,697235000.0,772154000.0,789759000.0
InvestedCapital,1176141000.0,711325000.0,728166000.0,937815000.0
LandAndImprovements,16427000.0,14588000.0,16348000.0,11740000.0
Leases,75762000.0,77278000.0,82010000.0,134312000.0
LineOfCredit,0.0,,10000000.0,
LongTermCapitalLeaseObligation,338477000.0,279789000.0,309834000.0,496401000.0
LongTermDebt,338360000.0,831000.0,10000000.0,242413000.0
LongTermDebtAndCapitalLeaseObligation,676837000.0,279789000.0,319834000.0,738814000.0
MachineryFurnitureEquipment,336680000.0,358056000.0,308461000.0,344996000.0
NetDebt,289587000.0,,,214697000.0
NetPPE,512558000.0,438455000.0,509020000.0,727407000.0
NetTangibleAssets,375766000.0,694659000.0,699937000.0,522164000.0
NonCurrentDeferredAssets,3439000.0,7014000.0,7994000.0,16277000.0
NonCurrentDeferredLiabilities,157425000.0,62601000.0,92306000.0,87008000.0
NonCurrentDeferredTaxesAssets,3439000.0,7014000.0,7994000.0,16277000.0
NonCurrentDeferredTaxesLiabilities,157425000.0,62601000.0,92306000.0,87008000.0
OrdinarySharesNumber,33778509.0,34204911.0,30978324.0,30619658.0
OtherEquityAdjustments,-19000.0,,,-1396000.0
OtherIntangibleAssets,14234000.0,9097000.0,5095000.0,118528000.0
OtherNonCurrentAssets,23443000.0,48043000.0,61805000.0,58084000.0
OtherPayable,,49272000.0,,
OtherProperties,307947000.0,239241000.0,278125000.0,459950000.0
Payables,101302000.0,107591000.0,105872000.0,130996000.0
PayablesAndAccruedExpenses,220596000.0,230848000.0,244670000.0,264043000.0
PrepaidAssets,55368000.0,25882000.0,14651000.0,20218000.0
Properties,0.0,0.0,0.0,0.0
Receivables,43006000.0,35083000.0,33030000.0,43907000.0
RetainedEarnings,,1881000.0,98546000.0,79073000.0
ShareIssued,33778509.0,35099571.0,35558714.0,36100011.0
StockholdersEquity,837781000.0,711325000.0,718166000.0,695402000.0
TangibleBookValue,375766000.0,694659000.0,699937000.0,522164000.0
TaxesReceivable,5927000.0,1093000.0,3587000.0,5716000.0
TotalAssets,1940331000.0,1353457000.0,1441265000.0,1858463000.0
TotalCapitalization,1176141000.0,711325000.0,728166000.0,937815000.0
TotalDebt,676837000.0,279789000.0,319834000.0,738814000.0
TotalEquityGrossMinorityInterest,837781000.0,711325000.0,718166000.0,695402000.0
TotalLiabilitiesNetMinorityInterest,1102550000.0,642132000.0,723099000.0,1163061000.0
TotalNonCurrentAssets,1001455000.0,510178000.0,597048000.0,975006000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,834262000.0,342390000.0,412140000.0,825822000.0
TotalTaxPayable,21129000.0,23025000.0,22754000.0,24030000.0
TreasurySharesNumber,,894660.0,4580390.0,5480353.0
TreasuryStock,,15977000.0,121804000.0,138753000.0
WorkingCapital,670588000.0,543537000.0,533258000.0,546218000.0
