,AAOI,AAOI,AAOI,AAOI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,32828000.0,29482000.0,34402000.0,47845000.0
AccountsReceivable,34655000.0,43042000.0,47944000.0,61175000.0
AccumulatedDepreciation,-116979000.0,-142434000.0,-167772000.0,-177519000.0
AdditionalPaidInCapital,303401000.0,354685000.0,381143000.0,391526000.0
AllowanceForDoubtfulAccountsReceivable,-30000.0,-62000.0,-30000.0,-28000.0
BuildingsAndImprovements,83846000.0,88280000.0,89698000.0,86372000.0
CapitalLeaseObligations,9065000.0,9038000.0,8333000.0,6609000.0
CapitalStock,20000.0,25000.0,27000.0,29000.0
CashAndCashEquivalents,59977000.0,43425000.0,34656000.0,24685000.0
CashCashEquivalentsAndShortTermInvestments,59977000.0,43425000.0,34656000.0,24685000.0
CommonStock,20000.0,25000.0,27000.0,29000.0
CommonStockEquity,273794000.0,277891000.0,254570000.0,184670000.0
ConstructionInProgress,25937000.0,33342000.0,33705000.0,30434000.0
CurrentAccruedExpenses,14049000.0,14900000.0,10024000.0,13153000.0
CurrentAssets,192804000.0,209169000.0,194079000.0,183164000.0
CurrentCapitalLeaseObligation,982000.0,1030000.0,1081000.0,1104000.0
CurrentDebt,39681000.0,54125000.0,57887000.0,69411000.0
CurrentDebtAndCapitalLeaseObligation,40663000.0,55155000.0,58968000.0,70515000.0
CurrentDeferredLiabilities,312000.0,303000.0,195000.0,6216000.0
CurrentDeferredRevenue,312000.0,303000.0,195000.0,6216000.0
CurrentLiabilities,91355000.0,103148000.0,108957000.0,138582000.0
CurrentNotesPayable,6310000.0,15860000.0,8198000.0,12337000.0
FinishedGoods,18671000.0,32298000.0,21519000.0,14384000.0
GainsLossesNotAffectingRetainedEarnings,430000.0,11690000.0,16071000.0,2183000.0
GoodwillAndOtherIntangibleAssets,9679000.0,9853000.0,9692000.0,8937000.0
GrossAccountsReceivable,34685000.0,43104000.0,47974000.0,61203000.0
GrossPPE,373310000.0,403235000.0,417942000.0,393295000.0
InterestPayable,1208000.0,1256000.0,1475000.0,1597000.0
Inventory,85028000.0,110397000.0,92516000.0,79679000.0
InvestedCapital,407068000.0,423774000.0,396137000.0,333587000.0
LandAndImprovements,1907000.0,1907000.0,1907000.0,1907000.0
LongTermCapitalLeaseObligation,8083000.0,8008000.0,7252000.0,5505000.0
LongTermDebt,93593000.0,91758000.0,83680000.0,79506000.0
LongTermDebtAndCapitalLeaseObligation,101676000.0,99766000.0,90932000.0,85011000.0
MachineryFurnitureEquipment,253733000.0,271889000.0,285497000.0,268990000.0
NetDebt,73297000.0,102458000.0,106911000.0,124232000.0
NetPPE,256331000.0,260801000.0,250170000.0,215776000.0
NetTangibleAssets,264115000.0,268038000.0,244878000.0,175733000.0
NonCurrentDeferredAssets,7287000.0,0.0,,
NonCurrentDeferredTaxesAssets,7287000.0,0.0,,
NotesReceivable,0.0,401000.0,8148000.0,339000.0
OrdinarySharesNumber,20140000.0,25110000.0,27323000.0,28622000.0
OtherCurrentAssets,,,,6384000.0
OtherCurrentBorrowings,33371000.0,38265000.0,49689000.0,57074000.0
OtherCurrentLiabilities,,,,-3000000.0
OtherIntangibleAssets,9679000.0,9853000.0,9692000.0,8937000.0
OtherNonCurrentAssets,724000.0,982000.0,518000.0,386000.0
OtherNonCurrentLiabilities,8083000.0,,7252000.0,5505000.0
OtherProperties,7887000.0,7817000.0,7135000.0,5592000.0
Payables,34043000.0,29733000.0,36299000.0,48433000.0
PayablesAndAccruedExpenses,48092000.0,44633000.0,46323000.0,61586000.0
PensionandOtherPostRetirementBenefitPlansCurrent,2288000.0,3057000.0,3471000.0,3265000.0
PreferredStock,0.0,0.0,,0.0
PrepaidAssets,6093000.0,5215000.0,4335000.0,0.0
Properties,0.0,0.0,0.0,0.0
RawMaterials,15570000.0,25555000.0,29469000.0,25732000.0
Receivables,34655000.0,43443000.0,56092000.0,61514000.0
RestrictedCash,7051000.0,6689000.0,6480000.0,10902000.0
RetainedEarnings,-30057000.0,-88509000.0,-142671000.0,-209068000.0
ShareIssued,20140000.0,25110000.0,27323000.0,28622000.0
StockholdersEquity,273794000.0,277891000.0,254570000.0,184670000.0
TangibleBookValue,264115000.0,268038000.0,244878000.0,175733000.0
TotalAssets,466825000.0,480805000.0,454459000.0,408263000.0
TotalCapitalization,367387000.0,369649000.0,338250000.0,264176000.0
TotalDebt,142339000.0,154921000.0,149900000.0,155526000.0
TotalEquityGrossMinorityInterest,273794000.0,277891000.0,254570000.0,184670000.0
TotalLiabilitiesNetMinorityInterest,193031000.0,202914000.0,199889000.0,223593000.0
TotalNonCurrentAssets,274021000.0,271636000.0,260380000.0,225099000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,101676000.0,99766000.0,90932000.0,85011000.0
TotalTaxPayable,1215000.0,251000.0,1897000.0,588000.0
WorkInProcess,50787000.0,52544000.0,41528000.0,39563000.0
WorkingCapital,101449000.0,106021000.0,85122000.0,44582000.0
