,AAON,AAON,AAON,AAON
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,11759000.0,12447000.0,29020000.0,45513000.0
AccountsReceivable,67399000.0,47387000.0,70780000.0,127158000.0
AccumulatedDepreciation,-179242000.0,-203125000.0,-224146000.0,-245026000.0
AdditionalPaidInCapital,3631000.0,5161000.0,81654000.0,98735000.0
AllowanceForDoubtfulAccountsReceivable,-353000.0,-506000.0,-549000.0,-477000.0
BuildingsAndImprovements,101113000.0,122171000.0,135861000.0,169156000.0
CapitalLeaseObligations,,,1580000.0,1254000.0
CapitalStock,208000.0,209000.0,210000.0,214000.0
CashAndCashEquivalents,26797000.0,79025000.0,2859000.0,5451000.0
CashCashEquivalentsAndShortTermInvestments,26797000.0,79025000.0,2859000.0,5451000.0
CommonStock,208000.0,209000.0,210000.0,214000.0
CommonStockEquity,290140000.0,350865000.0,466170000.0,560714000.0
CurrentAccruedExpenses,33595000.0,34702000.0,36536000.0,49007000.0
CurrentAssets,187549000.0,220251000.0,218080000.0,349116000.0
CurrentCapitalLeaseObligation,,,1580000.0,1254000.0
CurrentDebtAndCapitalLeaseObligation,,,1580000.0,1254000.0
CurrentDeferredLiabilities,4627000.0,5067000.0,13473000.0,25174000.0
CurrentDeferredRevenue,4627000.0,5067000.0,13473000.0,25174000.0
CurrentLiabilities,56028000.0,59033000.0,86768000.0,145567000.0
FinishedGoods,5578000.0,7154000.0,4528000.0,5806000.0
Goodwill,3229000.0,3229000.0,85727000.0,81892000.0
GoodwillAndOtherIntangibleAssets,3501000.0,3267000.0,155848000.0,146498000.0
GrossAccountsReceivable,67752000.0,47893000.0,71329000.0,127635000.0
GrossPPE,359019000.0,428036000.0,499182000.0,556894000.0
IncomeTaxPayable,,,,12472000.0
InventoriesAdjustmentsAllowances,-2644000.0,-3261000.0,-1787000.0,-4527000.0
Inventory,73601000.0,82219000.0,130270000.0,198939000.0
InvestedCapital,290140000.0,350865000.0,506170000.0,631718000.0
LandAndImprovements,3274000.0,4072000.0,5016000.0,8537000.0
LineOfCredit,0.0,0.0,,
LongTermDebt,,,40000000.0,71004000.0
LongTermDebtAndCapitalLeaseObligation,,,40000000.0,71004000.0
MachineryFurnitureEquipment,252949000.0,300222000.0,341331000.0,372078000.0
NetDebt,,,37141000.0,65553000.0
NetPPE,179777000.0,224911000.0,275036000.0,311868000.0
NetTangibleAssets,286639000.0,347598000.0,310322000.0,414216000.0
NonCurrentDeferredLiabilities,15297000.0,28324000.0,31993000.0,18661000.0
NonCurrentDeferredTaxesLiabilities,15297000.0,28324000.0,31993000.0,18661000.0
NonCurrentNoteReceivables,597000.0,579000.0,,
NotesReceivable,29000.0,31000.0,,
OrdinarySharesNumber,52078515.0,52224767.0,52527985.0,53425184.0
OtherCurrentAssets,,,,1919000.0
OtherCurrentLiabilities,3286000.0,2613000.0,3968000.0,
OtherIntangibleAssets,272000.0,38000.0,70121000.0,64606000.0
OtherNonCurrentAssets,,,1216000.0,6421000.0
OtherNonCurrentLiabilities,3639000.0,4423000.0,18843000.0,11508000.0
OtherProperties,1683000.0,1571000.0,16974000.0,7123000.0
OtherReceivables,,,5749000.0,15151000.0
Payables,11759000.0,12447000.0,29020000.0,57985000.0
PayablesAndAccruedExpenses,45354000.0,47149000.0,65556000.0,106992000.0
PensionandOtherPostRetirementBenefitPlansCurrent,6047000.0,6817000.0,6159000.0,12147000.0
PreferredStock,0.0,0.0,0.0,0.0
PrepaidAssets,1375000.0,3739000.0,2071000.0,
Properties,0.0,0.0,0.0,0.0
RawMaterials,68842000.0,76238000.0,124480000.0,194159000.0
Receivables,68200000.0,52005000.0,82252000.0,142309000.0
RestrictedCash,17576000.0,3263000.0,628000.0,498000.0
RetainedEarnings,286301000.0,345495000.0,384306000.0,461765000.0
ShareIssued,52078515.0,52224767.0,52527985.0,53425184.0
StockholdersEquity,290140000.0,350865000.0,466170000.0,560714000.0
TangibleBookValue,286639000.0,347598000.0,310322000.0,414216000.0
TaxesReceivable,772000.0,4587000.0,5723000.0,0.0
TotalAssets,371424000.0,449008000.0,650180000.0,813903000.0
TotalCapitalization,290140000.0,350865000.0,506170000.0,631718000.0
TotalDebt,,,41580000.0,72258000.0
TotalEquityGrossMinorityInterest,290140000.0,350865000.0,466170000.0,560714000.0
TotalLiabilitiesNetMinorityInterest,81284000.0,98143000.0,184010000.0,253189000.0
TotalNonCurrentAssets,183875000.0,228757000.0,432100000.0,464787000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,25256000.0,39110000.0,97242000.0,107622000.0
TotalTaxPayable,,,,12472000.0
TradeandOtherPayablesNonCurrent,6320000.0,6363000.0,6406000.0,6449000.0
WorkInProcess,1825000.0,2088000.0,3049000.0,3501000.0
WorkingCapital,131521000.0,161218000.0,131312000.0,203549000.0
