,AAP,AAP,AAP,AAP
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,3421987000.0,3640639000.0,3922007000.0,4123462000.0
AccountsReceivable,671412000.0,727583000.0,708658000.0,703188000.0
AccumulatedDepreciation,-2037849000.0,-2189165000.0,-2403567000.0,-2590382000.0
AdditionalPaidInCapital,735183000.0,783709000.0,845407000.0,897560000.0
BuildingsAndImprovements,1033953000.0,1074269000.0,1131073000.0,1257890000.0
CapitalLeaseObligations,2017159000.0,2014499000.0,2337651000.0,2278318000.0
CapitalStock,8000.0,8000.0,8000.0,8000.0
CashAndCashEquivalents,418665000.0,834992000.0,601428000.0,269282000.0
CashCashEquivalentsAndShortTermInvestments,418665000.0,834992000.0,601428000.0,269282000.0
CommonStock,8000.0,8000.0,8000.0,8000.0
CommonStockEquity,3549081000.0,3559512000.0,3128291000.0,2678281000.0
ConstructionInProgress,114052000.0,124273000.0,119012000.0,137915000.0
CurrentAccruedExpenses,337364000.0,428207000.0,612247000.0,455398000.0
CurrentAssets,5695543000.0,6270001000.0,6275476000.0,6046852000.0
CurrentDebt,,,,185000000.0
CurrentDebtAndCapitalLeaseObligation,,,,185000000.0
CurrentLiabilities,4477702000.0,4743915000.0,5180307000.0,5370389000.0
CurrentProvisions,36820000.0,14120000.0,,
GainsLossesNotAffectingRetainedEarnings,-34569000.0,-26759000.0,-22627000.0,-45143000.0
Goodwill,992240000.0,993590000.0,993744000.0,990471000.0
GoodwillAndOtherIntangibleAssets,1701996000.0,1674717000.0,1644961000.0,1611372000.0
GrossPPE,5836387000.0,6031754000.0,6603688000.0,6888211000.0
InterestPayable,,8441000.0,,
Inventory,4432168000.0,4538199000.0,4659018000.0,4915262000.0
InvestedCapital,4296401000.0,4592496000.0,4162611000.0,4051564000.0
LandAndImprovements,457960000.0,469640000.0,471101000.0,471349000.0
LongTermCapitalLeaseObligation,2017159000.0,2014499000.0,2337651000.0,2278318000.0
LongTermDebt,747320000.0,1032984000.0,1034320000.0,1188283000.0
LongTermDebtAndCapitalLeaseObligation,2764479000.0,3047483000.0,3371971000.0,3466601000.0
MachineryFurnitureEquipment,1865097000.0,1983585000.0,2210692000.0,2413367000.0
NetDebt,328655000.0,197992000.0,432892000.0,1104001000.0
NetPPE,3798538000.0,3842589000.0,4200121000.0,4297829000.0
NetTangibleAssets,1847085000.0,1884795000.0,1483330000.0,1066909000.0
NonCurrentDeferredLiabilities,334013000.0,342445000.0,410606000.0,415997000.0
NonCurrentDeferredTaxesLiabilities,334013000.0,342445000.0,410606000.0,415997000.0
OrdinarySharesNumber,69232000.0,66361000.0,62009000.0,59264000.0
OtherCurrentAssets,155241000.0,146811000.0,232245000.0,163695000.0
OtherCurrentLiabilities,519852000.0,496472000.0,481249000.0,427480000.0
OtherIntangibleAssets,709756000.0,681127000.0,651217000.0,620901000.0
OtherNonCurrentAssets,52448000.0,52329000.0,73651000.0,62429000.0
OtherNonCurrentLiabilities,123250000.0,146281000.0,103034000.0,87214000.0
OtherProperties,2365325000.0,2379987000.0,2671810000.0,2607690000.0
OtherReceivables,32306000.0,34345000.0,84289000.0,10638000.0
Payables,3518821000.0,3741126000.0,4033387000.0,4230174000.0
PayablesAndAccruedExpenses,3856185000.0,4169333000.0,4645634000.0,4685572000.0
PensionandOtherPostRetirementBenefitPlansCurrent,64845000.0,63990000.0,53424000.0,72337000.0
PreferredStock,,,0.0,0.0
Properties,0.0,0.0,0.0,0.0
Receivables,689469000.0,749999000.0,782785000.0,698613000.0
ReceivablesAdjustmentsAllowances,-14249000.0,-11929000.0,-10162000.0,-15213000.0
RetainedEarnings,3772848000.0,4196634000.0,4605791000.0,4744624000.0
ShareIssued,76051000.0,76305000.0,76663000.0,76989000.0
StockholdersEquity,3549081000.0,3559512000.0,3128291000.0,2678281000.0
TangibleBookValue,1847085000.0,1884795000.0,1483330000.0,1066909000.0
TotalAssets,11248525000.0,11839636000.0,12194209000.0,12018482000.0
TotalCapitalization,4296401000.0,4592496000.0,4162611000.0,3866564000.0
TotalDebt,2764479000.0,3047483000.0,3371971000.0,3651601000.0
TotalEquityGrossMinorityInterest,3549081000.0,3559512000.0,3128291000.0,2678281000.0
TotalLiabilitiesNetMinorityInterest,7699444000.0,8280124000.0,9065918000.0,9340201000.0
TotalNonCurrentAssets,5552982000.0,5569635000.0,5918733000.0,5971630000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,3221742000.0,3536209000.0,3885611000.0,3969812000.0
TotalTaxPayable,96834000.0,100487000.0,111380000.0,106712000.0
TreasurySharesNumber,6819000.0,9944000.0,14654000.0,17725000.0
TreasuryStock,924389000.0,1394080000.0,2300288000.0,2918768000.0
WorkingCapital,1217841000.0,1526086000.0,1095169000.0,676463000.0
