,AAPL,AAPL,AAPL,AAPL
asOfDate,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,46236000000.0,42296000000.0,54763000000.0,64115000000.0
AccountsReceivable,22926000000.0,16120000000.0,26278000000.0,28184000000.0
AccumulatedDepreciation,-58579000000.0,-66760000000.0,-70283000000.0,-72340000000.0
AvailableForSaleSecurities,105341000000.0,100887000000.0,127877000000.0,120805000000.0
CapitalStock,45174000000.0,50779000000.0,57365000000.0,64849000000.0
CashAndCashEquivalents,48844000000.0,38016000000.0,34940000000.0,23646000000.0
CashCashEquivalentsAndShortTermInvestments,100557000000.0,90943000000.0,62639000000.0,48304000000.0
CashEquivalents,36640000000.0,20243000000.0,17635000000.0,5100000000.0
CashFinancial,12204000000.0,17773000000.0,17305000000.0,18546000000.0
CommercialPaper,5980000000.0,4996000000.0,6000000000.0,9982000000.0
CommonStock,45174000000.0,50779000000.0,57365000000.0,64849000000.0
CommonStockEquity,90488000000.0,65339000000.0,63090000000.0,50672000000.0
CurrentAssets,162819000000.0,143713000000.0,134836000000.0,135405000000.0
CurrentDebt,16240000000.0,13769000000.0,15613000000.0,21110000000.0
CurrentDebtAndCapitalLeaseObligation,16240000000.0,13769000000.0,15613000000.0,21110000000.0
CurrentDeferredLiabilities,5522000000.0,6643000000.0,7612000000.0,7912000000.0
CurrentDeferredRevenue,5522000000.0,6643000000.0,7612000000.0,7912000000.0
CurrentLiabilities,105718000000.0,105392000000.0,125481000000.0,153982000000.0
GainsLossesNotAffectingRetainedEarnings,-584000000.0,-406000000.0,163000000.0,-11109000000.0
GrossPPE,95957000000.0,103526000000.0,109723000000.0,114457000000.0
Inventory,4106000000.0,4061000000.0,6580000000.0,4946000000.0
InvestedCapital,198535000000.0,177775000000.0,187809000000.0,170741000000.0
InvestmentinFinancialAssets,105341000000.0,100887000000.0,127877000000.0,120805000000.0
InvestmentsAndAdvances,105341000000.0,100887000000.0,127877000000.0,120805000000.0
LandAndImprovements,17085000000.0,17952000000.0,20041000000.0,22126000000.0
Leases,9075000000.0,10283000000.0,11023000000.0,11271000000.0
LongTermDebt,91807000000.0,98667000000.0,109106000000.0,98959000000.0
LongTermDebtAndCapitalLeaseObligation,91807000000.0,98667000000.0,109106000000.0,98959000000.0
MachineryFurnitureEquipment,69797000000.0,75291000000.0,78659000000.0,81060000000.0
NetDebt,59203000000.0,74420000000.0,89779000000.0,96423000000.0
NetPPE,37378000000.0,36766000000.0,39440000000.0,42117000000.0
NetTangibleAssets,90488000000.0,65339000000.0,63090000000.0,50672000000.0
OrdinarySharesNumber,17772944000.0,16976763000.0,16426786000.0,15943425000.0
OtherCurrentAssets,12352000000.0,11264000000.0,14111000000.0,21223000000.0
OtherCurrentBorrowings,10260000000.0,8773000000.0,9613000000.0,11128000000.0
OtherCurrentLiabilities,37720000000.0,42684000000.0,47493000000.0,60845000000.0
OtherInvestments,105341000000.0,100887000000.0,127877000000.0,120805000000.0
OtherNonCurrentAssets,32978000000.0,42522000000.0,48849000000.0,54428000000.0
OtherNonCurrentLiabilities,20958000000.0,26320000000.0,28636000000.0,32485000000.0
OtherReceivables,22878000000.0,21325000000.0,25228000000.0,32748000000.0
OtherShortTermInvestments,51713000000.0,52927000000.0,27699000000.0,24658000000.0
Payables,46236000000.0,42296000000.0,54763000000.0,64115000000.0
PayablesAndAccruedExpenses,46236000000.0,42296000000.0,54763000000.0,64115000000.0
Properties,0.0,0.0,0.0,0.0
Receivables,45804000000.0,37445000000.0,51506000000.0,60932000000.0
RetainedEarnings,45898000000.0,14966000000.0,5562000000.0,-3068000000.0
ShareIssued,17772944000.0,16976763000.0,16426786000.0,15943425000.0
StockholdersEquity,90488000000.0,65339000000.0,63090000000.0,50672000000.0
TangibleBookValue,90488000000.0,65339000000.0,63090000000.0,50672000000.0
TotalAssets,338516000000.0,323888000000.0,351002000000.0,352755000000.0
TotalCapitalization,182295000000.0,164006000000.0,172196000000.0,149631000000.0
TotalDebt,108047000000.0,112436000000.0,124719000000.0,120069000000.0
TotalEquityGrossMinorityInterest,90488000000.0,65339000000.0,63090000000.0,50672000000.0
TotalLiabilitiesNetMinorityInterest,248028000000.0,258549000000.0,287912000000.0,302083000000.0
TotalNonCurrentAssets,175697000000.0,180175000000.0,216166000000.0,217350000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,142310000000.0,153157000000.0,162431000000.0,148101000000.0
TradeandOtherPayablesNonCurrent,29545000000.0,28170000000.0,24689000000.0,16657000000.0
WorkingCapital,57101000000.0,38321000000.0,9355000000.0,-18577000000.0
