,ABB,ABB,ABB,ABB
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,4353000000.0,4571000000.0,4921000000.0,4904000000.0
AccountsReceivable,5967000000.0,6417000000.0,6206000000.0,6478000000.0
AccumulatedDepreciation,-5716000000.0,-6364000000.0,-6187000000.0,-5792000000.0
AdditionalPaidInCapital,73000000.0,83000000.0,22000000.0,141000000.0
AssetsHeldForSaleCurrent,9840000000.0,282000000.0,136000000.0,96000000.0
CapitalLeaseObligations,1022000000.0,1001000000.0,919000000.0,871000000.0
CapitalStock,188000000.0,188000000.0,178000000.0,171000000.0
CashAndCashEquivalents,3544000000.0,3278000000.0,4159000000.0,4156000000.0
CashCashEquivalentsAndShortTermInvestments,4110000000.0,5386000000.0,5329000000.0,4881000000.0
CashEquivalents,1433000000.0,,1407000000.0,2459000000.0
CashFinancial,2111000000.0,,2752000000.0,1697000000.0
CommonStock,188000000.0,188000000.0,178000000.0,171000000.0
CommonStockEquity,13526000000.0,15685000000.0,15579000000.0,12777000000.0
ConstructionInProgress,500000000.0,505000000.0,522000000.0,586000000.0
CurrentAccruedExpenses,923000000.0,996000000.0,1118000000.0,1225000000.0
CurrentAssets,26458000000.0,19226000000.0,18695000000.0,19570000000.0
CurrentCapitalLeaseObligation,305000000.0,270000000.0,230000000.0,220000000.0
CurrentDebt,2287000000.0,1293000000.0,1384000000.0,2535000000.0
CurrentDebtAndCapitalLeaseObligation,2592000000.0,1563000000.0,1614000000.0,2755000000.0
CurrentDeferredLiabilities,1744000000.0,2033000000.0,1989000000.0,2318000000.0
CurrentDeferredRevenue,1744000000.0,2033000000.0,1989000000.0,2318000000.0
CurrentLiabilities,20266000000.0,15416000000.0,15568000000.0,16529000000.0
CurrentProvisions,2191000000.0,2554000000.0,2391000000.0,2199000000.0
DefinedPensionBenefit,133000000.0,360000000.0,892000000.0,916000000.0
DerivativeProductLiabilities,23000000.0,46000000.0,130000000.0,367000000.0
EmployeeBenefits,1865000000.0,1301000000.0,1084000000.0,764000000.0
FinishedGoods,1499000000.0,1499000000.0,1594000000.0,2036000000.0
GainsLossesNotAffectingRetainedEarnings,-5590000000.0,-4002000000.0,-4088000000.0,-4556000000.0
Goodwill,10825000000.0,10850000000.0,10482000000.0,10511000000.0
GoodwillAndOtherIntangibleAssets,13077000000.0,12928000000.0,12043000000.0,11917000000.0
GrossPPE,10682000000.0,11507000000.0,11127000000.0,10544000000.0
IncomeTaxPayable,355000000.0,395000000.0,378000000.0,312000000.0
InterestPayable,44000000.0,29000000.0,28000000.0,38000000.0
Inventory,4184000000.0,4469000000.0,4880000000.0,6028000000.0
InvestedCapital,22585000000.0,21806000000.0,21140000000.0,20455000000.0
InvestmentsAndAdvances,33000000.0,1784000000.0,1670000000.0,130000000.0
