,ABBV,ABBV,ABBV,ABBV
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,1452000000.0,2276000000.0,2882000000.0,2934000000.0
AccountsReceivable,5428000000.0,8822000000.0,9977000000.0,11254000000.0
AccumulatedDepreciation,-5226000000.0,-5611000000.0,-5617000000.0,-6051000000.0
AdditionalPaidInCapital,15193000000.0,17384000000.0,18305000000.0,19245000000.0
AllowanceForDoubtfulAccountsReceivable,-46000000.0,,,
BuildingsAndImprovements,1613000000.0,2555000000.0,2791000000.0,2737000000.0
CapitalStock,18000000.0,18000000.0,18000000.0,18000000.0
CashAndCashEquivalents,39924000000.0,8449000000.0,9746000000.0,9201000000.0
CashCashEquivalentsAndShortTermInvestments,39924000000.0,8479000000.0,9830000000.0,9229000000.0
CommonStock,18000000.0,18000000.0,18000000.0,18000000.0
CommonStockEquity,-8172000000.0,13076000000.0,15408000000.0,17254000000.0
ConstructionInProgress,491000000.0,1040000000.0,799000000.0,856000000.0
CurrentAccruedExpenses,8609000000.0,15548000000.0,17274000000.0,19788000000.0
CurrentAssets,49519000000.0,24173000000.0,27928000000.0,28463000000.0
CurrentDebt,3753000000.0,8502000000.0,12495000000.0,4136000000.0
CurrentDebtAndCapitalLeaseObligation,3753000000.0,8502000000.0,12495000000.0,4136000000.0
CurrentLiabilities,15585000000.0,28661000000.0,35194000000.0,29538000000.0
DividendsPayable,1771000000.0,2335000000.0,2543000000.0,2680000000.0
EmployeeBenefits,2949000000.0,3413000000.0,3153000000.0,1638000000.0
FinishedGoods,485000000.0,1318000000.0,932000000.0,1162000000.0
GainsLossesNotAffectingRetainedEarnings,-3596000000.0,-3117000000.0,-2899000000.0,-2199000000.0
Goodwill,15604000000.0,33124000000.0,32379000000.0,32156000000.0
GoodwillAndOtherIntangibleAssets,34253000000.0,116000000000.0,108330000000.0,99595000000.0
GrossAccountsReceivable,5474000000.0,,,
GrossPPE,8188000000.0,10859000000.0,10727000000.0,10986000000.0
Inventory,1813000000.0,3310000000.0,3128000000.0,3579000000.0
InvestedCapital,58556000000.0,99132000000.0,92092000000.0,80525000000.0
InvestmentsAndAdvances,93000000.0,293000000.0,277000000.0,241000000.0
LandAndImprovements,72000000.0,288000000.0,287000000.0,286000000.0
LongTermDebt,62975000000.0,77554000000.0,64189000000.0,59135000000.0
LongTermDebtAndCapitalLeaseObligation,62975000000.0,77554000000.0,64189000000.0,59135000000.0
MachineryFurnitureEquipment,6012000000.0,6976000000.0,6850000000.0,7107000000.0
MinorityInterest,,21000000.0,28000000.0,33000000.0
NetDebt,26804000000.0,77607000000.0,66938000000.0,54070000000.0
NetPPE,2962000000.0,5248000000.0,5110000000.0,4935000000.0
NetTangibleAssets,-42425000000.0,-102924000000.0,-92922000000.0,-82341000000.0
NonCurrentDeferredLiabilities,1130000000.0,3646000000.0,3009000000.0,2190000000.0
NonCurrentDeferredTaxesLiabilities,1130000000.0,3646000000.0,3009000000.0,2190000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,2949000000.0,3413000000.0,3153000000.0,1638000000.0
OrdinarySharesNumber,1478911462.0,1765132819.0,1768337696.0,1769181294.0
OtherCurrentAssets,,,,4401000000.0
OtherEquityAdjustments,,,,-2199000000.0
OtherIntangibleAssets,18649000000.0,82876000000.0,75951000000.0,67439000000.0
OtherNonCurrentAssets,2288000000.0,4851000000.0,4884000000.0,5571000000.0
OtherNonCurrentLiabilities,11195000000.0,20347000000.0,22106000000.0,26032000000.0
OtherShortTermInvestments,0.0,30000000.0,84000000.0,28000000.0
Payables,3223000000.0,4611000000.0,5425000000.0,5614000000.0
PayablesAndAccruedExpenses,11832000000.0,20159000000.0,22699000000.0,25402000000.0
PrepaidAssets,2354000000.0,3562000000.0,4993000000.0,
Properties,0.0,0.0,0.0,0.0
RawMaterials,386000000.0,791000000.0,1003000000.0,1000000000.0
Receivables,5428000000.0,8822000000.0,9977000000.0,11254000000.0
RetainedEarnings,4717000000.0,1055000000.0,3127000000.0,4784000000.0
ShareIssued,1781582608.0,1792140764.0,1803195293.0,1813770294.0
StockholdersEquity,-8172000000.0,13076000000.0,15408000000.0,17254000000.0
TangibleBookValue,-42425000000.0,-102924000000.0,-92922000000.0,-82341000000.0
TotalAssets,89115000000.0,150565000000.0,146529000000.0,138805000000.0
TotalCapitalization,54803000000.0,90630000000.0,79597000000.0,76389000000.0
TotalDebt,66728000000.0,86056000000.0,76684000000.0,63271000000.0
TotalEquityGrossMinorityInterest,-8172000000.0,13097000000.0,15436000000.0,17287000000.0
TotalLiabilitiesNetMinorityInterest,97287000000.0,137468000000.0,131093000000.0,121518000000.0
TotalNonCurrentAssets,39596000000.0,126392000000.0,118601000000.0,110342000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,81702000000.0,108807000000.0,95899000000.0,91980000000.0
TradeandOtherPayablesNonCurrent,3453000000.0,3847000000.0,3442000000.0,2985000000.0
TreasurySharesNumber,302671146.0,27007945.0,34857597.0,44589000.0
TreasuryStock,24504000000.0,2264000000.0,3143000000.0,4594000000.0
WorkInProcess,942000000.0,1201000000.0,1193000000.0,1417000000.0
WorkingCapital,33934000000.0,-4488000000.0,-7266000000.0,-1075000000.0
