,AMP.MI,AMP.MI,AMP.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,EUR,EUR,EUR
AccountsPayable,177390000.0,181036000.0,242507000.0
AccountsReceivable,205219000.0,169060000.0,168680000.0
AccumulatedDepreciation,-447770000.0,-566489000.0,-710666000.0
AdditionalPaidInCapital,202712000.0,202712000.0,202712000.0
AllowanceForDoubtfulAccountsReceivable,-17803000.0,-16912000.0,-17444000.0
BuildingsAndImprovements,729758000.0,827115000.0,972132000.0
CapitalLeaseObligations,424625000.0,422780000.0,451932000.0
CapitalStock,4528000.0,4528000.0,4528000.0
CashAndCashEquivalents,138371000.0,545027000.0,268546000.0
CashCashEquivalentsAndShortTermInvestments,138611000.0,554024000.0,318435000.0
CashEquivalents,3642000.0,31635000.0,6980000.0
CashFinancial,134729000.0,513392000.0,261566000.0
CommonStock,4528000.0,4528000.0,4528000.0
CommonStockEquity,695031000.0,800883000.0,925178000.0
ConstructionInProgress,10143000.0,15223000.0,11957000.0
CurrentAssets,486562000.0,841031000.0,646542000.0
CurrentCapitalLeaseObligation,81585000.0,85430000.0,98665000.0
CurrentDebt,161557000.0,69383000.0,145040000.0
CurrentDebtAndCapitalLeaseObligation,243142000.0,154813000.0,243705000.0
CurrentDeferredAssets,4386000.0,5051000.0,5187000.0
CurrentLiabilities,722264000.0,671414000.0,886292000.0
CurrentProvisions,4242000.0,3560000.0,3282000.0
DerivativeProductLiabilities,4290000.0,5963000.0,2531000.0
FinancialAssets,8153000.0,4327000.0,10983000.0
FinishedGoods,64592000.0,57433000.0,62570000.0
Goodwill,1215511000.0,1281609000.0,1681470000.0
GoodwillAndOtherIntangibleAssets,1583019000.0,1642794000.0,2096001000.0
GrossAccountsReceivable,223022000.0,185972000.0,186124000.0
GrossPPE,1062778000.0,1153443000.0,1334888000.0
HedgingAssetsCurrent,2201000.0,,168000.0
Inventory,64592000.0,57432000.0,62570000.0
InvestedCapital,1607307000.0,1939587000.0,2080804000.0
LandAndImprovements,209000.0,205000.0,219000.0
LongTermCapitalLeaseObligation,343040000.0,337350000.0,353267000.0
LongTermDebt,750719000.0,1069321000.0,1010586000.0
LongTermDebtAndCapitalLeaseObligation,1093759000.0,1406671000.0,1363853000.0
LongTermEquityInvestment,2314000.0,2002000.0,2133000.0
LongTermProvisions,50290000.0,49765000.0,29079000.0
MachineryFurnitureEquipment,268798000.0,256258000.0,287584000.0
MinorityInterest,1084000.0,985000.0,2103000.0
NetDebt,773905000.0,593677000.0,887080000.0
NetPPE,615008000.0,586954000.0,624222000.0
NetTangibleAssets,-887988000.0,-841911000.0,-1170823000.0
NonCurrentDeferredAssets,7339000.0,7777000.0,9452000.0
NonCurrentDeferredRevenue,135052000.0,130016000.0,144414000.0
NonCurrentDeferredTaxesAssets,81427000.0,83671000.0,85185000.0
NonCurrentDeferredTaxesLiabilities,102111000.0,95150000.0,105191000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,25281000.0,24019000.0,20762000.0
OrdinarySharesNumber,223119533.0,224785974.0,224981270.0
OtherIntangibleAssets,367508000.0,361185000.0,414531000.0
OtherInventories,,-1000.0,
OtherNonCurrentAssets,59650000.0,54023000.0,38516000.0
OtherNonCurrentLiabilities,8649000.0,11344000.0,16317000.0
OtherPayable,148652000.0,145135000.0,207206000.0
OtherProperties,53870000.0,54642000.0,62996000.0
OtherReceivables,4386000.0,39574000.0,67789000.0
OtherShortTermInvestments,240000.0,8997000.0,49889000.0
Payables,366376000.0,388260000.0,504250000.0
PensionandOtherPostRetirementBenefitPlansCurrent,545000.0,3139000.0,4081000.0
PrepaidAssets,23199000.0,20911000.0,
Properties,0.0,0.0,0.0
RawMaterials,64592000.0,,
RetainedEarnings,541591000.0,648486000.0,752051000.0
ShareIssued,226388620.0,226388620.0,226388620.0
StockholdersEquity,695031000.0,800883000.0,925178000.0
TangibleBookValue,-887988000.0,-841911000.0,-1170823000.0
TaxesReceivable,48354000.0,15890000.0,23713000.0
TotalAssets,2851338000.0,3228472000.0,3515291000.0
TotalCapitalization,1445750000.0,1870204000.0,1935764000.0
TotalDebt,1336901000.0,1561484000.0,1607558000.0
TotalEquityGrossMinorityInterest,696115000.0,801868000.0,927281000.0
TotalLiabilitiesNetMinorityInterest,2155223000.0,2426604000.0,2588010000.0
TotalNonCurrentAssets,2364776000.0,2387441000.0,2868749000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1432959000.0,1755190000.0,1701718000.0
TotalTaxPayable,40334000.0,62089000.0,54537000.0
TradeandOtherPayablesNonCurrent,13527000.0,32262000.0,19571000.0
TreasurySharesNumber,3269087.0,1602646.0,1407350.0
TreasuryStock,29131000.0,14281000.0,28841000.0
WorkingCapital,-235702000.0,169617000.0,-239750000.0
