,ELN.MI,ELN.MI,ELN.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,EUR,EUR,EUR
AccountsPayable,78390780.0,94923444.0,158071656.0
AccountsReceivable,92026087.0,94008530.0,146773869.0
AccumulatedDepreciation,-34278752.0,-40087835.0,-45591259.0
AdditionalPaidInCapital,41430624.0,42556321.0,46840698.0
AllowanceForDoubtfulAccountsReceivable,-5422501.0,-6635088.0,-7812261.0
BuildingsAndImprovements,14119526.0,14003537.0,18439291.0
CapitalLeaseObligations,11079036.0,9113041.0,11927057.0
CapitalStock,2537965.0,2549589.0,2593828.0
CashAndCashEquivalents,97030962.0,123744217.0,181362812.0
CashCashEquivalentsAndShortTermInvestments,99157753.0,123744217.0,182453512.0
CashEquivalents,96990628.0,123700628.0,14000000.0
CashFinancial,97030962.0,123744217.0,167362812.0
CommonStock,2537965.0,2549589.0,2593828.0
CommonStockEquity,222427180.0,225419931.0,269372335.0
ConstructionInProgress,10145125.0,7808326.0,6955711.0
CurrentAssets,314362218.0,353534841.0,514047004.0
CurrentCapitalLeaseObligation,2643406.0,2597157.0,2623510.0
CurrentDebt,14059494.0,21229938.0,20898680.0
CurrentDebtAndCapitalLeaseObligation,16702900.0,23827095.0,23522190.0
CurrentLiabilities,152281865.0,180870555.0,301751237.0
FinishedGoods,24984554.0,32771905.0,41514790.0
Goodwill,3038065.0,3038065.0,3038065.0
GoodwillAndOtherIntangibleAssets,4833808.0,4487744.0,4913725.0
GrossAccountsReceivable,97448588.0,100643618.0,154586130.0
GrossPPE,116091380.0,125664209.0,146413018.0
Inventory,97037190.0,111593640.0,155939226.0
InvestedCapital,249166801.0,270897315.0,317949513.0
InvestmentsInOtherVenturesUnderEquityMethod,1035420.0,,1031420.0
InvestmentsinAssociatesatCost,1367332.0,955564.0,918042.0
LandAndImprovements,49795790.0,56616061.0,69371043.0
LongTermCapitalLeaseObligation,8435630.0,6515884.0,9303547.0
LongTermDebt,12680127.0,24247446.0,27678498.0
LongTermDebtAndCapitalLeaseObligation,21115757.0,30763330.0,36982045.0
LongTermEquityInvestment,1367332.0,955564.0,1949462.0
LongTermProvisions,4528232.0,5716769.0,10469905.0
MachineryFurnitureEquipment,10624563.0,13820480.0,15496300.0
MinorityInterest,18206282.0,15244569.0,18328877.0
NetPPE,81812628.0,85576374.0,100821759.0
NetTangibleAssets,217593372.0,220932187.0,264458610.0
NonCurrentDeferredTaxesAssets,6641048.0,9296749.0,10364271.0
NonCurrentDeferredTaxesLiabilities,2031588.0,2210480.0,2505548.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,4737530.0,5147074.0,5100689.0
NonCurrentPrepaidAssets,6641048.0,9296749.0,
OrdinarySharesNumber,78091240.0,78448888.0,79810088.0
OtherCurrentAssets,,,-2.0
OtherCurrentLiabilities,17478384.0,25648350.0,64103421.0
OtherIntangibleAssets,1795743.0,1449679.0,1875660.0
OtherInvestments,1035420.0,1035420.0,
OtherNonCurrentAssets,14953257.0,15176243.0,18368415.0
OtherNonCurrentLiabilities,,5000000.0,5486870.0
OtherPayable,31657234.0,30108699.0,41917487.0
OtherProperties,31406376.0,33415805.0,36150673.0
OtherReceivables,7296812.0,7203066.0,7257048.0
OtherShortTermInvestments,2126791.0,,1090700.0
Payables,117521715.0,131395110.0,214125626.0
PensionandOtherPostRetirementBenefitPlansCurrent,575331.0,,
PrepaidAssets,6155831.0,5953617.0,5897857.0
Properties,0.0,0.0,0.0
RawMaterials,47242769.0,50007446.0,70393805.0
RetainedEarnings,90353263.0,86646226.0,131861308.0
ShareIssued,78091240.0,78448888.0,79810088.0
StockholdersEquity,222427180.0,225419931.0,269372335.0
TangibleBookValue,217593372.0,220932187.0,264458610.0
TaxesReceivable,12688545.0,11031771.0,15725494.0
TotalAssets,425328434.0,470372708.0,650694733.0
TotalCapitalization,235107307.0,249667377.0,297050833.0
TotalDebt,37818657.0,54590425.0,60504235.0
TotalEquityGrossMinorityInterest,240633462.0,240664500.0,287701212.0
TotalLiabilitiesNetMinorityInterest,184694972.0,229708208.0,362993521.0
TotalNonCurrentAssets,110966216.0,116837867.0,136647729.0
TotalNonCurrentLiabilitiesNetMinorityInterest,32413107.0,48837653.0,61242284.0
TotalTaxPayable,7473701.0,6362967.0,14136483.0
TradeandOtherPayablesNonCurrent,,,697227.0
TreasuryStock,0.0,,0.0
WorkInProcess,24809867.0,28814289.0,44030631.0
WorkingCapital,162080353.0,172664286.0,212295767.0
