,F,F,F,F
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,20673000000.0,22204000000.0,22349000000.0,25605000000.0
AccountsReceivable,62888000000.0,52394000000.0,43913000000.0,54449000000.0
AccumulatedDepreciation,-31020000000.0,-32848000000.0,-32342000000.0,-33323000000.0
AdditionalPaidInCapital,22165000000.0,22290000000.0,22611000000.0,22832000000.0
AllowanceForDoubtfulAccountsReceivable,-126000000.0,-478000000.0,-330000000.0,-360000000.0
AssetsHeldForSaleCurrent,2383000000.0,47000000.0,,97000000.0
BuildingsAndImprovements,11900000000.0,12557000000.0,12438000000.0,11946000000.0
CapitalLeaseObligations,1414000000.0,1314000000.0,1393000000.0,1505000000.0
CapitalStock,41000000.0,41000000.0,41000000.0,42000000.0
CashAndCashEquivalents,17504000000.0,25243000000.0,20540000000.0,25134000000.0
CashCashEquivalentsAndShortTermInvestments,34651000000.0,49961000000.0,49593000000.0,44070000000.0
CashEquivalents,2842000000.0,10577000000.0,5435000000.0,9377000000.0
CashFinancial,14662000000.0,14666000000.0,15105000000.0,15757000000.0
CommonStock,41000000.0,41000000.0,41000000.0,42000000.0
CommonStockEquity,33185000000.0,30690000000.0,48519000000.0,43242000000.0
ConstructionInProgress,1710000000.0,1718000000.0,2152000000.0,3203000000.0
CurrentAccruedExpenses,1128000000.0,1215000000.0,888000000.0,935000000.0
CurrentAssets,114047000000.0,116744000000.0,108996000000.0,116476000000.0
CurrentCapitalLeaseObligation,367000000.0,323000000.0,345000000.0,404000000.0
CurrentDebt,53946000000.0,51343000000.0,49692000000.0,50164000000.0
CurrentDebtAndCapitalLeaseObligation,54313000000.0,51666000000.0,50037000000.0,50568000000.0
CurrentDeferredLiabilities,2091000000.0,2161000000.0,2349000000.0,2404000000.0
CurrentDeferredRevenue,2091000000.0,2161000000.0,2349000000.0,2404000000.0
CurrentLiabilities,98132000000.0,97192000000.0,90727000000.0,96866000000.0
EmployeeBenefits,16722000000.0,18048000000.0,15373000000.0,10637000000.0
FinishedGoods,6384000000.0,6132000000.0,6280000000.0,8083000000.0
GainsLossesNotAffectingRetainedEarnings,-7728000000.0,-8294000000.0,-8339000000.0,-9339000000.0
Goodwill,278000000.0,258000000.0,619000000.0,
GoodwillAndOtherIntangibleAssets,466000000.0,402000000.0,730000000.0,2350000000.0
GrossAccountsReceivable,63014000000.0,52872000000.0,44243000000.0,54809000000.0
GrossPPE,96719000000.0,97882000000.0,95842000000.0,91010000000.0
InterestPayable,1128000000.0,1215000000.0,888000000.0,935000000.0
Inventory,10786000000.0,10808000000.0,12065000000.0,14080000000.0
InvestedCapital,188492000000.0,192374000000.0,186611000000.0,182211000000.0
InvestmentsAndAdvances,2519000000.0,4901000000.0,4545000000.0,2798000000.0
InvestmentsinAssociatesatCost,2519000000.0,4901000000.0,4545000000.0,
