,HER.MI,HER.MI,HER.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,EUR,EUR,EUR
AccountsPayable,1391800000.0,1497500000.0,741200000.0
AccountsReceivable,1226500000.0,1040600000.0,1398300000.0
AccumulatedDepreciation,-2310600000.0,-2455300000.0,-2625700000.0
AllowanceForDoubtfulAccountsReceivable,-399300000.0,-394400000.0,-444600000.0
AvailableForSaleSecurities,2500000.0,1900000.0,1900000.0
BuildingsAndImprovements,101300000.0,106100000.0,110400000.0
CapitalLeaseObligations,95500000.0,94700000.0,96600000.0
CapitalStock,1474800000.0,1460000000.0,1459600000.0
CashAndCashEquivalents,364000000.0,987100000.0,885600000.0
CashCashEquivalentsAndShortTermInvestments,447200000.0,1137700000.0,932500000.0
CommonStock,1474800000.0,1460000000.0,1459600000.0
CommonStockEquity,2808500000.0,2960800000.0,3200200000.0
ConstructionInProgress,90300000.0,104400000.0,122100000.0
CurrentAssets,3185900000.0,3775500000.0,6441800000.0
CurrentCapitalLeaseObligation,19400000.0,21200000.0,43400000.0
CurrentDebt,184500000.0,504200000.0,123100000.0
CurrentDebtAndCapitalLeaseObligation,203900000.0,525400000.0,166500000.0
CurrentLiabilities,2989900000.0,3331800000.0,6066500000.0
DerivativeProductLiabilities,580700000.0,576500000.0,598700000.0
DividendsPayable,,2700000.0,
FinancialAssets,41100000.0,14400000.0,6900000.0
FinishedGoods,15900000.0,6100000.0,6700000.0
Goodwill,812900000.0,812800000.0,842900000.0
GoodwillAndOtherIntangibleAssets,4593100000.0,4737200000.0,4969600000.0
GrossAccountsReceivable,1625800000.0,1435000000.0,1842900000.0
GrossPPE,4397800000.0,4475400000.0,4666200000.0
HedgingAssetsCurrent,72200000.0,113100000.0,1797400000.0
Inventory,176500000.0,171700000.0,368000000.0
InvestedCapital,5893200000.0,6583900000.0,6452200000.0
InvestmentProperties,2600000.0,2300000.0,2100000.0
InvestmentinFinancialAssets,2500000.0,1900000.0,1900000.0
LandAndImprovements,815800000.0,824500000.0,856800000.0
LongTermCapitalLeaseObligation,76100000.0,73500000.0,53200000.0
LongTermDebt,2900200000.0,3118900000.0,3128900000.0
LongTermDebtAndCapitalLeaseObligation,2976300000.0,3192400000.0,3182100000.0
LongTermEquityInvestment,143500000.0,187900000.0,198500000.0
LongTermProvisions,521800000.0,538200000.0,528000000.0
MachineryFurnitureEquipment,2868100000.0,2917500000.0,3017500000.0
MinorityInterest,201500000.0,194500000.0,216600000.0
NetDebt,2720700000.0,2636000000.0,2366400000.0
NetPPE,2087200000.0,2020100000.0,2040500000.0
NetTangibleAssets,-1784600000.0,-1776400000.0,-1769400000.0
NonCurrentDeferredTaxesAssets,174800000.0,156600000.0,229400000.0
NonCurrentDeferredTaxesLiabilities,154500000.0,120500000.0,132100000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,127300000.0,116700000.0,105400000.0
OrdinarySharesNumber,1475464233.0,1460638745.0,1460320783.0
OtherCurrentAssets,50600000.0,72600000.0,73300000.0
OtherCurrentLiabilities,92300000.0,99500000.0,135000000.0
OtherIntangibleAssets,3780200000.0,3924400000.0,4126700000.0
OtherPayable,472100000.0,444400000.0,487400000.0
OtherProperties,522300000.0,522900000.0,559400000.0
OtherReceivables,998700000.0,1024600000.0,1613300000.0
OtherShortTermInvestments,83200000.0,150600000.0,46900000.0
Payables,1982600000.0,2002800000.0,1411500000.0
PensionandOtherPostRetirementBenefitPlansCurrent,119400000.0,129500000.0,81700000.0
PrepaidAssets,79200000.0,101100000.0,190200000.0
Properties,0.0,0.0,0.0
RawMaterials,112800000.0,91300000.0,109400000.0
RetainedEarnings,385700000.0,302700000.0,333500000.0
ShareIssued,1489538745.0,1489538745.0,1489538745.0
StockholdersEquity,2808500000.0,2960800000.0,3200200000.0
TangibleBookValue,-1784600000.0,-1776400000.0,-1769400000.0
TaxesReceivable,135000000.0,114100000.0,68800000.0
TotalAssets,10363300000.0,11034800000.0,14031500000.0
TotalCapitalization,5708700000.0,6079700000.0,6329100000.0
TotalDebt,3180200000.0,3717800000.0,3348600000.0
TotalEquityGrossMinorityInterest,3010000000.0,3155300000.0,3416800000.0
TotalLiabilitiesNetMinorityInterest,7353300000.0,7879500000.0,10614700000.0
TotalNonCurrentAssets,7177600000.0,7259300000.0,7589700000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,4363400000.0,4547700000.0,4548200000.0
TotalTaxPayable,118700000.0,58200000.0,182900000.0
TradeandOtherPayablesNonCurrent,17400000.0,,
TradingSecurities,2500000.0,,
TreasurySharesNumber,14074512.0,28900000.0,29217962.0
WorkInProcess,47800000.0,74300000.0,251900000.0
WorkingCapital,196000000.0,443700000.0,375300000.0
