,HMC,HMC,HMC,HMC
asOfDate,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,JPY,JPY,JPY,JPY
AccountsPayable,1056065000000.0,844183000000.0,943833000000.0,1047623000000.0
AccountsReceivable,2663813000000.0,2404761000000.0,2484001000000.0,2487135000000.0
AccumulatedDepreciation,-6873180000000.0,-6973774000000.0,-7453223000000.0,-8157842000000.0
AdditionalPaidInCapital,171460000000.0,171823000000.0,172049000000.0,185495000000.0
AllowanceForDoubtfulAccountsReceivable,-12555000000.0,-11302000000.0,-10521000000.0,-8845000000.0
AvailableForSaleSecurities,417149000000.0,441724000000.0,628533000000.0,819654000000.0
BuildingsAndImprovements,2327523000000.0,2468194000000.0,2558905000000.0,2698266000000.0
CapitalStock,86067000000.0,86067000000.0,86067000000.0,86067000000.0
CashAndCashEquivalents,2494121000000.0,2672353000000.0,2758020000000.0,3674931000000.0
CashCashEquivalentsAndShortTermInvestments,2657395000000.0,2862406000000.0,3053327000000.0,3892674000000.0
CashEquivalents,678201000000.0,655106000000.0,720628000000.0,1020484000000.0
CashFinancial,1815920000000.0,2017247000000.0,2037392000000.0,2654447000000.0
CommercialPaper,943905000000.0,976606000000.0,839292000000.0,421801000000.0
CommonStock,86067000000.0,86067000000.0,86067000000.0,86067000000.0
CommonStockEquity,8267720000000.0,8012259000000.0,9082306000000.0,10472824000000.0
ConstructionInProgress,213969000000.0,222273000000.0,217198000000.0,237574000000.0
CurrentAccruedExpenses,476300000000.0,449716000000.0,415106000000.0,375601000000.0
CurrentAssets,7347294000000.0,7301010000000.0,7579091000000.0,8841425000000.0
CurrentDebt,3188782000000.0,3248457000000.0,3005624000000.0,3118304000000.0
CurrentDebtAndCapitalLeaseObligation,3188782000000.0,3248457000000.0,3005624000000.0,3118304000000.0
CurrentLiabilities,5981124000000.0,5790088000000.0,5715457000000.0,6004399000000.0
CurrentNotesPayable,163099000000.0,92394000000.0,35267000000.0,50067000000.0
CurrentProvisions,348763000000.0,287175000000.0,362151000000.0,268388000000.0
EmployeeBenefits,398803000000.0,578909000000.0,358532000000.0,282054000000.0
FinishedGoods,973797000000.0,909076000000.0,784544000000.0,907872000000.0
GainsLossesNotAffectingRetainedEarnings,214383000000.0,-114639000000.0,,
GoodwillAndOtherIntangibleAssets,744368000000.0,760434000000.0,818763000000.0,849507000000.0
GrossAccountsReceivable,805800000000.0,645211000000.0,812335000000.0,905613000000.0
GrossPPE,14303869000000.0,14651541000000.0,15394653000000.0,16396378000000.0
IncomeTaxPayable,49726000000.0,43759000000.0,47793000000.0,96116000000.0
Inventory,1586787000000.0,1560568000000.0,1545600000000.0,1918548000000.0
InvestedCapital,15598840000000.0,15481945000000.0,16803291000000.0,18575380000000.0
InvestmentinFinancialAssets,417149000000.0,441724000000.0,628533000000.0,819654000000.0
InvestmentsAndAdvances,1130188000000.0,1097199000000.0,1519535000000.0,1787058000000.0
LandAndImprovements,546883000000.0,615687000000.0,628724000000.0,645472000000.0
LongTermDebt,4142338000000.0,4221229000000.0,4715361000000.0,4984252000000.0
LongTermDebtAndCapitalLeaseObligation,4142338000000.0,4221229000000.0,4715361000000.0,4984252000000.0
LongTermEquityInvestment,713039000000.0,655475000000.0,891002000000.0,967404000000.0
LongTermProvisions,220745000000.0,238439000000.0,278890000000.0,253625000000.0
MachineryFurnitureEquipment,5514983000000.0,5441813000000.0,5687117000000.0,6147929000000.0
MinorityInterest,298070000000.0,273764000000.0,290533000000.0,299722000000.0
NetDebt,4836999000000.0,4797333000000.0,4962965000000.0,4427625000000.0
NetPPE,7430689000000.0,7677767000000.0,7941430000000.0,8238536000000.0
NetTangibleAssets,7523352000000.0,7251825000000.0,8263543000000.0,9623317000000.0
NonCurrentAccountsReceivable,3453617000000.0,3282807000000.0,3619896000000.0,3740383000000.0
NonCurrentDeferredAssets,150318000000.0,132553000000.0,99552000000.0,91592000000.0
NonCurrentDeferredLiabilities,727411000000.0,698868000000.0,842001000000.0,990754000000.0
NonCurrentDeferredTaxesAssets,150318000000.0,132553000000.0,99552000000.0,91592000000.0
NonCurrentDeferredTaxesLiabilities,727411000000.0,698868000000.0,842001000000.0,990754000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,398803000000.0,578909000000.0,358532000000.0,282054000000.0
OrdinarySharesNumber,1759561385.0,1726609786.0,1726655268.0,1710600356.0
OtherCurrentAssets,358234000000.0,365769000000.0,383696000000.0,439322000000.0
OtherCurrentBorrowings,2081778000000.0,2179457000000.0,2131065000000.0,2646436000000.0
OtherCurrentLiabilities,732671000000.0,802512000000.0,796722000000.0,909757000000.0
OtherEquityInterest,214383000000.0,-114639000000.0,196710000000.0,990438000000.0
OtherIntangibleAssets,744368000000.0,760434000000.0,818763000000.0,849507000000.0
