,INTC,INTC,INTC,INTC
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,4128000000.0,5581000000.0,5747000000.0,9595000000.0
AccountsReceivable,7659000000.0,6782000000.0,9457000000.0,4133000000.0
AccumulatedDepreciation,-73321000000.0,-77645000000.0,-85294000000.0,-93386000000.0
AssetsHeldForSaleCurrent,,5400000000.0,6942000000.0,45000000.0
AvailableForSaleSecurities,3967000000.0,,,5902000000.0
CapitalStock,25261000000.0,25556000000.0,28006000000.0,31580000000.0
CashAndCashEquivalents,4194000000.0,5865000000.0,4827000000.0,11144000000.0
CashCashEquivalentsAndShortTermInvestments,13123000000.0,23895000000.0,28413000000.0,28338000000.0
CommercialPaper,,,,3900000000.0
CommonStock,25261000000.0,25556000000.0,28006000000.0,31580000000.0
CommonStockEquity,77504000000.0,81038000000.0,95391000000.0,101423000000.0
ConstructionInProgress,16063000000.0,17309000000.0,21545000000.0,36727000000.0
CurrentAccruedExpenses,10636000000.0,12670000000.0,12589000000.0,8758000000.0
CurrentAssets,31239000000.0,47249000000.0,57718000000.0,50407000000.0
CurrentDebt,3693000000.0,2504000000.0,4591000000.0,4323000000.0
CurrentDebtAndCapitalLeaseObligation,3693000000.0,2504000000.0,4591000000.0,4323000000.0
CurrentDeferredLiabilities,,,,2400000000.0
CurrentLiabilities,22310000000.0,24754000000.0,27462000000.0,32155000000.0
FinancialAssets,,1550000000.0,,
FinishedGoods,1679000000.0,1512000000.0,2679000000.0,4142000000.0
GainsLossesNotAffectingRetainedEarnings,-1280000000.0,-751000000.0,-880000000.0,-562000000.0
Goodwill,26276000000.0,26971000000.0,26963000000.0,27591000000.0
GoodwillAndOtherIntangibleAssets,37103000000.0,35997000000.0,34233000000.0,33609000000.0
GrossPPE,128707000000.0,134229000000.0,148539000000.0,174246000000.0
IncomeTaxPayable,,,,2251000000.0
Inventory,8744000000.0,8427000000.0,10776000000.0,13224000000.0
InvestedCapital,106505000000.0,117439000000.0,133492000000.0,143430000000.0
InvestmentinFinancialAssets,3967000000.0,,,5902000000.0
InvestmentsAndAdvances,7243000000.0,7344000000.0,7138000000.0,5912000000.0
InvestmentsInOtherVenturesUnderEquityMethod,,,,10000000.0
LandAndImprovements,37743000000.0,,,
LongTermDebt,25308000000.0,33897000000.0,33510000000.0,37684000000.0
LongTermDebtAndCapitalLeaseObligation,25308000000.0,33897000000.0,33510000000.0,37684000000.0
LongTermEquityInvestment,3967000000.0,5152000000.0,6298000000.0,10000000.0
MachineryFurnitureEquipment,74901000000.0,79384000000.0,86955000000.0,92711000000.0
MinorityInterest,,,,1863000000.0
NetDebt,24807000000.0,30536000000.0,33274000000.0,30863000000.0
NetPPE,55386000000.0,56584000000.0,63245000000.0,80860000000.0
NetTangibleAssets,40401000000.0,45041000000.0,61158000000.0,67814000000.0
