,JNJ,JNJ,JNJ,JNJ
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,8544000000.0,9505000000.0,11055000000.0,11703000000.0
AccountsReceivable,14481000000.0,13576000000.0,15283000000.0,16160000000.0
AccumulatedDepreciation,-25674000000.0,-28038000000.0,-28717000000.0,-29450000000.0
AllowanceForDoubtfulAccountsReceivable,-226000000.0,-293000000.0,-230000000.0,-203000000.0
AssetsHeldForSaleCurrent,94000000.0,0.0,,
BuildingsAndImprovements,11877000000.0,12502000000.0,12882000000.0,12989000000.0
CapitalStock,3120000000.0,3120000000.0,3120000000.0,3120000000.0
CashAndCashEquivalents,17305000000.0,13985000000.0,14487000000.0,14127000000.0
CashCashEquivalentsAndShortTermInvestments,19287000000.0,25185000000.0,31608000000.0,23519000000.0
CommonStock,3120000000.0,3120000000.0,3120000000.0,3120000000.0
CommonStockEquity,59471000000.0,63278000000.0,74023000000.0,76804000000.0
ConstructionInProgress,3637000000.0,4316000000.0,4139000000.0,4974000000.0
CurrentAccruedExpenses,20598000000.0,25481000000.0,25707000000.0,25873000000.0
CurrentAssets,45274000000.0,51237000000.0,60979000000.0,55294000000.0
CurrentDebt,1202000000.0,2631000000.0,3766000000.0,12771000000.0
CurrentDebtAndCapitalLeaseObligation,1202000000.0,2631000000.0,3766000000.0,12771000000.0
CurrentLiabilities,35964000000.0,42493000000.0,45226000000.0,55802000000.0
EmployeeBenefits,10663000000.0,10771000000.0,8898000000.0,6767000000.0
FinishedGoods,6071000000.0,5894000000.0,6508000000.0,8713000000.0
GainsLossesNotAffectingRetainedEarnings,-15891000000.0,-15242000000.0,-13058000000.0,-12967000000.0
Goodwill,33639000000.0,36393000000.0,35246000000.0,45231000000.0
GoodwillAndOtherIntangibleAssets,81282000000.0,89795000000.0,81638000000.0,93556000000.0
GrossAccountsReceivable,14707000000.0,13869000000.0,15513000000.0,16363000000.0
GrossPPE,43332000000.0,46804000000.0,47679000000.0,49253000000.0
IncomeTaxPayable,2266000000.0,1392000000.0,1112000000.0,2127000000.0
Inventory,9020000000.0,9344000000.0,10387000000.0,12483000000.0
InvestedCapital,87167000000.0,98544000000.0,107774000000.0,116463000000.0
LandAndImprovements,854000000.0,882000000.0,884000000.0,859000000.0
LongTermDebt,26494000000.0,32635000000.0,29985000000.0,26888000000.0
LongTermDebtAndCapitalLeaseObligation,26494000000.0,32635000000.0,29985000000.0,26888000000.0
MachineryFurnitureEquipment,26964000000.0,29104000000.0,29774000000.0,30431000000.0
NetDebt,10391000000.0,21281000000.0,19264000000.0,25532000000.0
NetPPE,17658000000.0,18766000000.0,18962000000.0,19803000000.0
NetTangibleAssets,-21811000000.0,-26517000000.0,-7615000000.0,-16752000000.0
NonCurrentDeferredAssets,7819000000.0,8534000000.0,10223000000.0,9123000000.0
NonCurrentDeferredLiabilities,5958000000.0,7214000000.0,7487000000.0,6374000000.0
NonCurrentDeferredTaxesAssets,7819000000.0,8534000000.0,10223000000.0,9123000000.0
NonCurrentDeferredTaxesLiabilities,5958000000.0,7214000000.0,7487000000.0,6374000000.0
OrdinarySharesNumber,2632507000.0,2632512000.0,2628965000.0,2613597000.0
OtherIntangibleAssets,47643000000.0,53402000000.0,46392000000.0,48325000000.0
OtherNonCurrentAssets,5695000000.0,6562000000.0,10216000000.0,9602000000.0
OtherNonCurrentLiabilities,11734000000.0,11944000000.0,10686000000.0,10437000000.0
OtherReceivables,,,,3132000000.0
OtherShortTermInvestments,1982000000.0,11200000000.0,17121000000.0,9392000000.0
Payables,10810000000.0,10897000000.0,12167000000.0,13830000000.0
PayablesAndAccruedExpenses,31408000000.0,36378000000.0,37874000000.0,39703000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,3354000000.0,3484000000.0,3586000000.0,3328000000.0
PreferredStock,0.0,0.0,0.0,0.0
PrepaidAssets,2392000000.0,3132000000.0,3701000000.0,
Properties,0.0,0.0,0.0,0.0
RawMaterials,1117000000.0,1410000000.0,1592000000.0,2070000000.0
Receivables,14481000000.0,13576000000.0,15283000000.0,19292000000.0
RetainedEarnings,110659000000.0,113890000000.0,123060000000.0,128345000000.0
ShareIssued,3119843000.0,3119843000.0,3119843000.0,3119843000.0
StockholdersEquity,59471000000.0,63278000000.0,74023000000.0,76804000000.0
TangibleBookValue,-21811000000.0,-26517000000.0,-7615000000.0,-16752000000.0
TotalAssets,157728000000.0,174894000000.0,182018000000.0,187378000000.0
TotalCapitalization,85965000000.0,95913000000.0,104008000000.0,103692000000.0
TotalDebt,27696000000.0,35266000000.0,33751000000.0,39659000000.0
TotalEquityGrossMinorityInterest,59471000000.0,63278000000.0,74023000000.0,76804000000.0
TotalLiabilitiesNetMinorityInterest,98257000000.0,111616000000.0,107995000000.0,110574000000.0
TotalNonCurrentAssets,112454000000.0,123657000000.0,121039000000.0,132084000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,62293000000.0,69123000000.0,62769000000.0,54772000000.0
TotalTaxPayable,2266000000.0,1392000000.0,1112000000.0,2127000000.0
TradeandOtherPayablesNonCurrent,7444000000.0,6559000000.0,5713000000.0,4306000000.0
TreasurySharesNumber,487336000.0,487331000.0,490878000.0,506246000.0
TreasuryStock,38417000000.0,38490000000.0,39099000000.0,41694000000.0
WorkInProcess,1832000000.0,2040000000.0,2287000000.0,1700000000.0
WorkingCapital,9310000000.0,8744000000.0,15753000000.0,-508000000.0
