,LDO.MI,LDO.MI,LDO.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
periodType,12M,12M,12M
currencyCode,EUR,EUR,EUR
AccountsPayable,3791000000.0,3619000000.0,3372000000.0
AccountsReceivable,2995000000.0,3033000000.0,3203000000.0
AccumulatedDepreciation,-4865000000.0,-5333000000.0,-5692000000.0
AllowanceForDoubtfulAccountsReceivable,-671000000.0,-672000000.0,-564000000.0
AssetsHeldForSaleCurrent,92000000.0,72000000.0,17000000.0
BuildingsAndImprovements,448000000.0,601000000.0,666000000.0
CapitalLeaseObligations,451000000.0,555000000.0,568000000.0
CapitalStock,2496000000.0,2525000000.0,2525000000.0
CashAndCashEquivalents,1962000000.0,2213000000.0,2479000000.0
CashCashEquivalentsAndShortTermInvestments,1962000000.0,2213000000.0,2479000000.0
CommonStock,2496000000.0,2525000000.0,2525000000.0
CommonStockEquity,5323000000.0,5267000000.0,6428000000.0
CurrentAssets,14557000000.0,15190000000.0,15569000000.0
CurrentCapitalLeaseObligation,64000000.0,75000000.0,82000000.0
CurrentDebt,179000000.0,883000000.0,675000000.0
CurrentDebtAndCapitalLeaseObligation,243000000.0,958000000.0,757000000.0
CurrentDeferredAssets,14000000.0,14000000.0,4000000.0
CurrentLiabilities,15676000000.0,16276000000.0,15981000000.0
CurrentProvisions,1164000000.0,1318000000.0,1111000000.0
DerivativeProductLiabilities,0.0,,0.0
FinishedGoods,491000000.0,484000000.0,267000000.0
Goodwill,6117000000.0,3628000000.0,3836000000.0
GoodwillAndOtherIntangibleAssets,6764000000.0,6647000000.0,7079000000.0
GrossAccountsReceivable,3666000000.0,3705000000.0,3767000000.0
GrossPPE,7473000000.0,7875000000.0,8344000000.0
HedgingAssetsCurrent,100000000.0,222000000.0,108000000.0
Inventory,3954000000.0,4231000000.0,3999000000.0
InvestedCapital,9047000000.0,9383000000.0,10557000000.0
InvestmentProperties,103000000.0,70000000.0,46000000.0
InvestmentsInOtherVenturesUnderEquityMethod,1154000000.0,1066000000.0,
LandAndImprovements,1518000000.0,1585000000.0,1647000000.0
LongTermCapitalLeaseObligation,387000000.0,480000000.0,486000000.0
LongTermDebt,3545000000.0,3233000000.0,3454000000.0
LongTermDebtAndCapitalLeaseObligation,3932000000.0,3713000000.0,3940000000.0
LongTermEquityInvestment,1154000000.0,1066000000.0,1319000000.0
LongTermProvisions,675000000.0,584000000.0,583000000.0
MachineryFurnitureEquipment,1655000000.0,1684000000.0,1779000000.0
MinorityInterest,11000000.0,11000000.0,27000000.0
NetDebt,1762000000.0,1903000000.0,1650000000.0
NetPPE,2608000000.0,2542000000.0,2652000000.0
NetTangibleAssets,-1441000000.0,-1380000000.0,-651000000.0
NonCurrentDeferredRevenue,87000000.0,82000000.0,80000000.0
NonCurrentDeferredTaxesAssets,1096000000.0,1093000000.0,1035000000.0
NonCurrentDeferredTaxesLiabilities,245000000.0,233000000.0,340000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,509000000.0,400000000.0,362000000.0
NonCurrentPrepaidAssets,5000000.0,17000000.0,
OrdinarySharesNumber,575007898.0,575173715.0,575307275.0
OtherCurrentAssets,140000000.0,115000000.0,121000000.0
OtherCurrentLiabilities,633000000.0,559000000.0,672000000.0
OtherEquityInterest,,,1000000.0
OtherIntangibleAssets,647000000.0,3019000000.0,3243000000.0
OtherInvestments,19000000.0,21000000.0,26000000.0
OtherNonCurrentAssets,151000000.0,15000000.0,15000000.0
OtherNonCurrentLiabilities,341000000.0,290000000.0,404000000.0
OtherPayable,1587000000.0,1585000000.0,1682000000.0
OtherProperties,3852000000.0,4005000000.0,4252000000.0
OtherReceivables,3316000000.0,3495000000.0,4025000000.0
Payables,5538000000.0,5349000000.0,5204000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,389000000.0,,
PrepaidAssets,1869000000.0,1651000000.0,1487000000.0
Properties,0.0,0.0,0.0
RawMaterials,2052000000.0,2311000000.0,2238000000.0
ShareIssued,578150395.0,578150395.0,578150395.0
StockholdersEquity,5323000000.0,5267000000.0,6428000000.0
TangibleBookValue,-1441000000.0,-1380000000.0,-651000000.0
TaxesReceivable,115000000.0,144000000.0,126000000.0
TotalAssets,26893000000.0,27073000000.0,28379000000.0
TotalCapitalization,8868000000.0,8500000000.0,9882000000.0
TotalDebt,4175000000.0,4671000000.0,4697000000.0
TotalEquityGrossMinorityInterest,5334000000.0,5278000000.0,6455000000.0
TotalLiabilitiesNetMinorityInterest,21559000000.0,21795000000.0,21924000000.0
TotalNonCurrentAssets,12336000000.0,11883000000.0,12810000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,5883000000.0,5519000000.0,5943000000.0
TotalTaxPayable,160000000.0,145000000.0,150000000.0
TradeandOtherPayablesNonCurrent,94000000.0,217000000.0,234000000.0
TreasurySharesNumber,3142497.0,2976680.0,2843120.0
TreasuryStock,,27000000.0,27000000.0
WorkInProcess,1411000000.0,1436000000.0,1494000000.0
WorkingCapital,-1119000000.0,-1086000000.0,-412000000.0
