,LLY,LLY,LLY,LLY
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,1405300000.0,1606700000.0,1670600000.0,1930600000.0
AccountsReceivable,4547300000.0,5875300000.0,6672800000.0,6896000000.0
AccumulatedDepreciation,-9161600000.0,-9570700000.0,-9976700000.0,-10233400000.0
AdditionalPaidInCapital,6685300000.0,6778500000.0,6833400000.0,6921400000.0
AllowanceForDoubtfulAccountsReceivable,-22400000.0,-25900000.0,-22500000.0,-16000000.0
BuildingsAndImprovements,7067300000.0,7326100000.0,7588100000.0,7915900000.0
CapitalLeaseObligations,486700000.0,,,
CapitalStock,598800000.0,598200000.0,596300000.0,594100000.0
CashAndCashEquivalents,2337500000.0,3657100000.0,3818500000.0,2067000000.0
CashCashEquivalentsAndShortTermInvestments,2438500000.0,3681300000.0,3908600000.0,2211800000.0
CashEquivalents,,,2379500000.0,657400000.0
CashFinancial,,,1439000000.0,1409600000.0
CommonStock,598800000.0,598200000.0,596300000.0,594100000.0
CommonStockEquity,2606900000.0,5641600000.0,8979200000.0,10649800000.0
ConstructionInProgress,1884400000.0,2138800000.0,2177800000.0,2798600000.0
CurrentAccruedExpenses,4933600000.0,5853000000.0,6845800000.0,8784100000.0
CurrentAssets,13709600000.0,17462100000.0,18452400000.0,18034500000.0
CurrentDebt,1499300000.0,8700000.0,1538300000.0,1501100000.0
CurrentDebtAndCapitalLeaseObligation,1499300000.0,8700000.0,1538300000.0,1501100000.0
CurrentLiabilities,11775200000.0,12481600000.0,15052700000.0,17138200000.0
DividendsPayable,671500000.0,770600000.0,885500000.0,1017200000.0
EmployeeBenefits,3698200000.0,4094500000.0,1954100000.0,1305100000.0
FinishedGoods,647300000.0,758900000.0,761900000.0,901200000.0
GainsLossesNotAffectingRetainedEarnings,-6523600000.0,-6496400000.0,-4343100000.0,-3844600000.0
Goodwill,3679400000.0,3766500000.0,3892000000.0,4073000000.0
GoodwillAndOtherIntangibleAssets,10297400000.0,11216500000.0,11583900000.0,11279600000.0
GrossAccountsReceivable,4569700000.0,5901200000.0,6695300000.0,6912000000.0
GrossPPE,17566600000.0,18252600000.0,18961800000.0,20377400000.0
IncomeTaxPayable,160600000.0,495100000.0,126900000.0,475100000.0
InventoriesAdjustmentsAllowances,51200000.0,34800000.0,34200000.0,8900000.0
Inventory,3190700000.0,3980300000.0,3886000000.0,4309700000.0
InvestedCapital,17924100000.0,22236900000.0,25863900000.0,26888400000.0
InvestmentsAndAdvances,1962400000.0,2966800000.0,3212600000.0,2901800000.0
LandAndImprovements,169500000.0,226800000.0,258700000.0,256600000.0
LongTermCapitalLeaseObligation,486700000.0,,,
LongTermDebt,13817900000.0,16586600000.0,15346400000.0,14737500000.0
LongTermDebtAndCapitalLeaseObligation,14304600000.0,16586600000.0,15346400000.0,14737500000.0
