,MRK,MRK,MRK,MRK
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,3738000000.0,4594000000.0,4609000000.0,4264000000.0
AccountsReceivable,6778000000.0,7851000000.0,9230000000.0,9450000000.0
AccumulatedDepreciation,-17686000000.0,-18982000000.0,-18192000000.0,-17985000000.0
AdditionalPaidInCapital,39660000000.0,39588000000.0,44238000000.0,44379000000.0
AllowanceForDoubtfulAccountsReceivable,-86000000.0,-85000000.0,-62000000.0,-72000000.0
AssetsHeldForSaleCurrent,,,0.0,
BuildingsAndImprovements,11989000000.0,12645000000.0,12529000000.0,13166000000.0
CapitalStock,1788000000.0,1788000000.0,1788000000.0,1788000000.0
CashAndCashEquivalents,9676000000.0,8062000000.0,8096000000.0,12694000000.0
CashCashEquivalentsAndShortTermInvestments,10450000000.0,8062000000.0,8096000000.0,13192000000.0
CommonStock,1788000000.0,1788000000.0,1788000000.0,1788000000.0
CommonStockEquity,25907000000.0,25317000000.0,38184000000.0,45991000000.0
ConstructionInProgress,5013000000.0,7324000000.0,8313000000.0,9186000000.0
CurrentAccruedExpenses,12549000000.0,13053000000.0,13859000000.0,14159000000.0
CurrentAssets,27483000000.0,27764000000.0,30266000000.0,35722000000.0
CurrentDebt,3610000000.0,6431000000.0,2412000000.0,1946000000.0
CurrentDebtAndCapitalLeaseObligation,3610000000.0,6431000000.0,2412000000.0,1946000000.0
CurrentLiabilities,22220000000.0,27327000000.0,23872000000.0,24239000000.0
DividendsPayable,1587000000.0,1674000000.0,1768000000.0,1884000000.0
GainsLossesNotAffectingRetainedEarnings,-6193000000.0,-6634000000.0,-4429000000.0,-4768000000.0
Goodwill,19425000000.0,20238000000.0,21264000000.0,21204000000.0
GoodwillAndOtherIntangibleAssets,33621000000.0,34842000000.0,44197000000.0,41473000000.0
GrossAccountsReceivable,6864000000.0,7936000000.0,9292000000.0,9522000000.0
GrossPPE,32739000000.0,36968000000.0,37471000000.0,39407000000.0
IncomeTaxPayable,736000000.0,1575000000.0,1224000000.0,1986000000.0
Inventory,5978000000.0,6310000000.0,5953000000.0,5911000000.0
InvestedCapital,52253000000.0,57108000000.0,71286000000.0,76682000000.0
InvestmentsAndAdvances,1469000000.0,785000000.0,370000000.0,1015000000.0
LandAndImprovements,343000000.0,350000000.0,326000000.0,295000000.0
LiabilitiesHeldforSaleNonCurrent,,,0.0,
LongTermDebt,22736000000.0,25360000000.0,30690000000.0,28745000000.0
LongTermDebtAndCapitalLeaseObligation,22736000000.0,25360000000.0,30690000000.0,28745000000.0
MachineryFurnitureEquipment,15394000000.0,16649000000.0,16303000000.0,16760000000.0
MinorityInterest,94000000.0,87000000.0,73000000.0,67000000.0
NetDebt,16670000000.0,23729000000.0,25006000000.0,17997000000.0
NetPPE,15053000000.0,17986000000.0,19279000000.0,21422000000.0
NetTangibleAssets,-7714000000.0,-9525000000.0,-6013000000.0,4518000000.0
NonCurrentDeferredLiabilities,1470000000.0,1015000000.0,3441000000.0,1795000000.0
NonCurrentDeferredTaxesLiabilities,1470000000.0,1015000000.0,3441000000.0,1795000000.0
OrdinarySharesNumber,2539016026.0,2530225827.0,2527604499.0,2537833884.0
OtherCurrentAssets,4277000000.0,5541000000.0,6987000000.0,7169000000.0
OtherEquityAdjustments,-6193000000.0,-6634000000.0,-4429000000.0,-4768000000.0
OtherIntangibleAssets,14196000000.0,14604000000.0,22933000000.0,20269000000.0
OtherNonCurrentAssets,6771000000.0,10211000000.0,11582000000.0,9528000000.0
OtherNonCurrentLiabilities,11970000000.0,12482000000.0,9434000000.0,8323000000.0
OtherShortTermInvestments,774000000.0,0.0,,498000000.0
Payables,6061000000.0,7843000000.0,7601000000.0,8134000000.0
PayablesAndAccruedExpenses,18610000000.0,20896000000.0,21460000000.0,22293000000.0
Properties,0.0,0.0,0.0,0.0
Receivables,6778000000.0,7851000000.0,9230000000.0,9450000000.0
RetainedEarnings,46602000000.0,47362000000.0,53696000000.0,61081000000.0
ShareIssued,3577103522.0,3577103522.0,3577103522.0,3577103522.0
StockholdersEquity,25907000000.0,25317000000.0,38184000000.0,45991000000.0
TangibleBookValue,-7714000000.0,-9525000000.0,-6013000000.0,4518000000.0
TotalAssets,84397000000.0,91588000000.0,105694000000.0,109160000000.0
TotalCapitalization,48643000000.0,50677000000.0,68874000000.0,74736000000.0
TotalDebt,26346000000.0,31791000000.0,33102000000.0,30691000000.0
TotalEquityGrossMinorityInterest,26001000000.0,25404000000.0,38257000000.0,46058000000.0
TotalLiabilitiesNetMinorityInterest,58396000000.0,66184000000.0,67437000000.0,63102000000.0
TotalNonCurrentAssets,56914000000.0,63824000000.0,75428000000.0,73438000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,36176000000.0,38857000000.0,43565000000.0,38863000000.0
TotalTaxPayable,736000000.0,1575000000.0,1224000000.0,1986000000.0
TreasurySharesNumber,1038087496.0,1046877695.0,1049499023.0,1039269638.0
TreasuryStock,55950000000.0,56787000000.0,57109000000.0,56489000000.0
WorkingCapital,5263000000.0,437000000.0,6394000000.0,11483000000.0
