,MSFT,MSFT,MSFT,MSFT
asOfDate,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,9382000000.0,12530000000.0,15163000000.0,19000000000.0
AccountsReceivable,29524000000.0,32011000000.0,38043000000.0,44261000000.0
AccumulatedDepreciation,-35330000000.0,-43197000000.0,-51351000000.0,-59660000000.0
AllowanceForDoubtfulAccountsReceivable,-411000000.0,-788000000.0,-751000000.0,-633000000.0
BuildingsAndImprovements,26288000000.0,33995000000.0,43928000000.0,55014000000.0
CapitalLeaseObligations,6188000000.0,7671000000.0,9629000000.0,11489000000.0
CapitalStock,78520000000.0,80552000000.0,83111000000.0,86939000000.0
CashAndCashEquivalents,11356000000.0,13576000000.0,14224000000.0,13931000000.0
CashCashEquivalentsAndShortTermInvestments,133819000000.0,136527000000.0,130334000000.0,104749000000.0
CashEquivalents,,,6952000000.0,5673000000.0
CashFinancial,,,7272000000.0,8258000000.0
CommonStock,78520000000.0,80552000000.0,83111000000.0,86939000000.0
CommonStockEquity,102330000000.0,118304000000.0,141988000000.0,166542000000.0
CurrentAssets,175552000000.0,181915000000.0,184406000000.0,169684000000.0
CurrentDebt,5516000000.0,3749000000.0,8072000000.0,2749000000.0
CurrentDebtAndCapitalLeaseObligation,5516000000.0,3749000000.0,8072000000.0,2749000000.0
CurrentDeferredLiabilities,32676000000.0,36000000000.0,41525000000.0,45538000000.0
CurrentDeferredRevenue,32676000000.0,36000000000.0,41525000000.0,45538000000.0
CurrentLiabilities,69420000000.0,72310000000.0,88657000000.0,95082000000.0
FinishedGoods,1611000000.0,1112000000.0,1367000000.0,2516000000.0
GainsLossesNotAffectingRetainedEarnings,-340000000.0,3186000000.0,1822000000.0,-4678000000.0
Goodwill,42026000000.0,43351000000.0,49711000000.0,67524000000.0
GoodwillAndOtherIntangibleAssets,49776000000.0,50389000000.0,57511000000.0,78822000000.0
GrossAccountsReceivable,29935000000.0,32799000000.0,38794000000.0,44894000000.0
GrossPPE,79186000000.0,96101000000.0,122154000000.0,147206000000.0
HedgingAssetsCurrent,,,0.0,8000000.0
IncomeTaxPayable,5665000000.0,2130000000.0,2174000000.0,4067000000.0
Inventory,2063000000.0,1895000000.0,2636000000.0,3742000000.0
InvestedCapital,174508000000.0,181631000000.0,200134000000.0,216323000000.0
InvestmentsAndAdvances,2649000000.0,2965000000.0,5984000000.0,6891000000.0
LandAndImprovements,1540000000.0,1823000000.0,3660000000.0,4734000000.0
Leases,5316000000.0,5487000000.0,6884000000.0,7819000000.0
LongTermCapitalLeaseObligation,6188000000.0,7671000000.0,9629000000.0,11489000000.0
LongTermDebt,66662000000.0,59578000000.0,50074000000.0,47032000000.0
LongTermDebtAndCapitalLeaseObligation,72850000000.0,67249000000.0,59703000000.0,58521000000.0
LongTermEquityInvestment,2649000000.0,2965000000.0,5984000000.0,6891000000.0
MachineryFurnitureEquipment,38663000000.0,46043000000.0,56594000000.0,66491000000.0
NetDebt,60822000000.0,49751000000.0,43922000000.0,35850000000.0
NetPPE,43856000000.0,52904000000.0,70803000000.0,87546000000.0
NetTangibleAssets,52554000000.0,67915000000.0,84477000000.0,87720000000.0
NonCurrentDeferredLiabilities,4763000000.0,3384000000.0,2814000000.0,3100000000.0
NonCurrentDeferredRevenue,4530000000.0,3180000000.0,2616000000.0,2870000000.0
NonCurrentDeferredTaxesLiabilities,233000000.0,204000000.0,198000000.0,230000000.0
OrdinarySharesNumber,7643000000.0,7571000000.0,7519000000.0,7464000000.0
OtherCurrentAssets,10146000000.0,11482000000.0,13393000000.0,16924000000.0
OtherCurrentLiabilities,9351000000.0,10027000000.0,11666000000.0,13067000000.0
OtherIntangibleAssets,7750000000.0,7038000000.0,7800000000.0,11298000000.0
OtherNonCurrentAssets,14723000000.0,13138000000.0,15075000000.0,21897000000.0
OtherNonCurrentLiabilities,7581000000.0,10632000000.0,13427000000.0,15526000000.0
OtherProperties,7379000000.0,8753000000.0,11088000000.0,13148000000.0
OtherShortTermInvestments,122463000000.0,122951000000.0,116110000000.0,90818000000.0
Payables,15047000000.0,14660000000.0,17337000000.0,23067000000.0
PayablesAndAccruedExpenses,15047000000.0,14660000000.0,17337000000.0,23067000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,6830000000.0,7874000000.0,10057000000.0,10661000000.0
Properties,0.0,0.0,0.0,0.0
RawMaterials,399000000.0,700000000.0,1190000000.0,1144000000.0
Receivables,29524000000.0,32011000000.0,38043000000.0,44261000000.0
RetainedEarnings,24150000000.0,34566000000.0,57055000000.0,84281000000.0
ShareIssued,7643000000.0,7571000000.0,7519000000.0,7464000000.0
StockholdersEquity,102330000000.0,118304000000.0,141988000000.0,166542000000.0
TangibleBookValue,52554000000.0,67915000000.0,84477000000.0,87720000000.0
TotalAssets,286556000000.0,301311000000.0,333779000000.0,364840000000.0
TotalCapitalization,168992000000.0,177882000000.0,192062000000.0,213574000000.0
TotalDebt,78366000000.0,70998000000.0,67775000000.0,61270000000.0
TotalEquityGrossMinorityInterest,102330000000.0,118304000000.0,141988000000.0,166542000000.0
TotalLiabilitiesNetMinorityInterest,184226000000.0,183007000000.0,191791000000.0,198298000000.0
TotalNonCurrentAssets,111004000000.0,119396000000.0,149373000000.0,195156000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,114806000000.0,110697000000.0,103134000000.0,103216000000.0
TotalTaxPayable,5665000000.0,2130000000.0,2174000000.0,4067000000.0
TradeandOtherPayablesNonCurrent,29612000000.0,29432000000.0,27190000000.0,26069000000.0
WorkInProcess,53000000.0,83000000.0,79000000.0,82000000.0
WorkingCapital,106132000000.0,109605000000.0,95749000000.0,74602000000.0
