,NVDA,NVDA,NVDA,NVDA
asOfDate,2020-01-31 00:00:00,2021-01-31 00:00:00,2022-01-31 00:00:00,2023-01-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,687000000.0,1201000000.0,1783000000.0,1193000000.0
AccountsReceivable,1657000000.0,2429000000.0,4650000000.0,3827000000.0
AccumulatedDepreciation,-1011000000.0,-1408000000.0,-1903000000.0,-2694000000.0
AdditionalPaidInCapital,7045000000.0,8721000000.0,10385000000.0,11971000000.0
AllowanceForDoubtfulAccountsReceivable,,-21000000.0,,
BuildingsAndImprovements,340000000.0,341000000.0,874000000.0,1598000000.0
CapitalLeaseObligations,652000000.0,755000000.0,741000000.0,1078000000.0
CapitalStock,1000000.0,1000000.0,3000000.0,2000000.0
CashAndCashEquivalents,10896000000.0,847000000.0,1990000000.0,3389000000.0
CashCashEquivalentsAndShortTermInvestments,10897000000.0,11561000000.0,21208000000.0,13296000000.0
CommonStock,1000000.0,1000000.0,3000000.0,2000000.0
CommonStockEquity,12204000000.0,16893000000.0,26612000000.0,22101000000.0
ConstructionInProgress,320000000.0,558000000.0,737000000.0,382000000.0
CurrentAccruedExpenses,665000000.0,1194000000.0,1409000000.0,1726000000.0
CurrentAssets,13690000000.0,16055000000.0,28829000000.0,23073000000.0
CurrentCapitalLeaseObligation,91000000.0,121000000.0,,176000000.0
CurrentDebt,,999000000.0,,1250000000.0
CurrentDebtAndCapitalLeaseObligation,91000000.0,1120000000.0,,1426000000.0
CurrentDeferredLiabilities,141000000.0,288000000.0,300000000.0,354000000.0
CurrentDeferredRevenue,141000000.0,288000000.0,300000000.0,354000000.0
CurrentLiabilities,1784000000.0,3925000000.0,4335000000.0,6563000000.0
EmployeeBenefits,22000000.0,33000000.0,,
FinishedGoods,465000000.0,737000000.0,1122000000.0,2263000000.0
GainsLossesNotAffectingRetainedEarnings,1000000.0,19000000.0,-11000000.0,-43000000.0
Goodwill,618000000.0,4193000000.0,4349000000.0,4372000000.0
GoodwillAndOtherIntangibleAssets,667000000.0,6930000000.0,6688000000.0,6048000000.0
GrossAccountsReceivable,,2450000000.0,,
GrossPPE,3303000000.0,4264000000.0,5510000000.0,7539000000.0
InterestPayable,,74000000.0,,
