,ORCL,ORCL,ORCL,ORCL
asOfDate,2019-05-31 00:00:00,2020-05-31 00:00:00,2021-05-31 00:00:00,2022-05-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,580000000.0,637000000.0,745000000.0,1317000000.0
AccountsReceivable,5134000000.0,5551000000.0,5409000000.0,5953000000.0
AccumulatedDepreciation,-6823000000.0,-7581000000.0,-8751000000.0,-9958000000.0
AllowanceForDoubtfulAccountsReceivable,-371000000.0,-409000000.0,-373000000.0,-362000000.0
BuildingsAndImprovements,4253000000.0,4394000000.0,4734000000.0,4729000000.0
CapitalStock,26909000000.0,26486000000.0,26533000000.0,26808000000.0
CashAndCashEquivalents,20514000000.0,37239000000.0,30098000000.0,21383000000.0
CashCashEquivalentsAndShortTermInvestments,37827000000.0,43057000000.0,46554000000.0,21902000000.0
CommonStock,26909000000.0,26486000000.0,26533000000.0,26808000000.0
CommonStockEquity,21785000000.0,12074000000.0,5238000000.0,-6220000000.0
ConstructionInProgress,158000000.0,280000000.0,233000000.0,512000000.0
CurrentAssets,46386000000.0,52140000000.0,55567000000.0,31633000000.0
CurrentDebt,4494000000.0,2371000000.0,8250000000.0,3749000000.0
CurrentDebtAndCapitalLeaseObligation,4494000000.0,2371000000.0,8250000000.0,3749000000.0
CurrentDeferredLiabilities,8374000000.0,8002000000.0,8775000000.0,8357000000.0
CurrentDeferredRevenue,8374000000.0,8002000000.0,8775000000.0,8357000000.0
CurrentLiabilities,18630000000.0,17200000000.0,24164000000.0,19511000000.0
GainsLossesNotAffectingRetainedEarnings,-1628000000.0,-1716000000.0,-1175000000.0,-1692000000.0
Goodwill,43779000000.0,43769000000.0,43935000000.0,43811000000.0
GoodwillAndOtherIntangibleAssets,49058000000.0,47507000000.0,46365000000.0,45251000000.0
GrossAccountsReceivable,5505000000.0,5960000000.0,5782000000.0,6315000000.0
GrossPPE,13075000000.0,13825000000.0,15800000000.0,19674000000.0
InvestedCapital,77952000000.0,83671000000.0,89483000000.0,69639000000.0
LandAndImprovements,896000000.0,885000000.0,871000000.0,1166000000.0
LongTermDebt,51673000000.0,69226000000.0,75995000000.0,72110000000.0
LongTermDebtAndCapitalLeaseObligation,51673000000.0,69226000000.0,75995000000.0,72110000000.0
MachineryFurnitureEquipment,7768000000.0,8266000000.0,9962000000.0,13267000000.0
MinorityInterest,578000000.0,643000000.0,714000000.0,452000000.0
NetDebt,35653000000.0,34358000000.0,54147000000.0,54476000000.0
NetPPE,6252000000.0,6244000000.0,7049000000.0,9716000000.0
NetTangibleAssets,-27273000000.0,-35433000000.0,-41127000000.0,-51471000000.0
NonCurrentDeferredAssets,2696000000.0,3252000000.0,13636000000.0,12782000000.0
NonCurrentDeferredLiabilities,,,7864000000.0,6031000000.0
NonCurrentDeferredTaxesAssets,2696000000.0,3252000000.0,13636000000.0,12782000000.0
NonCurrentDeferredTaxesLiabilities,,,7864000000.0,6031000000.0
OrdinarySharesNumber,3359000000.0,3067000000.0,2814000000.0,2665000000.0
OtherCurrentBorrowings,4494000000.0,2371000000.0,8250000000.0,3749000000.0
OtherCurrentLiabilities,3554000000.0,4737000000.0,4377000000.0,4144000000.0
OtherIntangibleAssets,5279000000.0,3738000000.0,2430000000.0,1440000000.0
OtherNonCurrentAssets,4317000000.0,6295000000.0,8490000000.0,9915000000.0
OtherNonCurrentLiabilities,2748000000.0,3832000000.0,4787000000.0,5203000000.0
OtherShortTermInvestments,17313000000.0,5818000000.0,16456000000.0,519000000.0
Payables,580000000.0,637000000.0,745000000.0,1317000000.0
PayablesAndAccruedExpenses,580000000.0,637000000.0,745000000.0,1317000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1628000000.0,1453000000.0,2017000000.0,1944000000.0
PreferredStock,0.0,0.0,0.0,0.0
PrepaidAssets,3425000000.0,3532000000.0,3604000000.0,3778000000.0
Properties,0.0,0.0,0.0,0.0
Receivables,5134000000.0,5551000000.0,5409000000.0,5953000000.0
RetainedEarnings,-3496000000.0,-12696000000.0,-20120000000.0,-31336000000.0
ShareIssued,3359000000.0,3067000000.0,2814000000.0,2665000000.0
StockholdersEquity,21785000000.0,12074000000.0,5238000000.0,-6220000000.0
TangibleBookValue,-27273000000.0,-35433000000.0,-41127000000.0,-51471000000.0
TotalAssets,108709000000.0,115438000000.0,131107000000.0,109297000000.0
TotalCapitalization,73458000000.0,81300000000.0,81233000000.0,65890000000.0
TotalDebt,56167000000.0,71597000000.0,84245000000.0,75859000000.0
TotalEquityGrossMinorityInterest,22363000000.0,12717000000.0,5952000000.0,-5768000000.0
TotalLiabilitiesNetMinorityInterest,86346000000.0,102721000000.0,125155000000.0,115065000000.0
TotalNonCurrentAssets,62323000000.0,63298000000.0,75540000000.0,77664000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,67716000000.0,85521000000.0,100991000000.0,95554000000.0
TradeandOtherPayablesNonCurrent,13295000000.0,12463000000.0,12345000000.0,12210000000.0
WorkingCapital,27756000000.0,34940000000.0,31403000000.0,12122000000.0
