,PFE,PFE,PFE,PFE
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,4220000000.0,4309000000.0,5578000000.0,6809000000.0
AccountsReceivable,8724000000.0,7930000000.0,11479000000.0,10952000000.0
AccumulatedDepreciation,-16789000000.0,-14812000000.0,-15074000000.0,-15174000000.0
AdditionalPaidInCapital,87428000000.0,88674000000.0,90591000000.0,91802000000.0
AllowanceForDoubtfulAccountsReceivable,-527000000.0,-508000000.0,-492000000.0,-449000000.0
AssetsHeldForSaleCurrent,21000000.0,167000000.0,,
AvailableForSaleSecurities,,,,3988000000.0
BuildingsAndImprovements,10068000000.0,9022000000.0,9001000000.0,8832000000.0
CapitalStock,485000000.0,470000000.0,473000000.0,476000000.0
CashAndCashEquivalents,1305000000.0,1784000000.0,1944000000.0,416000000.0
CashCashEquivalentsAndShortTermInvestments,9830000000.0,12221000000.0,31069000000.0,22732000000.0
CommercialPaper,13915000000.0,556000000.0,0.0,
CommonStock,468000000.0,470000000.0,473000000.0,476000000.0
CommonStockEquity,63126000000.0,63238000000.0,77201000000.0,95661000000.0
ConstructionInProgress,2960000000.0,3552000000.0,3822000000.0,4875000000.0
CurrentAssets,32803000000.0,35067000000.0,59693000000.0,51259000000.0
CurrentDebt,16190000000.0,2703000000.0,2241000000.0,2945000000.0
CurrentDebtAndCapitalLeaseObligation,16190000000.0,2703000000.0,2241000000.0,2945000000.0
CurrentDeferredLiabilities,,,3067000000.0,2520000000.0
CurrentDeferredRevenue,,,3067000000.0,2520000000.0
CurrentLiabilities,37304000000.0,25920000000.0,42671000000.0,42138000000.0
DerivativeProductLiabilities,,1562000000.0,1438000000.0,959000000.0
DividendsPayable,2104000000.0,2162000000.0,2249000000.0,2303000000.0
EmployeeBenefits,6762000000.0,5411000000.0,3724000000.0,2250000000.0
FinishedGoods,2750000000.0,2878000000.0,3641000000.0,2603000000.0
ForeignCurrencyTranslationAdjustments,,,,-8360000000.0
GainsLossesNotAffectingRetainedEarnings,-11640000000.0,-11688000000.0,-5897000000.0,-8304000000.0
Goodwill,58653000000.0,49577000000.0,49208000000.0,51375000000.0
GoodwillAndOtherIntangibleAssets,94022000000.0,78049000000.0,74354000000.0,94745000000.0
GrossAccountsReceivable,9251000000.0,8438000000.0,11971000000.0,11401000000.0
GrossPPE,30756000000.0,28712000000.0,29956000000.0,31448000000.0
HeldToMaturitySecurities,,,,48000000.0
IncomeTaxPayable,980000000.0,1049000000.0,1266000000.0,1587000000.0
Inventory,8283000000.0,8046000000.0,9059000000.0,8981000000.0
InvestedCapital,115271000000.0,101512000000.0,114199000000.0,130531000000.0
InvestmentinFinancialAssets,,,,4036000000.0
InvestmentsAndAdvances,20147000000.0,20262000000.0,21526000000.0,15069000000.0
LandAndImprovements,516000000.0,444000000.0,423000000.0,368000000.0
