,PM,PM,PM,PM
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,2299000000.0,2780000000.0,3331000000.0,4076000000.0
AccountsReceivable,3080000000.0,2905000000.0,3123000000.0,3850000000.0
AccumulatedDepreciation,-7815000000.0,-8544000000.0,-8564000000.0,-8733000000.0
AdditionalPaidInCapital,2019000000.0,2105000000.0,2225000000.0,2230000000.0
AllowanceForDoubtfulAccountsReceivable,-20000000.0,-23000000.0,-70000000.0,-42000000.0
BuildingsAndImprovements,4132000000.0,4410000000.0,4293000000.0,4291000000.0
CapitalStock,0.0,0.0,0.0,0.0
CashAndCashEquivalents,6861000000.0,7280000000.0,4496000000.0,3207000000.0
CashCashEquivalentsAndShortTermInvestments,6861000000.0,7280000000.0,4496000000.0,3207000000.0
CommercialPaper,,0.0,,912000000.0
CommonStock,0.0,0.0,0.0,0.0
CommonStockEquity,-11577000000.0,-12567000000.0,-10106000000.0,-8957000000.0
ConstructionInProgress,394000000.0,449000000.0,599000000.0,1058000000.0
CurrentAccruedExpenses,2639000000.0,2904000000.0,2448000000.0,3374000000.0
CurrentAssets,20514000000.0,21492000000.0,17717000000.0,19619000000.0
CurrentDebt,4389000000.0,3368000000.0,3023000000.0,8248000000.0
CurrentDebtAndCapitalLeaseObligation,4389000000.0,3368000000.0,3023000000.0,8248000000.0
CurrentLiabilities,18833000000.0,19615000000.0,19255000000.0,27336000000.0
DividendsPayable,1831000000.0,1880000000.0,1958000000.0,1990000000.0
EmployeeBenefits,3634000000.0,4470000000.0,2968000000.0,1984000000.0
FinishedGoods,5587000000.0,5816000000.0,5426000000.0,6184000000.0
GainsLossesNotAffectingRetainedEarnings,-9363000000.0,-11181000000.0,-9577000000.0,-9559000000.0
Goodwill,5858000000.0,5964000000.0,6680000000.0,19655000000.0
GoodwillAndOtherIntangibleAssets,7971000000.0,7983000000.0,9498000000.0,26387000000.0
GrossAccountsReceivable,3100000000.0,2928000000.0,3193000000.0,3892000000.0
GrossPPE,14446000000.0,14909000000.0,14732000000.0,15443000000.0
IncomeTaxPayable,796000000.0,1091000000.0,1025000000.0,1040000000.0
Inventory,9235000000.0,9591000000.0,8720000000.0,9886000000.0
InvestedCapital,19468000000.0,18969000000.0,17700000000.0,34166000000.0
InvestmentsAndAdvances,4635000000.0,4798000000.0,4463000000.0,4431000000.0
InvestmentsinSubsidiariesatCost,4635000000.0,,,
LandAndImprovements,566000000.0,590000000.0,565000000.0,545000000.0
LineOfCredit,338000000.0,244000000.0,225000000.0,4725000000.0
LongTermDebt,26656000000.0,28168000000.0,24783000000.0,34875000000.0
LongTermDebtAndCapitalLeaseObligation,26656000000.0,28168000000.0,24783000000.0,34875000000.0
LongTermEquityInvestment,4635000000.0,4798000000.0,4463000000.0,4431000000.0
