,RACE,RACE,RACE,RACE
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,EUR,EUR,EUR,EUR
AccountsPayable,711539000.0,713807000.0,797832000.0,902968000.0
AccountsReceivable,231439000.0,184260000.0,185000000.0,232414000.0
AccumulatedDepreciation,-2118059000.0,-2321340000.0,-2502285000.0,-2740038000.0
AllowanceForDoubtfulAccountsReceivable,,,,-25800000.0
AvailableForSaleSecurities,8704000.0,8178000.0,11582000.0,10447000.0
BuildingsAndImprovements,408658000.0,430455000.0,486677000.0,498052000.0
CapitalLeaseObligations,60496000.0,62290000.0,56210000.0,57423000.0
CapitalStock,2573000.0,2573000.0,2573000.0,2573000.0
CashAndCashEquivalents,897946000.0,1362406000.0,1344146000.0,1388901000.0
CashCashEquivalentsAndShortTermInvestments,899932000.0,1363854000.0,1346081000.0,1395969000.0
CommonStock,2573000.0,2573000.0,2573000.0,2573000.0
CommonStockEquity,1481290000.0,1785186000.0,2205898000.0,2592857000.0
ConstructionInProgress,201396000.0,329743000.0,318900000.0,238614000.0
CurrentAccruedExpenses,85965000.0,60788000.0,80787000.0,98535000.0
CurrentAssets,2641201000.0,3075883000.0,3363719000.0,3952512000.0
CurrentLiabilities,804610000.0,790490000.0,991529000.0,1060066000.0
EmployeeBenefits,88116000.0,59985000.0,101200000.0,110807000.0
FinishedGoods,243777000.0,269098000.0,319992000.0,386773000.0
ForeignCurrencyTranslationAdjustments,40391000.0,28774000.0,42518000.0,52618000.0
GainsLossesNotAffectingRetainedEarnings,25997000.0,43233000.0,10872000.0,90513000.0
Goodwill,785182000.0,785182000.0,785182000.0,785182000.0
GoodwillAndOtherIntangibleAssets,1623120000.0,1764472000.0,1923355000.0,2092570000.0
GrossAccountsReceivable,,,,258214000.0
GrossPPE,3187711000.0,3547970000.0,3855450000.0,4197863000.0
HedgingAssetsCurrent,9423000.0,38636000.0,11565000.0,80233000.0
Inventory,420051000.0,460617000.0,540575000.0,674662000.0
InvestedCapital,3510531000.0,4447641000.0,4779699000.0,5347213000.0
InvestmentinFinancialAssets,8704000.0,8178000.0,11582000.0,10447000.0
InvestmentsAndAdvances,38716000.0,42841000.0,54509000.0,59534000.0
LandAndImprovements,23609000.0,29391000.0,50056000.0,131990000.0
LoansReceivable,966448000.0,939607000.0,1143968000.0,1399997000.0
LongTermCapitalLeaseObligation,60496000.0,62290000.0,56210000.0,57423000.0
LongTermDebt,2029241000.0,2662455000.0,2573801000.0,2754356000.0
LongTermDebtAndCapitalLeaseObligation,2089737000.0,2724745000.0,2630011000.0,2811779000.0
LongTermEquityInvestment,30012000.0,34663000.0,42927000.0,49087000.0
LongTermProvisions,165572000.0,155335000.0,150868000.0,180694000.0
MachineryFurnitureEquipment,2361520000.0,2544837000.0,2766723000.0,3070534000.0
MinimumPensionLiabilities,-9740000.0,-9705000.0,-9640000.0,-8338000.0
