,STLA,STLA,STLA,STLA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,EUR,EUR,EUR,EUR
AccountsPayable,21616000000.0,20576000000.0,28181000000.0,31726000000.0
AccountsReceivable,2064000000.0,1581000000.0,2998000000.0,4928000000.0
AccumulatedDepreciation,-40178000000.0,-40280000000.0,-31961000000.0,-35614000000.0
AllowanceForDoubtfulAccountsReceivable,,,-482000000.0,-562000000.0
AssetsHeldForSaleCurrent,376000000.0,319000000.0,123000000.0,2046000000.0
AvailableForSaleSecurities,49000000.0,43000000.0,67000000.0,114000000.0
BuildingsAndImprovements,9427000000.0,9344000000.0,10232000000.0,10260000000.0
CapitalLeaseObligations,1640000000.0,1693000000.0,2486000000.0,2259000000.0
CapitalStock,20000000.0,20000000.0,31000000.0,32000000.0
CashAndCashEquivalents,15014000000.0,23846000000.0,49629000000.0,46433000000.0
CashCashEquivalentsAndShortTermInvestments,15591000000.0,24196000000.0,51412000000.0,50273000000.0
CashEquivalents,9848000000.0,15097000000.0,36453000000.0,36597000000.0
CashFinancial,5166000000.0,8749000000.0,13176000000.0,9836000000.0
CommonStock,20000000.0,20000000.0,31000000.0,32000000.0
CommonStockEquity,28537000000.0,25737000000.0,55907000000.0,71999000000.0
ConstructionInProgress,3923000000.0,4602000000.0,3944000000.0,3663000000.0
CurrentAccruedExpenses,769000000.0,569000000.0,2690000000.0,3620000000.0
CurrentAssets,34932000000.0,40053000000.0,74795000000.0,84776000000.0
CurrentCapitalLeaseObligation,360000000.0,355000000.0,431000000.0,634000000.0
CurrentDebt,4516000000.0,3726000000.0,10527000000.0,7050000000.0
CurrentDebtAndCapitalLeaseObligation,4876000000.0,4081000000.0,10958000000.0,7684000000.0
CurrentDeferredLiabilities,704000000.0,638000000.0,994000000.0,1059000000.0
CurrentDeferredRevenue,704000000.0,638000000.0,994000000.0,1059000000.0
CurrentLiabilities,34376000000.0,31782000000.0,64857000000.0,66825000000.0
CurrentProvisions,8978000000.0,,9909000000.0,11311000000.0
DefinedPensionBenefit,,,2423000000.0,1844000000.0
DerivativeProductLiabilities,,,132000000.0,224000000.0
EmployeeBenefits,8507000000.0,8328000000.0,8065000000.0,5891000000.0
FinancialAssets,5000000.0,128000000.0,114000000.0,307000000.0
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,0.0,0.0,378000000.0,367000000.0
FinishedGoods,5600000000.0,3962000000.0,5144000000.0,8304000000.0
ForeignCurrencyTranslationAdjustments,1378000000.0,-1310000000.0,956000000.0,2966000000.0
GainsLossesNotAffectingRetainedEarnings,28517000000.0,25717000000.0,3100000000.0,6107000000.0
Goodwill,11065000000.0,10131000000.0,14375000000.0,15507000000.0
GoodwillAndOtherIntangibleAssets,26704000000.0,25574000000.0,46556000000.0,50744000000.0
GrossAccountsReceivable,,,3480000000.0,5490000000.0
