,T,T,T,T
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,29640000000.0,31836000000.0,30756000000.0,31101000000.0
AccountsReceivable,22636000000.0,20215000000.0,17571000000.0,11466000000.0
AccumulatedDepreciation,-203410000000.0,-200436000000.0,-203584000000.0,-202185000000.0
AdditionalPaidInCapital,126279000000.0,130175000000.0,130112000000.0,123610000000.0
AllowanceForDoubtfulAccountsReceivable,-1235000000.0,-1221000000.0,-771000000.0,-588000000.0
AssetsHeldForSaleCurrent,,,,0.0
BuildingsAndImprovements,38924000000.0,39418000000.0,39306000000.0,38751000000.0
CapitalLeaseObligations,23838000000.0,24238000000.0,21261000000.0,18659000000.0
CapitalStock,7621000000.0,7621000000.0,7621000000.0,7621000000.0
CashAndCashEquivalents,12130000000.0,9740000000.0,21169000000.0,3701000000.0
CashCashEquivalentsAndShortTermInvestments,12130000000.0,9740000000.0,21169000000.0,3701000000.0
CashEquivalents,9476000000.0,,,2835000000.0
CashFinancial,2654000000.0,,,866000000.0
CommercialPaper,0.0,,6586000000.0,866000000.0
CommonStock,7621000000.0,7621000000.0,7621000000.0,7621000000.0
CommonStockEquity,184221000000.0,161673000000.0,166332000000.0,97500000000.0
ConstructionInProgress,4176000000.0,4099000000.0,5845000000.0,7182000000.0
CurrentAccruedExpenses,5624000000.0,8150000000.0,8878000000.0,3765000000.0
CurrentAssets,54761000000.0,52008000000.0,59997000000.0,33108000000.0
CurrentCapitalLeaseObligation,162000000.0,189000000.0,,
CurrentDebt,11676000000.0,3281000000.0,25875000000.0,7597000000.0
CurrentDebtAndCapitalLeaseObligation,11838000000.0,3470000000.0,25875000000.0,7597000000.0
CurrentDeferredLiabilities,6124000000.0,6176000000.0,5303000000.0,3918000000.0
CurrentDeferredRevenue,6124000000.0,6176000000.0,5303000000.0,3918000000.0
CurrentLiabilities,68911000000.0,63438000000.0,85588000000.0,56173000000.0
CurrentNotesPayable,,,,130000000.0
DividendsPayable,3781000000.0,3741000000.0,3749000000.0,2014000000.0
EmployeeBenefits,18788000000.0,18276000000.0,12649000000.0,7260000000.0
ForeignCurrencyTranslationAdjustments,,,,-1800000000.0
GainsLossesNotAffectingRetainedEarnings,5470000000.0,4330000000.0,3529000000.0,2766000000.0
Goodwill,146241000000.0,135259000000.0,133223000000.0,67895000000.0
GoodwillAndOtherIntangibleAssets,303858000000.0,281575000000.0,292716000000.0,197341000000.0
GrossAccountsReceivable,23871000000.0,21436000000.0,18342000000.0,12054000000.0
GrossPPE,357577000000.0,352465000000.0,353668000000.0,351444000000.0
InterestPayable,2498000000.0,2454000000.0,2463000000.0,2160000000.0
Inventory,,,3464000000.0,3123000000.0
InvestedCapital,345334000000.0,316882000000.0,345027000000.0,233520000000.0
InvestmentsAndAdvances,3695000000.0,1780000000.0,7274000000.0,3533000000.0
