,TM,TM,TM,TM
asOfDate,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,JPY,JPY,JPY,JPY
AccountsPayable,2645984000000.0,2434180000000.0,2953716000000.0,3168084000000.0
AccountsReceivable,9020505000000.0,8709065000000.0,9058165000000.0,9647725000000.0
AccumulatedDepreciation,-14151290000000.0,-13855563000000.0,-14566638000000.0,-15648890000000.0
AdditionalPaidInCapital,487162000000.0,489334000000.0,497275000000.0,498575000000.0
AllowanceForDoubtfulAccountsReceivable,-16370000000.0,-23944000000.0,,
AvailableForSaleSecurities,,,,9517267000000.0
BuildingsAndImprovements,4802175000000.0,4730783000000.0,5284808000000.0,5590153000000.0
CapitalLeaseObligations,,,360891000000.0,420928000000.0
CapitalStock,397050000000.0,397050000000.0,397050000000.0,397050000000.0
CashAndCashEquivalents,3574704000000.0,4190518000000.0,5100857000000.0,6113655000000.0
CashCashEquivalentsAndShortTermInvestments,5828216000000.0,5697469000000.0,9316314000000.0,8620903000000.0
CashEquivalents,,,1754456000000.0,1482773000000.0
CashFinancial,,,3346401000000.0,4630882000000.0
CommercialPaper,3876544000000.0,4106796000000.0,,3252556000000.0
CommonStock,397050000000.0,397050000000.0,397050000000.0,397050000000.0
CommonStockEquity,19348152000000.0,20060618000000.0,23404547000000.0,26245969000000.0
ConstructionInProgress,651713000000.0,510963000000.0,675875000000.0,565528000000.0
CurrentAccruedExpenses,3222446000000.0,2926052000000.0,1397140000000.0,1520446000000.0
CurrentAssets,18879237000000.0,18642531000000.0,22776800000000.0,23722290000000.0
CurrentCapitalLeaseObligation,,,47120000000.0,56136000000.0
CurrentDebt,9599234000000.0,9860071000000.0,12164939000000.0,11131702000000.0
CurrentDebtAndCapitalLeaseObligation,9599234000000.0,9860071000000.0,12212059000000.0,11187838000000.0
CurrentLiabilities,18226938000000.0,17902377000000.0,21460466000000.0,21842161000000.0
EmployeeBenefits,963406000000.0,978626000000.0,1035096000000.0,1022749000000.0
FinishedGoods,1746159000000.0,1517173000000.0,1749415000000.0,2012243000000.0
GainsLossesNotAffectingRetainedEarnings,-916650000000.0,-1166273000000.0,,
GoodwillAndOtherIntangibleAssets,,,1108634000000.0,1191966000000.0
GrossAccountsReceivable,9036875000000.0,8733009000000.0,,
GrossPPE,24836784000000.0,24457088000000.0,26367934000000.0,28423942000000.0
IncomeTaxPayable,320998000000.0,218117000000.0,350880000000.0,826815000000.0
Inventory,2656396000000.0,2434918000000.0,2888028000000.0,3821356000000.0
InvestedCapital,39498331000000.0,40613587000000.0,48703290000000.0,52321398000000.0
InvestmentinFinancialAssets,7479926000000.0,7348651000000.0,9083914000000.0,9517267000000.0
InvestmentsAndAdvances,10793649000000.0,11472104000000.0,13244717000000.0,14355162000000.0
InvestmentsinAssociatesatCost,3313723000000.0,4123453000000.0,,3926267000000.0
InvestmentsinJointVenturesatCost,,,,911628000000.0
LandAndImprovements,1386308000000.0,1346988000000.0,1391905000000.0,1429718000000.0
LongTermCapitalLeaseObligation,,,313771000000.0,364792000000.0
LongTermDebt,10550945000000.0,10692898000000.0,13133804000000.0,14943727000000.0
LongTermDebtAndCapitalLeaseObligation,10550945000000.0,10692898000000.0,13447575000000.0,15308519000000.0
LongTermEquityInvestment,3313723000000.0,4123453000000.0,4160803000000.0,4837895000000.0
MachineryFurnitureEquipment,17996588000000.0,17868354000000.0,18957672000000.0,20763591000000.0
MinorityInterest,718985000000.0,677064000000.0,883782000000.0,908851000000.0
NetDebt,16575475000000.0,16362451000000.0,20197886000000.0,19961774000000.0
NetPPE,10685494000000.0,10601525000000.0,11801296000000.0,12775052000000.0
NetTangibleAssets,19348152000000.0,20060618000000.0,22295913000000.0,25054003000000.0
NonCurrentAccountsReceivable,10302801000000.0,10445342000000.0,12449525000000.0,14583130000000.0
NonCurrentDeferredAssets,,,336224000000.0,342202000000.0
NonCurrentDeferredLiabilities,1014851000000.0,1043169000000.0,1247220000000.0,1354794000000.0
NonCurrentDeferredTaxesAssets,,,336224000000.0,342202000000.0
NonCurrentDeferredTaxesLiabilities,1014851000000.0,1043169000000.0,1247220000000.0,1354794000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,963406000000.0,978626000000.0,1035096000000.0,1022749000000.0
OrdinarySharesNumber,14162195835.0,13830762660.0,13979743300.0,13778301544.0
OtherCurrentAssets,,,745069000000.0,791947000000.0
OtherCurrentBorrowings,5722690000000.0,5753275000000.0,12164939000000.0,7879146000000.0
OtherCurrentLiabilities,1335474000000.0,1443687000000.0,3454448000000.0,4014970000000.0
OtherEquityInterest,,,1307726000000.0,2203255000000.0
OtherIntangibleAssets,,,1108634000000.0,1191966000000.0
OtherNonCurrentAssets,1275768000000.0,1518934000000.0,549942000000.0,718968000000.0
