,Z,Z,Z,Z
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,USD,USD,USD,USD
AccountsPayable,8343000.0,18974000.0,17230000.0,20000000.0
AccountsReceivable,60579000.0,69940000.0,154937000.0,72000000.0
AccumulatedDepreciation,-175001000.0,-113785000.0,-119094000.0,-159000000.0
AdditionalPaidInCapital,4412200000.0,5880883000.0,7001084000.0,6109000000.0
AllowanceForDoubtfulAccountsReceivable,,-3427000.0,-3758000.0,
AssetsHeldForSaleCurrent,36507000.0,330758000.0,106753000.0,41000000.0
CapitalLeaseObligations,238037000.0,236033000.0,171470000.0,170000000.0
CapitalStock,21000.0,24000.0,25000.0,0.0
CashAndCashEquivalents,1141263000.0,1703130000.0,2611499000.0,1466000000.0
CashCashEquivalentsAndShortTermInvestments,2422252000.0,3921238000.0,3125421000.0,3362000000.0
CashEquivalents,946308000.0,,,1338000000.0
CashFinancial,194955000.0,,,128000000.0
CommonStock,21000.0,24000.0,25000.0,0.0
CommonStockEquity,3435421000.0,4741816000.0,5341311000.0,4482000000.0
ConstructionInProgress,194985000.0,139617000.0,182359000.0,298000000.0
CurrentAccruedExpenses,73038000.0,82239000.0,137028000.0,90000000.0
CurrentAssets,3510154000.0,4964880000.0,7679979000.0,3603000000.0
CurrentCapitalLeaseObligation,17592000.0,28310000.0,23503000.0,31000000.0
CurrentDebt,731588000.0,670209000.0,3520309000.0,37000000.0
CurrentDebtAndCapitalLeaseObligation,749180000.0,698519000.0,3543812000.0,68000000.0
CurrentDeferredLiabilities,39747000.0,48995000.0,51484000.0,44000000.0
CurrentDeferredRevenue,39747000.0,48995000.0,51484000.0,44000000.0
CurrentLiabilities,920517000.0,908641000.0,3882449000.0,270000000.0
FinishedGoods,684456000.0,339372000.0,2727421000.0,
GainsLossesNotAffectingRetainedEarnings,340000.0,164000.0,7234000.0,-15000000.0
Goodwill,1984907000.0,1984907000.0,2373792000.0,2374000000.0
GoodwillAndOtherIntangibleAssets,2175474000.0,2079674000.0,2553864000.0,2528000000.0
GrossAccountsReceivable,,73367000.0,158695000.0,
GrossPPE,557643000.0,497897000.0,463581000.0,556000000.0
InterestPayable,4501000.0,5916000.0,8264000.0,
Inventory,836627000.0,491293000.0,3912662000.0,
InvestedCapital,5710411000.0,7025548000.0,10180844000.0,6179000000.0
Leases,81981000.0,110280000.0,107017000.0,90000000.0
LineOfCredit,721951000.0,670209000.0,3520309000.0,37000000.0
LongTermCapitalLeaseObligation,220445000.0,207723000.0,147967000.0,139000000.0
LongTermDebt,1543402000.0,1613523000.0,1319224000.0,1660000000.0
LongTermDebtAndCapitalLeaseObligation,1763847000.0,1821246000.0,1467191000.0,1799000000.0
MachineryFurnitureEquipment,68524000.0,60040000.0,44273000.0,42000000.0
NetDebt,1133727000.0,580602000.0,2228034000.0,231000000.0
