,A,A,A,A,A
asOfDate,2019-10-31 00:00:00,2020-10-31 00:00:00,2021-10-31 00:00:00,2022-10-31 00:00:00,2022-10-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AssetImpairmentCharge,0.0,99000000.0,2000000.0,0.0,0.0
BeginningCashPosition,2254000000.0,1388000000.0,1447000000.0,1490000000.0,1490000000.0
CapitalExpenditure,-156000000.0,-119000000.0,-189000000.0,-291000000.0,-291000000.0
CashDividendsPaid,-206000000.0,-222000000.0,-236000000.0,-250000000.0,-250000000.0
CashFlowFromContinuingFinancingActivities,-299000000.0,-717000000.0,-696000000.0,-1372000000.0,-1372000000.0
CashFlowFromContinuingInvestingActivities,-1590000000.0,-147000000.0,-749000000.0,-338000000.0,-338000000.0
CashFlowFromContinuingOperatingActivities,1021000000.0,921000000.0,1485000000.0,1312000000.0,1312000000.0
ChangeInAccountPayable,29000000.0,2000000.0,64000000.0,121000000.0,121000000.0
ChangeInCashSupplementalAsReported,-866000000.0,59000000.0,43000000.0,-434000000.0,-434000000.0
ChangeInInventory,-36000000.0,-68000000.0,-136000000.0,-248000000.0,-248000000.0
ChangeInOtherWorkingCapital,-20000000.0,-152000000.0,98000000.0,-30000000.0,-30000000.0
ChangeInPayable,29000000.0,2000000.0,64000000.0,121000000.0,121000000.0
ChangeInPayablesAndAccruedExpense,29000000.0,2000000.0,64000000.0,121000000.0,121000000.0
ChangeInReceivables,-106000000.0,-107000000.0,-128000000.0,-321000000.0,-321000000.0
ChangeInWorkingCapital,-133000000.0,-325000000.0,-102000000.0,-478000000.0,-478000000.0
ChangesInAccountReceivables,-106000000.0,-107000000.0,-128000000.0,-321000000.0,-321000000.0
ChangesInCash,-868000000.0,57000000.0,40000000.0,-398000000.0,-398000000.0
CommonStockDividendPaid,-206000000.0,-222000000.0,-236000000.0,-250000000.0,-250000000.0
CommonStockPayments,-723000000.0,-469000000.0,-788000000.0,-1139000000.0,-1139000000.0
DeferredIncomeTax,-255000000.0,29000000.0,14000000.0,8000000.0,8000000.0
DeferredTax,-255000000.0,29000000.0,14000000.0,8000000.0,8000000.0
DepreciationAmortizationDepletion,238000000.0,308000000.0,321000000.0,317000000.0,317000000.0
DepreciationAndAmortization,238000000.0,308000000.0,321000000.0,317000000.0,317000000.0
EffectOfExchangeRateChanges,2000000.0,2000000.0,3000000.0,-36000000.0,-36000000.0
EndCashPosition,1388000000.0,1447000000.0,1490000000.0,1056000000.0,1056000000.0
FinancingCashFlow,-299000000.0,-717000000.0,-696000000.0,-1372000000.0,-1372000000.0
FreeCashFlow,865000000.0,802000000.0,1296000000.0,1021000000.0,1021000000.0
GainLossOnInvestmentSecurities,,,-98000000.0,67000000.0,67000000.0
IncomeTaxPaidSupplementalData,159000000.0,361000000.0,211000000.0,279000000.0,279000000.0
InterestPaidSupplementalData,80000000.0,71000000.0,76000000.0,85000000.0,85000000.0
InvestingCashFlow,-1590000000.0,-147000000.0,-749000000.0,-338000000.0,-338000000.0
IssuanceOfDebt,1302000000.0,1717000000.0,2495000000.0,1895000000.0,1895000000.0
LongTermDebtIssuance,1302000000.0,1297000000.0,848000000.0,600000000.0,600000000.0
LongTermDebtPayments,-702000000.0,-1417000000.0,-417000000.0,-609000000.0,-609000000.0
NetBusinessPurchaseAndSale,-1408000000.0,0.0,-546000000.0,-52000000.0,-52000000.0
NetCommonStockIssuance,-723000000.0,-469000000.0,-788000000.0,-1139000000.0,-1139000000.0
NetIncome,1071000000.0,719000000.0,1210000000.0,1254000000.0,1254000000.0
