,A2A.MI,A2A.MI,A2A.MI,A2A.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-06-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
AmortizationCashFlow,123000000.0,142000000.0,201000000.0,213000000.0
BeginningCashPosition,624000000.0,434000000.0,1012000000.0,324000000.0
CapitalExpenditure,-627000000.0,-738000000.0,-1074000000.0,-1124000000.0
CashDividendsPaid,-218000000.0,,,
ChangeInCashSupplementalAsReported,-193000000.0,578000000.0,-48000000.0,1247000000.0
ChangeInInventory,,53000000.0,-56000000.0,-269000000.0
ChangeInOtherCurrentAssets,,-116000000.0,225000000.0,-68000000.0
ChangeInPayable,,25000000.0,1329000000.0,1869000000.0
ChangeInReceivables,,-123000000.0,-1285000000.0,-1641000000.0
ChangeInWorkingCapital,244000000.0,-161000000.0,213000000.0,-109000000.0
ChangesInCash,-193000000.0,578000000.0,-48000000.0,1247000000.0
CommonStockDividendPaid,-218000000.0,,,
DeferredTax,,99000000.0,36000000.0,220000000.0
Depreciation,379000000.0,413000000.0,465000000.0,481000000.0
DepreciationAndAmortization,502000000.0,555000000.0,666000000.0,694000000.0
DividendPaidCFO,,,-263000000.0,-300000000.0
DividendsReceivedCFI,0.0,1000000.0,0.0,
EndCashPosition,434000000.0,1012000000.0,964000000.0,1571000000.0
FinancingCashFlow,-442000000.0,783000000.0,412000000.0,1906000000.0
FreeCashFlow,305000000.0,-141000000.0,61000000.0,-309000000.0
GainLossOnInvestmentSecurities,,4000000.0,,
InterestPaidCFO,-100000000.0,-80000000.0,-80000000.0,-63000000.0
InvestingCashFlow,-683000000.0,-802000000.0,-1595000000.0,-1474000000.0
IssuanceOfDebt,498000000.0,1080000000.0,1152000000.0,2856000000.0
LongTermDebtIssuance,498000000.0,1080000000.0,1152000000.0,2856000000.0
LongTermDebtPayments,-657000000.0,-228000000.0,-731000000.0,-885000000.0
NetBusinessPurchaseAndSale,-56000000.0,-139000000.0,-444000000.0,-773000000.0
NetIncome,389000000.0,364000000.0,504000000.0,492000000.0
NetIncomeFromContinuingOperations,393000000.0,368000000.0,550000000.0,535000000.0
NetIntangiblesPurchaseAndSale,-247000000.0,-287000000.0,-360000000.0,-364000000.0
NetIssuancePaymentsOfDebt,-159000000.0,852000000.0,421000000.0,1971000000.0
NetLongTermDebtIssuance,-159000000.0,852000000.0,421000000.0,1971000000.0
NetOtherFinancingCharges,-34000000.0,-35000000.0,-7000000.0,-55000000.0
NetOtherInvestingChanges,,36000000.0,-82000000.0,74000000.0
NetPPEPurchaseAndSale,-380000000.0,-413000000.0,-709000000.0,-411000000.0
OperatingCashFlow,932000000.0,597000000.0,1135000000.0,815000000.0
OtherCashAdjustmentOutsideChangeinCash,3000000.0,,,
OtherNonCashItems,114000000.0,81000000.0,72000000.0,75000000.0
ProvisionandWriteOffofAssets,,94000000.0,89000000.0,99000000.0
PurchaseOfBusiness,-56000000.0,-139000000.0,-444000000.0,-773000000.0
PurchaseOfIntangibles,-247000000.0,-287000000.0,-360000000.0,-364000000.0
PurchaseOfPPE,-380000000.0,-451000000.0,-714000000.0,-760000000.0
RepaymentOfDebt,-657000000.0,-228000000.0,-731000000.0,-885000000.0
SaleOfPPE,0.0,38000000.0,5000000.0,349000000.0
TaxesRefundPaid,-235000000.0,-123000000.0,-165000000.0,-163000000.0
