,AACG,AACG,AACG,AACG
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,CNY,CNY,CNY,CNY
AssetImpairmentCharge,35746946.0,4846816.0,6000000.0,
BeginningCashPosition,190586342.0,154197758.0,112723433.0,
CapitalExpenditure,-1284816.0,-4910407.0,-4451589.0,
CashDividendsPaid,0.0,0.0,,
CashFlowFromContinuingFinancingActivities,57566469.0,6303594.0,827516.0,
CashFlowFromContinuingInvestingActivities,-41839518.0,-19090428.0,-10028992.0,
CashFlowFromContinuingOperatingActivities,-57876559.0,-27873360.0,-31833685.0,
CashFromDiscontinuedInvestingActivities,4894197.0,0.0,,
ChangeInAccruedExpense,14737959.0,1678155.0,4532885.0,
ChangeInCashSupplementalAsReported,-36388584.0,-41474325.0,-41384072.0,
ChangeInIncomeTaxPayable,679961.0,-571474.0,-85707.0,
ChangeInOtherCurrentAssets,-10066863.0,-6552514.0,-3788762.0,
ChangeInOtherWorkingCapital,6846155.0,32257157.0,6798577.0,
ChangeInPayable,679961.0,-571474.0,-85707.0,
ChangeInPayablesAndAccruedExpense,15417920.0,1106681.0,4447178.0,
ChangeInPrepaidAssets,-3615775.0,12866352.0,675236.0,
ChangeInReceivables,225192.0,-2030603.0,1245142.0,
ChangeInTaxPayable,679961.0,-571474.0,-85707.0,
ChangeInWorkingCapital,8806629.0,37647073.0,9377371.0,
ChangesInAccountReceivables,225192.0,-2030603.0,1245142.0,
ChangesInCash,-37255411.0,-40660194.0,-41035161.0,
CommonStockDividendPaid,0.0,0.0,,
CommonStockIssuance,61693192.0,8530931.0,0.0,
CommonStockPayments,,-4003530.0,0.0,
DeferredIncomeTax,-8054197.0,-10283238.0,-1562358.0,
DeferredTax,-8054197.0,-10283238.0,-1562358.0,
DepreciationAmortizationDepletion,17545060.0,29913815.0,23025480.0,
DepreciationAndAmortization,17545060.0,29913815.0,23025480.0,
EarningsLossesFromEquityInvestments,7850.0,,,
EffectOfExchangeRateChanges,866827.0,-814131.0,-348911.0,
EndCashPosition,154197758.0,112723433.0,71339361.0,
FinancingCashFlow,57566469.0,6303594.0,827516.0,
FreeCashFlow,-59161375.0,-32783767.0,-36285274.0,
GainLossOnSaleOfBusiness,,1767800.0,-33542154.0,
GainLossOnSaleOfPPE,-4894197.0,87991.0,24380.0,
IncomeTaxPaidSupplementalData,-209697.0,114003.0,154379.0,
InterestPaidSupplementalData,-231722.0,208220.0,25278.0,
InvestingCashFlow,-36945321.0,-19090428.0,-10028992.0,
IssuanceOfCapitalStock,61693192.0,8530931.0,0.0,
IssuanceOfDebt,0.0,19618000.0,2710000.0,
LongTermDebtPayments,0.0,0.0,,
NetBusinessPurchaseAndSale,-34554702.0,-14217462.0,-5599893.0,
NetCommonStockIssuance,61693192.0,4527401.0,0.0,
NetForeignCurrencyExchangeGainLoss,-56630.0,1050043.0,213741.0,
NetIncome,-122253989.0,-92198032.0,-33649593.0,-52460067.0
NetIncomeFromContinuingOperations,-129218299.0,-100584748.0,-36410117.0,
NetIntangiblesPurchaseAndSale,0.0,0.0,,
NetInvestmentPurchaseAndSale,-6000000.0,0.0,0.0,
NetIssuancePaymentsOfDebt,-9000000.0,1810000.0,710000.0,
NetLongTermDebtIssuance,0.0,0.0,,
NetOtherFinancingCharges,4873277.0,-33807.0,-114729.0,
NetPPEPurchaseAndSale,-1284816.0,-4872966.0,-4429099.0,
NetShortTermDebtIssuance,-9000000.0,1810000.0,710000.0,
OperatingCashFlow,-57876559.0,-27873360.0,-31833685.0,
OperatingGainsLosses,-4942977.0,2905834.0,-33304033.0,
ProceedsFromStockOptionExercised,0.0,0.0,232245.0,
ProvisionandWriteOffofAssets,17430825.0,5904305.0,0.0,
PurchaseOfBusiness,-34554702.0,-15000000.0,-5599893.0,
PurchaseOfIntangibles,0.0,0.0,,
PurchaseOfInvestment,-6000000.0,0.0,0.0,
PurchaseOfPPE,-1284816.0,-4910407.0,-4451589.0,
RepaymentOfDebt,-9000000.0,-17808000.0,-2000000.0,
RepurchaseOfCapitalStock,,-4003530.0,0.0,
SaleOfBusiness,0.0,782538.0,0.0,
SaleOfPPE,0.0,37441.0,22490.0,
ShortTermDebtIssuance,0.0,19618000.0,2710000.0,
ShortTermDebtPayments,-9000000.0,-17808000.0,-2000000.0,
StockBasedCompensation,4809454.0,1776783.0,1039972.0,
UnrealizedGainLossOnInvestmentSecurities,0.0,0.0,,
