,AACI,AACI
asOfDate,2022-09-30 00:00:00,2022-12-31 00:00:00
periodType,12M,TTM
currencyCode,USD,USD
BeginningCashPosition,657590.0,419700.0
CashFlowFromContinuingFinancingActivities,251754.0,2201754.0
CashFlowFromContinuingInvestingActivities,182069.0,-1317931.0
CashFlowFromContinuingOperatingActivities,-913835.0,-940275.0
ChangeInAccountPayable,2954179.0,1374842.0
ChangeInCashSupplementalAsReported,-480012.0,-56453.0
ChangeInIncomeTaxPayable,269950.0,531431.0
ChangeInPayable,3224129.0,1906273.0
ChangeInPayablesAndAccruedExpense,3224129.0,1906273.0
ChangeInPrepaidAssets,398920.0,334024.0
ChangeInTaxPayable,269950.0,531431.0
ChangeInWorkingCapital,3623049.0,2240297.0
ChangesInCash,-480012.0,-56453.0
CommonStockIssuance,0.0,
EndCashPosition,177578.0,363247.0
FinancingCashFlow,251754.0,2201754.0
FreeCashFlow,-913835.0,-940276.0
InvestingCashFlow,182069.0,-1317931.0
IssuanceOfCapitalStock,0.0,
IssuanceOfDebt,483034.0,2433034.0
LongTermDebtIssuance,483034.0,
LongTermDebtPayments,-231280.0,
NetCommonStockIssuance,0.0,
NetIncome,-3622794.0,-979653.0
NetIncomeFromContinuingOperations,-3622794.0,-979653.0
NetIssuancePaymentsOfDebt,251754.0,2201754.0
NetLongTermDebtIssuance,-231280.0,
NetOtherInvestingChanges,182069.0,
NetShortTermDebtIssuance,483034.0,2433034.0
OperatingCashFlow,-913835.0,-940276.0
OtherNonCashItems,-1025942.0,-2312772.0
RepaymentOfDebt,-231280.0,
ShortTermDebtIssuance,483034.0,2433034.0
StockBasedCompensation,111852.0,111852.0
