,AADI,AADI,AADI
asOfDate,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,TTM
currencyCode,USD,USD,USD
AssetImpairmentCharge,0.0,74156000.0,3724000.0
BeginningCashPosition,15962000.0,4455000.0,161375000.0
CapitalExpenditure,,-46000.0,
CashDividendsPaid,0.0,-4412000.0,0.0
CashFlowFromContinuingFinancingActivities,1194000.0,141804000.0,72815000.0
CashFlowFromContinuingInvestingActivities,0.0,25153000.0,-48553000.0
CashFlowFromContinuingOperatingActivities,-12701000.0,-22423000.0,-50758000.0
ChangeInAccountPayable,1079000.0,8290000.0,
ChangeInCashSupplementalAsReported,-11507000.0,144534000.0,-26496000.0
ChangeInOtherCurrentAssets,37000.0,481000.0,416000.0
ChangeInOtherCurrentLiabilities,-197000.0,-129000.0,8357000.0
ChangeInPayable,3540000.0,-90000.0,
ChangeInPayablesAndAccruedExpense,3540000.0,-90000.0,-3033000.0
ChangeInPrepaidAssets,-22000.0,-2166000.0,-3218000.0
ChangeInReceivables,-13864000.0,14149000.0,-2261000.0
ChangeInWorkingCapital,-10506000.0,12245000.0,-473000.0
ChangesInAccountReceivables,-13864000.0,14149000.0,-2261000.0
ChangesInCash,-11507000.0,144534000.0,-26496000.0
CommonStockIssuance,0.0,155000000.0,72500000.0
DepreciationAmortizationDepletion,9000.0,105000.0,185000.0
DepreciationAndAmortization,9000.0,105000.0,185000.0
EndCashPosition,4455000.0,148989000.0,134879000.0
FinancingCashFlow,1194000.0,141804000.0,72815000.0
FreeCashFlow,-12701000.0,-22469000.0,-51170000.0
InvestingCashFlow,0.0,25153000.0,-48553000.0
IssuanceOfCapitalStock,0.0,155000000.0,72500000.0
IssuanceOfDebt,1194000.0,0.0,
LongTermDebtIssuance,1194000.0,0.0,
NetBusinessPurchaseAndSale,0.0,25199000.0,0.0
NetCommonStockIssuance,0.0,155000000.0,72500000.0
NetIncome,-3478000.0,-110090000.0,-62590000.0
NetIncomeFromContinuingOperations,-3478000.0,-110090000.0,-62590000.0
NetIssuancePaymentsOfDebt,1194000.0,0.0,
NetLongTermDebtIssuance,1194000.0,0.0,
NetOtherFinancingCharges,,-9617000.0,-223000.0
NetPPEPurchaseAndSale,0.0,-46000.0,-412000.0
OperatingCashFlow,-12701000.0,-22423000.0,-50758000.0
OperatingGainsLosses,,-196000.0,
OtherNonCashItems,982000.0,836000.0,389000.0
ProceedsFromStockOptionExercised,0.0,833000.0,538000.0
PurchaseOfBusiness,0.0,-4501000.0,0.0
PurchaseOfPPE,0.0,-46000.0,-412000.0
SaleOfBusiness,0.0,29700000.0,0.0
StockBasedCompensation,139000.0,2106000.0,8156000.0
UnrealizedGainLossOnInvestmentSecurities,153000.0,-1585000.0,0.0
