,AAIC,AAIC,AAIC,AAIC,AAIC
asOfDate,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,TTM,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,26713000.0,,19636000.0,39965000.0,24650000.0
CashDividendsPaid,-44520000.0,,-11315000.0,-2916000.0,-2863000.0
CashFlowFromContinuingFinancingActivities,-107146000.0,,-2979662000.0,-264738000.0,-131028000.0
CashFlowFromContinuingInvestingActivities,53504000.0,,2974077000.0,241868000.0,125334000.0
CashFlowFromContinuingOperatingActivities,46565000.0,,25914000.0,4691000.0,-2609000.0
ChangeInAccountPayable,-1494000.0,,-4233000.0,2163000.0,2626000.0
ChangeInAccruedExpense,-106000.0,,-1015000.0,65000.0,-165000.0
ChangeInCashSupplementalAsReported,-7077000.0,,20329000.0,-18179000.0,-8303000.0
ChangeInOtherCurrentAssets,4539000.0,,4495000.0,-47000.0,-1283000.0
ChangeInOtherWorkingCapital,-106000.0,,-1015000.0,,
ChangeInPayable,-1494000.0,,-4233000.0,2163000.0,2626000.0
ChangeInPayablesAndAccruedExpense,-1600000.0,,-5248000.0,2228000.0,2461000.0
ChangeInReceivables,2686000.0,,9115000.0,1145000.0,-46000.0
ChangeInWorkingCapital,5625000.0,,8362000.0,3326000.0,1132000.0
ChangesInAccountReceivables,2686000.0,,9115000.0,1145000.0,-46000.0
ChangesInCash,-7077000.0,,20329000.0,-18179000.0,-8303000.0
CommonStockDividendPaid,-44520000.0,,-11315000.0,,
CommonStockIssuance,48796000.0,,0.0,,
CommonStockPayments,,,-10377000.0,-12475000.0,-12598000.0
DeferredIncomeTax,0.0,,,,
DeferredTax,0.0,,,,
EndCashPosition,19636000.0,,39965000.0,21786000.0,16347000.0
FinancingCashFlow,-107146000.0,,-2979662000.0,-264738000.0,-131028000.0
FreeCashFlow,46565000.0,,25914000.0,4691000.0,-2609000.0
GainLossOnInvestmentSecurities,-2197000.0,,78199000.0,13199000.0,-4687000.0
IncomeTaxPaidSupplementalData,0.0,0.0,,0.0,1641000.0
InterestPaidSupplementalData,97006000.0,,26479000.0,7907000.0,13930000.0
InvestingCashFlow,53504000.0,,2974077000.0,241868000.0,125334000.0
IssuanceOfCapitalStock,77766000.0,,0.0,919000.0,509000.0
IssuanceOfDebt,,,,75469000.0,138524000.0
LongTermDebtIssuance,,,,75469000.0,138524000.0
LongTermDebtPayments,,,-29983000.0,-117147000.0,-127138000.0
NetCommonStockIssuance,48796000.0,,-10377000.0,-12475000.0,-12598000.0
NetIncome,13742000.0,,-67716000.0,-9515000.0,4871000.0
NetIncomeFromContinuingOperations,13742000.0,,-67716000.0,-9515000.0,4871000.0
NetInvestmentPropertiesPurchaseAndSale,,,,-61188000.0,-57376000.0
NetInvestmentPurchaseAndSale,131955000.0,,2946536000.0,290621000.0,119184000.0
NetIssuancePaymentsOfDebt,,,-29983000.0,-41678000.0,11386000.0
NetLongTermDebtIssuance,,,-29983000.0,-41678000.0,11386000.0
NetOtherFinancingCharges,,,-85000.0,,
NetOtherInvestingChanges,31000.0,,-3640000.0,-90615000.0,19949000.0
NetPreferredStockIssuance,28970000.0,,-1877000.0,919000.0,-2880000.0
OperatingCashFlow,46565000.0,,25914000.0,4691000.0,-2609000.0
OperatingGainsLosses,-2197000.0,,78199000.0,13199000.0,-4687000.0
OtherNonCashItems,2932000.0,,2275000.0,2472000.0,5731000.0
PreferredStockIssuance,28970000.0,,0.0,919000.0,509000.0
PreferredStockPayments,,,-1877000.0,0.0,-3389000.0
PurchaseOfInvestment,-4415838000.0,,-1291489000.0,-659797000.0,-732191000.0
PurchaseOfInvestmentProperties,,,,-61188000.0,-186160000.0
RepaymentOfDebt,,,-29983000.0,-117147000.0,-127138000.0
RepurchaseOfCapitalStock,,,-12254000.0,-12475000.0,-15987000.0
SaleOfInvestment,4547793000.0,,4238025000.0,950418000.0,851375000.0
