,AAL,AAL,AAL,AAL,AAL
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,286000000.0,290000000.0,399000000.0,408000000.0,408000000.0
CapitalExpenditure,-4268000000.0,-1958000000.0,-412000000.0,-2906000000.0,-2906000000.0
CapitalExpenditureReported,-4268000000.0,-1958000000.0,-208000000.0,-2546000000.0,-2546000000.0
CashDividendsPaid,-178000000.0,-43000000.0,0.0,0.0,0.0
CashFlowFromContinuingFinancingActivities,-1568000000.0,10994000000.0,5288000000.0,-2631000000.0,-2631000000.0
CashFlowFromContinuingInvestingActivities,-2243000000.0,-4342000000.0,-5983000000.0,636000000.0,636000000.0
CashFlowFromContinuingOperatingActivities,3815000000.0,-6543000000.0,704000000.0,2173000000.0,2173000000.0
ChangeInCashSupplementalAsReported,4000000.0,109000000.0,9000000.0,178000000.0,178000000.0
ChangeInOtherCurrentAssets,-373000000.0,-38000000.0,-402000000.0,-775000000.0,-775000000.0
ChangeInOtherCurrentLiabilities,469000000.0,-51000000.0,1454000000.0,658000000.0,658000000.0
ChangeInOtherWorkingCapital,-1363000000.0,1394000000.0,-168000000.0,-13000000.0,-13000000.0
ChangeInPayablesAndAccruedExpense,327000000.0,-626000000.0,461000000.0,585000000.0,585000000.0
ChangeInReceivables,73000000.0,538000000.0,-304000000.0,-637000000.0,-637000000.0
ChangeInWorkingCapital,-867000000.0,1217000000.0,1041000000.0,-182000000.0,-182000000.0
ChangesInCash,4000000.0,109000000.0,9000000.0,178000000.0,178000000.0
CommonStockDividendPaid,-178000000.0,-43000000.0,,0.0,0.0
CommonStockIssuance,,2970000000.0,460000000.0,0.0,0.0
CommonStockPayments,-1097000000.0,-173000000.0,-18000000.0,-21000000.0,-21000000.0
DeferredIncomeTax,560000000.0,-2568000000.0,-555000000.0,65000000.0,65000000.0
DeferredTax,560000000.0,-2568000000.0,-555000000.0,65000000.0,65000000.0
DepreciationAmortizationDepletion,2318000000.0,2370000000.0,2335000000.0,2298000000.0,2298000000.0
DepreciationAndAmortization,2318000000.0,2370000000.0,2335000000.0,2298000000.0,2298000000.0
EndCashPosition,290000000.0,399000000.0,408000000.0,586000000.0,586000000.0
FinancingCashFlow,-1568000000.0,10994000000.0,5288000000.0,-2631000000.0,-2631000000.0
FreeCashFlow,-453000000.0,-8501000000.0,292000000.0,-733000000.0,-733000000.0
GainLossOnSaleOfPPE,-112000000.0,-95000000.0,-22000000.0,0.0,0.0
InvestingCashFlow,-2243000000.0,-4342000000.0,-5983000000.0,636000000.0,636000000.0
IssuanceOfCapitalStock,,2970000000.0,460000000.0,0.0,0.0
IssuanceOfDebt,3960000000.0,11780000000.0,12190000000.0,1069000000.0,1069000000.0
LongTermDebtIssuance,3960000000.0,11780000000.0,12190000000.0,1069000000.0,1069000000.0
LongTermDebtPayments,-4190000000.0,-3535000000.0,-7343000000.0,-3752000000.0,-3752000000.0
NetBusinessPurchaseAndSale,0.0,,-23000000.0,-321000000.0,-321000000.0
NetCommonStockIssuance,-1097000000.0,2970000000.0,442000000.0,-21000000.0,-21000000.0
NetIncome,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetIncomeFromContinuingOperations,1686000000.0,-8885000000.0,-1993000000.0,127000000.0,127000000.0
NetInvestmentPurchaseAndSale,957000000.0,-3029000000.0,-5531000000.0,3715000000.0,3715000000.0
NetIssuancePaymentsOfDebt,-230000000.0,8245000000.0,4847000000.0,-2683000000.0,-2683000000.0
NetLongTermDebtIssuance,-230000000.0,8245000000.0,4847000000.0,-2683000000.0,-2683000000.0
NetOtherFinancingCharges,-63000000.0,-5000000.0,-1000000.0,73000000.0,73000000.0
NetOtherInvestingChanges,164000000.0,-371000000.0,-391000000.0,1000000.0,1000000.0
NetPPEPurchaseAndSale,904000000.0,1016000000.0,170000000.0,-213000000.0,-213000000.0
OperatingCashFlow,3815000000.0,-6543000000.0,704000000.0,2173000000.0,2173000000.0
OperatingGainsLosses,-290000000.0,-414000000.0,-343000000.0,-405000000.0,-405000000.0
OtherNonCashItems,314000000.0,1646000000.0,121000000.0,192000000.0,192000000.0
PensionAndEmployeeBenefitExpense,-178000000.0,-319000000.0,-321000000.0,-405000000.0,-405000000.0
ProceedsFromStockOptionExercised,,-173000000.0,,-21000000.0,-21000000.0
PurchaseOfBusiness,0.0,,-28000000.0,-321000000.0,-321000000.0
PurchaseOfInvestment,-3187000000.0,-5873000000.0,-19454000000.0,-11257000000.0,-11257000000.0
PurchaseOfPPE,,,-204000000.0,-360000000.0,-360000000.0
RepaymentOfDebt,-4190000000.0,-3535000000.0,-7343000000.0,-3752000000.0,-3752000000.0
RepurchaseOfCapitalStock,-1097000000.0,-173000000.0,-18000000.0,-21000000.0,-21000000.0
SaleOfBusiness,,,5000000.0,,
SaleOfInvestment,4144000000.0,2844000000.0,13923000000.0,14972000000.0,14972000000.0
SaleOfPPE,904000000.0,1016000000.0,374000000.0,147000000.0,147000000.0
StockBasedCompensation,94000000.0,91000000.0,98000000.0,78000000.0,78000000.0
