,AAMC,AAMC,AAMC,AAMC
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD
BeginningCashPosition,27171000.0,19965000.0,41807000.0,84544000.0
CapitalExpenditure,-295000.0,-86000.0,-511000.0,
CashFlowFromContinuingFinancingActivities,-244000.0,713000.0,-4884000.0,47603000.0
CashFlowFromContinuingInvestingActivities,-186000.0,-86000.0,58396000.0,-92297000.0
CashFlowFromContinuingOperatingActivities,-6744000.0,-19192000.0,-23115000.0,-26622000.0
CashFromDiscontinuedFinancingActivities,,-1010000.0,80000.0,0.0
CashFromDiscontinuedInvestingActivities,,3643000.0,511000.0,0.0
CashFromDiscontinuedOperatingActivities,,37798000.0,5439000.0,0.0
ChangeInAccountPayable,126000.0,-119000.0,-7064000.0,
ChangeInAccruedExpense,-163000.0,-1206000.0,-1544000.0,
ChangeInCashSupplementalAsReported,-7174000.0,21866000.0,36427000.0,-71316000.0
ChangeInOtherCurrentAssets,13000.0,699000.0,1553000.0,
ChangeInOtherCurrentLiabilities,-188000.0,956000.0,1854000.0,
ChangeInOtherWorkingCapital,13000.0,1726000.0,,
ChangeInPayable,126000.0,-119000.0,-7064000.0,
ChangeInPayablesAndAccruedExpense,-37000.0,-1325000.0,-8608000.0,
ChangeInPrepaidAssets,-147000.0,-2477000.0,56000.0,
ChangeInReceivables,-1046000.0,1600000.0,3414000.0,0.0
ChangeInWorkingCapital,-1405000.0,-547000.0,-1731000.0,-1779000.0
ChangesInAccountReceivables,-1046000.0,1600000.0,,
ChangesInCash,-7174000.0,21866000.0,36427000.0,-71316000.0
CommonStockPayments,-244000.0,-311000.0,-1046000.0,-2869000.0
Depreciation,737000.0,430000.0,448000.0,452000.0
DepreciationAmortizationDepletion,737000.0,430000.0,448000.0,452000.0
DepreciationAndAmortization,737000.0,430000.0,448000.0,452000.0
DividendsReceivedCFI,,,3061000.0,0.0
EffectOfExchangeRateChanges,-32000.0,-24000.0,115000.0,-33000.0
EndCashPosition,19965000.0,41807000.0,78349000.0,13228000.0
FinancingCashFlow,-244000.0,-297000.0,-4804000.0,47603000.0
FreeCashFlow,-7039000.0,18520000.0,-18187000.0,-26622000.0
GainLossOnInvestmentSecurities,,,-11408000.0,-3061000.0
IncomeTaxPaidSupplementalData,594000.0,428000.0,2103000.0,
InterestPaidSupplementalData,,,60000.0,
InvestingCashFlow,-186000.0,3557000.0,58907000.0,-92297000.0
IssuanceOfDebt,,,28549000.0,54733000.0
LongTermDebtIssuance,,,28549000.0,54733000.0
LongTermDebtPayments,,,-28549000.0,-2266000.0
NetCommonStockIssuance,-244000.0,-311000.0,-1046000.0,-2869000.0
NetIncome,-2613000.0,39821000.0,81957000.0,-15107000.0
NetIncomeFromContinuingOperations,-2613000.0,39821000.0,-6004000.0,-13993000.0
NetInvestmentPurchaseAndSale,67000.0,,55846000.0,0.0
NetIssuancePaymentsOfDebt,,,0.0,52467000.0
NetLongTermDebtIssuance,,,0.0,52467000.0
NetOtherFinancingCharges,-244000.0,1001000.0,-75000.0,-79000.0
NetPPEPurchaseAndSale,-253000.0,-86000.0,-511000.0,0.0
NetPreferredStockIssuance,,,-3763000.0,-1916000.0
OperatingCashFlow,-6744000.0,18606000.0,-17676000.0,-26622000.0
OperatingGainsLosses,,,-11408000.0,
OtherNonCashItems,-5864000.0,-54541000.0,-6213000.0,
ProceedsFromStockOptionExercised,0.0,23000.0,,
PurchaseOfInvestment,-1564000.0,,-96950000.0,0.0
PurchaseOfPPE,-295000.0,-86000.0,-511000.0,0.0
RepaymentOfDebt,,,-28549000.0,-2266000.0
RepurchaseOfCapitalStock,-244000.0,-311000.0,-1046000.0,-1022000.0
SaleOfInvestment,1631000.0,,152796000.0,0.0
SaleOfPPE,42000.0,,,
StockBasedCompensation,2401000.0,1915000.0,1939000.0,286000.0
UnrealizedGainLossOnInvestmentSecurities,-5864000.0,-6270000.0,-146000.0,0.0
