,AAME,AAME,AAME,AAME
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD
AmortizationOfSecurities,17288000.0,19393000.0,24064000.0,20230000.0
BeginningCashPosition,12630000.0,12893000.0,19319000.0,14327000.0
CapitalExpenditure,-69000.0,-233000.0,-107000.0,-130000.0
CashDividendsPaid,-802000.0,-399000.0,-807000.0,-807000.0
CashFlowFromContinuingFinancingActivities,-939000.0,-481000.0,-954000.0,85000.0
CashFlowFromContinuingInvestingActivities,3009000.0,-2064000.0,5300000.0,-932000.0
CashFlowFromContinuingOperatingActivities,-1807000.0,8971000.0,1088000.0,8396000.0
ChangeInCashSupplementalAsReported,263000.0,6426000.0,5434000.0,7549000.0
ChangeInPayablesAndAccruedExpense,3472000.0,2324000.0,-947000.0,77000.0
ChangeInReceivables,-4709000.0,1349000.0,1545000.0,5210000.0
ChangeInWorkingCapital,11621000.0,443000.0,3719000.0,3819000.0
ChangesInCash,263000.0,6426000.0,5434000.0,7549000.0
CommonStockDividendPaid,-403000.0,0.0,-408000.0,-408000.0
CommonStockPayments,-71000.0,0.0,,
DeferredIncomeTax,-913000.0,-2250000.0,-1112000.0,-2481000.0
DeferredTax,-913000.0,-2250000.0,-1112000.0,-2481000.0
DepreciationAndAmortization,996000.0,980000.0,1003000.0,933000.0
DividendReceivedCFO,379000.0,0.0,290000.0,
EndCashPosition,12893000.0,19319000.0,24753000.0,21876000.0
FinancingCashFlow,-939000.0,-481000.0,-954000.0,85000.0
FreeCashFlow,-1876000.0,8738000.0,981000.0,8266000.0
GainLossOnInvestmentSecurities,-1574000.0,-7420000.0,-4903000.0,-4412000.0
IncomeTaxPaidSupplementalData,1662000.0,3883000.0,3202000.0,2164000.0
InterestPaidSupplementalData,2155000.0,1665000.0,1389000.0,1544000.0
InvestingCashFlow,3009000.0,-2064000.0,5300000.0,-932000.0
NetCommonStockIssuance,-71000.0,0.0,,
NetIncome,-386000.0,12169000.0,4281000.0,3144000.0
NetIncomeFromContinuingOperations,-386000.0,12169000.0,4281000.0,3144000.0
NetInvestmentPurchaseAndSale,3078000.0,-1831000.0,5407000.0,-802000.0
NetPPEPurchaseAndSale,-69000.0,-233000.0,-107000.0,-130000.0
OperatingCashFlow,-1807000.0,8971000.0,1088000.0,8396000.0
OperatingGainsLosses,-1574000.0,-7420000.0,-4903000.0,-4687000.0
OtherNonCashItems,-24060000.0,-18212000.0,-24571000.0,-21991000.0
PreferredStockDividendPaid,-399000.0,-399000.0,-399000.0,
ProceedsFromStockOptionExercised,-66000.0,-82000.0,-147000.0,-108000.0
PurchaseOfInvestment,-124029000.0,-27489000.0,-35292000.0,-27043000.0
PurchaseOfPPE,-69000.0,-233000.0,-107000.0,-130000.0
RepurchaseOfCapitalStock,-71000.0,0.0,,
SaleOfInvestment,127107000.0,25658000.0,40699000.0,26241000.0
StockBasedCompensation,353000.0,437000.0,211000.0,119000.0
UnrealizedGainLossOnInvestmentSecurities,-5511000.0,3431000.0,-1894000.0,9020000.0
