,AAN,AAN,AAN,AAN,AAN
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,TTM,12M
currencyCode,USD,USD,USD,USD,USD
AssetImpairmentCharge,30344000.0,477854000.0,73112000.0,124863000.0,127042000.0
BeginningCashPosition,12006000.0,48773000.0,76123000.0,14846000.0,22832000.0
CapitalExpenditure,-79932000.0,-69037000.0,-92704000.0,-108943000.0,-107980000.0
CashDividendsPaid,,,-9971000.0,-13268000.0,-13530000.0
CashFlowFromContinuingFinancingActivities,-73143000.0,-253411000.0,-103951000.0,208827000.0,185880000.0
CashFlowFromContinuingInvestingActivities,-76187000.0,-75041000.0,-85375000.0,-355350000.0,-351377000.0
CashFlowFromContinuingOperatingActivities,185977000.0,355769000.0,136040000.0,169517000.0,170432000.0
ChangeInCashSupplementalAsReported,36767000.0,27350000.0,-53291000.0,22933000.0,4884000.0
ChangeInInventory,236627000.0,203761000.0,,,5026000.0
ChangeInOtherCurrentAssets,,,-665381000.0,-547244000.0,-527511000.0
ChangeInOtherWorkingCapital,-119560000.0,-89597000.0,-109150000.0,-123221000.0,-142817000.0
ChangeInPayablesAndAccruedExpense,9435000.0,63261000.0,6609000.0,-39890000.0,-1995000.0
ChangeInPrepaidAssets,-18151000.0,-4303000.0,-3863000.0,10922000.0,6284000.0
ChangeInReceivables,-33271000.0,-23080000.0,-26173000.0,-37849000.0,-48010000.0
ChangeInWorkingCapital,75080000.0,150042000.0,-797958000.0,-730842000.0,-709023000.0
ChangesInAccountReceivables,-39881000.0,-27914000.0,-23679000.0,-33488000.0,-45881000.0
ChangesInCash,36647000.0,27317000.0,-53286000.0,22994000.0,4935000.0
CommonStockDividendPaid,,,,,-13530000.0
CommonStockPayments,,,-103098000.0,-32413000.0,-13384000.0
DeferredIncomeTax,18226000.0,-119193000.0,28725000.0,-3074000.0,-13581000.0
DeferredTax,18226000.0,-119193000.0,28725000.0,-3074000.0,-13581000.0
Depreciation,601964000.0,571260000.0,593842000.0,591891000.0,592049000.0
DepreciationAmortizationDepletion,601964000.0,571260000.0,593842000.0,591891000.0,592049000.0
DepreciationAndAmortization,601964000.0,571260000.0,593842000.0,591891000.0,592049000.0
EffectOfExchangeRateChanges,120000.0,33000.0,-5000.0,-61000.0,-51000.0
EndCashPosition,48773000.0,76123000.0,22832000.0,37840000.0,27716000.0
FinancingCashFlow,-73143000.0,-253411000.0,-103951000.0,208827000.0,185880000.0
FreeCashFlow,106045000.0,286732000.0,43336000.0,60574000.0,62452000.0
IncomeTaxPaidSupplementalData,,,9654000.0,,5498000.0
InterestPaidSupplementalData,16460000.0,10418000.0,991000.0,,6618000.0
InvestingCashFlow,-76187000.0,-75041000.0,-85375000.0,-355350000.0,-351377000.0
IssuanceOfDebt,0.0,5625000.0,0.0,291700000.0,300950000.0
LongTermDebtIssuance,0.0,5625000.0,0.0,291700000.0,291700000.0
LongTermDebtPayments,-68531000.0,-347960000.0,-740000.0,-31700000.0,-83334000.0
NetBusinessPurchaseAndSale,-11472000.0,-14434000.0,-9963000.0,-270877000.0,-266692000.0
NetCommonStockIssuance,,,-103098000.0,-32413000.0,-13384000.0
NetIncome,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetIncomeFromContinuingOperations,28099000.0,-265912000.0,109934000.0,16862000.0,-5280000.0
NetInvestmentPurchaseAndSale,1212000.0,0.0,1974000.0,,
NetIssuancePaymentsOfDebt,-84531000.0,-342335000.0,9260000.0,259207000.0,217616000.0
NetLongTermDebtIssuance,-68531000.0,-342335000.0,-740000.0,260000000.0,208366000.0
NetOtherFinancingCharges,11388000.0,88924000.0,-2729000.0,-6321000.0,-6323000.0
NetOtherInvestingChanges,,,376000.0,-826000.0,1776000.0
NetPPEPurchaseAndSale,-65927000.0,-60607000.0,-77762000.0,-85621000.0,-86461000.0
NetShortTermDebtIssuance,-16000000.0,0.0,10000000.0,-793000.0,9250000.0
OperatingCashFlow,185977000.0,355769000.0,136040000.0,169517000.0,170432000.0
OtherNonCashItems,-627943000.0,-513477000.0,87273000.0,118079000.0,125375000.0
ProceedsFromStockOptionExercised,,,2587000.0,1622000.0,1501000.0
ProvisionandWriteOffofAssets,46721000.0,30753000.0,27964000.0,38455000.0,41460000.0
PurchaseOfBusiness,-14285000.0,-14793000.0,-10121000.0,-271035000.0,-266692000.0
PurchaseOfPPE,-79932000.0,-69037000.0,-92704000.0,-108943000.0,-107980000.0
RepaymentOfDebt,-68531000.0,-347960000.0,-740000.0,-42493000.0,-83334000.0
RepurchaseOfCapitalStock,,,-103098000.0,-32413000.0,-13384000.0
SaleOfBusiness,2813000.0,359000.0,158000.0,,
SaleOfInvestment,1212000.0,0.0,1974000.0,,
SaleOfPPE,14005000.0,8430000.0,14942000.0,23322000.0,21519000.0
ShortTermDebtIssuance,,,,,9250000.0
StockBasedCompensation,13486000.0,24442000.0,13148000.0,13283000.0,12390000.0
