,AAOI,AAOI,AAOI,AAOI,AAOI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,58004000.0,67028000.0,50115000.0,41136000.0,41136000.0
CapitalExpenditure,-32117000.0,-19563000.0,-10660000.0,-4237000.0,-4237000.0
CashFlowFromContinuingFinancingActivities,42596000.0,47441000.0,14088000.0,10754000.0,10754000.0
CashFlowFromContinuingInvestingActivities,-32116000.0,-19347000.0,-10546000.0,-3834000.0,-3834000.0
CashFlowFromContinuingOperatingActivities,-1754000.0,-44009000.0,-11644000.0,-14022000.0,-14022000.0
ChangeInAccountPayable,3150000.0,-3347000.0,7069000.0,12966000.0,12966000.0
ChangeInAccruedExpense,-308000.0,44000.0,-3092000.0,5260000.0,5260000.0
ChangeInCashSupplementalAsReported,9024000.0,-16914000.0,-8978000.0,-5550000.0,-5550000.0
ChangeInIncomeTaxPayable,0.0,1000.0,1000.0,0.0,0.0
ChangeInInventory,1560000.0,-23674000.0,15786000.0,1150000.0,1150000.0
ChangeInOtherCurrentAssets,6361000.0,1627000.0,1715000.0,-1518000.0,-1518000.0
ChangeInOtherCurrentLiabilities,-896000.0,-438000.0,-918000.0,-969000.0,-969000.0
ChangeInOtherWorkingCapital,847000.0,407000.0,,,
ChangeInPayable,3150000.0,-3346000.0,7070000.0,12966000.0,12966000.0
ChangeInPayablesAndAccruedExpense,2842000.0,-3302000.0,3978000.0,18226000.0,18226000.0
ChangeInPrepaidAssets,961000.0,188000.0,1000.0,1000.0,1000.0
ChangeInReceivables,-4355000.0,-8810000.0,-14605000.0,-4985000.0,-4985000.0
ChangeInTaxPayable,0.0,1000.0,1000.0,0.0,0.0
ChangeInWorkingCapital,6473000.0,-34409000.0,5957000.0,11905000.0,11905000.0
ChangesInAccountReceivables,-4355000.0,-8421000.0,-7020000.0,-12749000.0,-12749000.0
ChangesInCash,8726000.0,-15915000.0,-8102000.0,-7102000.0,-7102000.0
CommonStockIssuance,,39203000.0,15397000.0,1238000.0,1238000.0
DeferredIncomeTax,14570000.0,7348000.0,0.0,0.0,0.0
DeferredTax,14570000.0,7348000.0,0.0,0.0,0.0
DepreciationAmortizationDepletion,24014000.0,24733000.0,25371000.0,23202000.0,23202000.0
DepreciationAndAmortization,24014000.0,24733000.0,25371000.0,23202000.0,23202000.0
EffectOfExchangeRateChanges,298000.0,-999000.0,-876000.0,1553000.0,1553000.0
EndCashPosition,67028000.0,50114000.0,41137000.0,35587000.0,35587000.0
FinancingCashFlow,42596000.0,47441000.0,14088000.0,10753000.0,10753000.0
FreeCashFlow,-33871000.0,-63572000.0,-22304000.0,-18259000.0,-18259000.0
IncomeTaxPaidSupplementalData,,,1000.0,0.0,0.0
InterestPaidSupplementalData,3172000.0,4971000.0,4899000.0,5142000.0,5142000.0
InvestingCashFlow,-32116000.0,-19347000.0,-10546000.0,-3834000.0,-3834000.0
IssuanceOfCapitalStock,,39203000.0,15397000.0,1238000.0,1238000.0
IssuanceOfDebt,187095000.0,141917000.0,147557000.0,188927000.0,188927000.0
LongTermDebtIssuance,103661000.0,46187000.0,24622000.0,45666000.0,45666000.0
LongTermDebtPayments,-55317000.0,-36606000.0,-36627000.0,-47928000.0,-47928000.0
NetCommonStockIssuance,,39203000.0,15397000.0,1238000.0,1238000.0
NetForeignCurrencyExchangeGainLoss,-245000.0,-1152000.0,645000.0,1916000.0,1916000.0
NetIncome,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetIncomeFromContinuingOperations,-66049000.0,-58452000.0,-54162000.0,-66397000.0,-66397000.0
NetIntangiblesPurchaseAndSale,-640000.0,-489000.0,-457000.0,-498000.0,-498000.0
NetInvestmentPurchaseAndSale,,0.0,,,
NetIssuancePaymentsOfDebt,43479000.0,9305000.0,-357000.0,9969000.0,9969000.0
NetLongTermDebtIssuance,48344000.0,9581000.0,-12005000.0,-2262000.0,-2262000.0
NetOtherFinancingCharges,-897000.0,-1080000.0,-960000.0,-454000.0,-454000.0
NetPPEPurchaseAndSale,-31476000.0,-18858000.0,-10089000.0,-3336000.0,-3336000.0
NetShortTermDebtIssuance,-4865000.0,-276000.0,11648000.0,12231000.0,12231000.0
OperatingCashFlow,-1754000.0,-44009000.0,-11644000.0,-14022000.0,-14022000.0
OperatingGainsLosses,-232000.0,-1137000.0,-5583000.0,1869000.0,1869000.0
OtherNonCashItems,7666000.0,4830000.0,4684000.0,902000.0,902000.0
ProceedsFromStockOptionExercised,14000.0,13000.0,8000.0,0.0,0.0
ProvisionandWriteOffofAssets,6774000.0,32000.0,-32000.0,4897000.0,4897000.0
PurchaseOfIntangibles,-640000.0,-489000.0,-457000.0,-498000.0,-498000.0
PurchaseOfPPE,-31477000.0,-19074000.0,-10203000.0,-3739000.0,-3739000.0
RepaymentOfDebt,-143616000.0,-132612000.0,-147914000.0,-178958000.0,-178958000.0
SaleOfInvestment,,0.0,,,
SaleOfPPE,1000.0,216000.0,114000.0,403000.0,403000.0
ShortTermDebtIssuance,83434000.0,95730000.0,122935000.0,143261000.0,143261000.0
ShortTermDebtPayments,-88299000.0,-96006000.0,-111287000.0,-131030000.0,-131030000.0
StockBasedCompensation,11804000.0,13046000.0,12121000.0,9600000.0,9600000.0
