,AAON,AAON,AAON,AAON,AAON
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,1994000.0,44373000.0,82288000.0,3487000.0,3487000.0
CapitalExpenditure,-37166000.0,-67802000.0,-55362000.0,-76024000.0,-76024000.0
CapitalExpenditureReported,-37166000.0,-67802000.0,-55362000.0,-54024000.0,-54024000.0
CashDividendsPaid,-16645000.0,-19815000.0,-19947000.0,-22917000.0,-22917000.0
CashFlowFromContinuingFinancingActivities,-18500000.0,-29626000.0,18735000.0,17357000.0,17357000.0
CashFlowFromContinuingInvestingActivities,-37046000.0,-61273000.0,-158719000.0,-76213000.0,-76213000.0
CashFlowFromContinuingOperatingActivities,97925000.0,128814000.0,61183000.0,61318000.0,61318000.0
ChangeInAccountPayable,280000.0,-2155000.0,10899000.0,11574000.0,11574000.0
ChangeInAccruedExpense,7124000.0,2203000.0,-1690000.0,16945000.0,16945000.0
ChangeInCashSupplementalAsReported,42379000.0,37915000.0,-78801000.0,2462000.0,2462000.0
ChangeInInventory,2557000.0,-9726000.0,-45955000.0,-71409000.0,-71409000.0
ChangeInOtherWorkingCapital,425000.0,1010000.0,218000.0,15196000.0,15196000.0
ChangeInPayable,280000.0,-2155000.0,10899000.0,11574000.0,11574000.0
ChangeInPayablesAndAccruedExpense,7404000.0,48000.0,9209000.0,28519000.0,28519000.0
ChangeInPrepaidAssets,-329000.0,-2364000.0,1374000.0,-2367000.0,-2367000.0
ChangeInReceivables,-8283000.0,16044000.0,-8987000.0,-47513000.0,-47513000.0
ChangeInWorkingCapital,1774000.0,5012000.0,-44141000.0,-77574000.0,-77574000.0
ChangesInAccountReceivables,-13412000.0,19859000.0,-9737000.0,-56306000.0,-56306000.0
ChangesInCash,42379000.0,37915000.0,-78801000.0,2462000.0,2462000.0
CommonStockDividendPaid,-16645000.0,-19815000.0,-19947000.0,-22917000.0,-22917000.0
CommonStockPayments,-19586000.0,-30060000.0,-20876000.0,-12737000.0,-12737000.0
DeferredIncomeTax,6038000.0,13027000.0,3669000.0,-13332000.0,-13332000.0
DeferredTax,6038000.0,13027000.0,3669000.0,-13332000.0,-13332000.0
Depreciation,22766000.0,25634000.0,30416000.0,35430000.0,35430000.0
DepreciationAmortizationDepletion,22766000.0,25634000.0,30416000.0,35430000.0,35430000.0
DepreciationAndAmortization,22766000.0,25634000.0,30416000.0,35430000.0,35430000.0
EndCashPosition,44373000.0,82288000.0,3487000.0,5949000.0,5949000.0
FinancingCashFlow,-18500000.0,-29626000.0,18735000.0,17357000.0,17357000.0
FreeCashFlow,60759000.0,61012000.0,5821000.0,-14706000.0,-14706000.0
InvestingCashFlow,-37046000.0,-61273000.0,-158719000.0,-76213000.0,-76213000.0
IssuanceOfDebt,6614000.0,0.0,40000000.0,225758000.0,225758000.0
LongTermDebtIssuance,6614000.0,0.0,40000000.0,225758000.0,225758000.0
LongTermDebtPayments,,,,-194869000.0,-194869000.0
NetBusinessPurchaseAndSale,0.0,0.0,-103430000.0,-249000.0,-249000.0
NetCommonStockIssuance,-19586000.0,-30060000.0,-20876000.0,-12737000.0,-12737000.0
NetForeignCurrencyExchangeGainLoss,-27000.0,-12000.0,-1000.0,41000.0,41000.0
NetIncome,53711000.0,79009000.0,58758000.0,100376000.0,100376000.0
NetIncomeFromContinuingOperations,53711000.0,79009000.0,58758000.0,100376000.0,100376000.0
NetInvestmentPurchaseAndSale,0.0,0.0,0.0,,
NetIssuancePaymentsOfDebt,6614000.0,0.0,40000000.0,30889000.0,30889000.0
NetLongTermDebtIssuance,6614000.0,0.0,40000000.0,30889000.0,30889000.0
NetOtherFinancingCharges,-1508000.0,-1169000.0,-1590000.0,-1018000.0,-1018000.0
NetOtherInvestingChanges,51000.0,6469000.0,54000.0,48000.0,48000.0
NetPPEPurchaseAndSale,69000.0,60000.0,19000.0,-21988000.0,-21988000.0
NetShortTermDebtIssuance,,,40000000.0,,
OperatingCashFlow,97925000.0,128814000.0,61183000.0,61318000.0,61318000.0
OperatingGainsLosses,310000.0,-6490000.0,-22000.0,29000.0,29000.0
OtherNonCashItems,-18000.0,19000.0,19000.0,21000.0,21000.0
ProceedsFromStockOptionExercised,12625000.0,21418000.0,21148000.0,23140000.0,23140000.0
ProvisionandWriteOffofAssets,1545000.0,1261000.0,672000.0,2668000.0,2668000.0
PurchaseOfBusiness,0.0,0.0,-103430000.0,-249000.0,-249000.0
PurchaseOfInvestment,-6000000.0,0.0,0.0,,
PurchaseOfPPE,,,,-22000000.0,-22000000.0
RepaymentOfDebt,,,,-194869000.0,-194869000.0
RepurchaseOfCapitalStock,-19586000.0,-30060000.0,-20876000.0,-12737000.0,-12737000.0
SaleOfInvestment,6000000.0,0.0,0.0,,
SaleOfPPE,69000.0,60000.0,19000.0,12000.0,12000.0
ShortTermDebtIssuance,,,40000000.0,,
StockBasedCompensation,11799000.0,11342000.0,11812000.0,13700000.0,13700000.0
