,AAP,AAP,AAP,AAP,AAP
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,896527000.0,418665000.0,834992000.0,601428000.0,601428000.0
CapitalExpenditure,-471648000.0,-267806000.0,-289639000.0,-425961000.0,-425961000.0
CashDividendsPaid,-17185000.0,-56347000.0,-160925000.0,-336230000.0,-336230000.0
CashFlowFromContinuingFinancingActivities,-882153000.0,-285997000.0,-1064112000.0,-620704000.0,-620704000.0
CashFlowFromContinuingInvestingActivities,-462939000.0,-266897000.0,-287314000.0,-424448000.0,-424448000.0
CashFlowFromContinuingOperatingActivities,866909000.0,969688000.0,1112262000.0,722222000.0,722222000.0
ChangeInAccountPayable,245785000.0,216488000.0,281064000.0,212568000.0,212568000.0
ChangeInAccruedExpense,-72288000.0,78507000.0,109983000.0,-165643000.0,-165643000.0
ChangeInCashSupplementalAsReported,-477862000.0,416327000.0,-233564000.0,-332146000.0,-332146000.0
ChangeInInventory,-63130000.0,-101449000.0,-120272000.0,-272253000.0,-272253000.0
ChangeInOtherWorkingCapital,14418000.0,-15569000.0,-134135000.0,9732000.0,9732000.0
ChangeInPayable,245785000.0,216488000.0,281064000.0,212568000.0,212568000.0
ChangeInPayablesAndAccruedExpense,173497000.0,294995000.0,391047000.0,46925000.0,46925000.0
ChangeInReceivables,-62837000.0,-59014000.0,-32652000.0,81254000.0,81254000.0
ChangeInWorkingCapital,61948000.0,118963000.0,103988000.0,-134342000.0,-134342000.0
ChangesInCash,-478183000.0,416794000.0,-239164000.0,-322930000.0,-322930000.0
CommonStockDividendPaid,-17185000.0,-56347000.0,,-336230000.0,
CommonStockIssuance,3334000.0,3270000.0,3074000.0,,
CommonStockPayments,-498435000.0,-469691000.0,-906208000.0,-618480000.0,-618480000.0
DeferredIncomeTax,23148000.0,8136000.0,68202000.0,6338000.0,6338000.0
DeferredTax,23148000.0,8136000.0,68202000.0,6338000.0,6338000.0
DepreciationAmortizationDepletion,238371000.0,250081000.0,259933000.0,283800000.0,283800000.0
DepreciationAndAmortization,238371000.0,250081000.0,259933000.0,283800000.0,283800000.0
EffectOfExchangeRateChanges,321000.0,-467000.0,5600000.0,-9216000.0,-9216000.0
EndCashPosition,418665000.0,834992000.0,601428000.0,269282000.0,269282000.0
FinancingCashFlow,-882153000.0,-285997000.0,-1064112000.0,-620704000.0,-620704000.0
FreeCashFlow,395261000.0,701882000.0,822623000.0,296261000.0,296261000.0
GainLossOnSaleOfPPE,6671000.0,4727000.0,8949000.0,3581000.0,3581000.0
IncomeTaxPaidSupplementalData,108163000.0,146073000.0,177317000.0,94605000.0,94605000.0
InterestPaidSupplementalData,41099000.0,34011000.0,36372000.0,46159000.0,46159000.0
InvestingCashFlow,-462939000.0,-266897000.0,-287314000.0,-424448000.0,-424448000.0
IssuanceOfCapitalStock,3334000.0,3270000.0,3074000.0,,
IssuanceOfDebt,0.0,1347092000.0,0.0,2383618000.0,2383618000.0
LongTermDebtIssuance,0.0,1347092000.0,0.0,348618000.0,348618000.0
LongTermDebtPayments,-310047000.0,-1102568000.0,0.0,-201081000.0,-201081000.0
NetCommonStockIssuance,-495101000.0,-466421000.0,-903134000.0,-618480000.0,-618480000.0
NetIncome,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetIncomeFromContinuingOperations,486896000.0,493021000.0,616108000.0,501872000.0,501872000.0
NetIntangiblesPurchaseAndSale,-201519000.0,-230000.0,0.0,-1900000.0,-1900000.0
NetIssuancePaymentsOfDebt,-369386000.0,244524000.0,0.0,332537000.0,332537000.0
NetLongTermDebtIssuance,-310047000.0,244524000.0,0.0,147537000.0,147537000.0
NetOtherFinancingCharges,-481000.0,-7753000.0,-53000.0,1469000.0,1469000.0
NetPPEPurchaseAndSale,-261420000.0,-266667000.0,-287314000.0,-422548000.0,-422548000.0
NetShortTermDebtIssuance,-59339000.0,0.0,0.0,185000000.0,185000000.0
OperatingCashFlow,866909000.0,969688000.0,1112262000.0,722222000.0,722222000.0
OperatingGainsLosses,6671000.0,52749000.0,8949000.0,10989000.0,10989000.0
OtherNonCashItems,12437000.0,1467000.0,-7985000.0,2587000.0,2587000.0
PurchaseOfIntangibles,-201519000.0,-230000.0,0.0,-1900000.0,-1900000.0
PurchaseOfPPE,-270129000.0,-267576000.0,-289639000.0,-424061000.0,-424061000.0
RepaymentOfDebt,-310047000.0,-1102568000.0,0.0,-2051081000.0,-2051081000.0
RepurchaseOfCapitalStock,-498435000.0,-469691000.0,-906208000.0,-618480000.0,-618480000.0
SaleOfPPE,8709000.0,909000.0,2325000.0,1513000.0,1513000.0
ShortTermDebtIssuance,,,0.0,2035000000.0,2035000000.0
ShortTermDebtPayments,,0.0,0.0,-1850000000.0,-1850000000.0
StockBasedCompensation,37438000.0,45271000.0,63067000.0,50978000.0,50978000.0
