,AAPL,AAPL,AAPL,AAPL,AAPL
asOfDate,2019-09-30 00:00:00,2020-09-30 00:00:00,2021-09-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,25913000000.0,50224000000.0,39789000000.0,35929000000.0,38630000000.0
CapitalExpenditure,-10495000000.0,-7309000000.0,-11085000000.0,-10708000000.0,-11692000000.0
CashDividendsPaid,-14119000000.0,-14081000000.0,-14467000000.0,-14841000000.0,-14877000000.0
CashFlowFromContinuingFinancingActivities,-90976000000.0,-86820000000.0,-93353000000.0,-110749000000.0,-118153000000.0
CashFlowFromContinuingInvestingActivities,45896000000.0,-4289000000.0,-14545000000.0,-22354000000.0,-7693000000.0
CashFlowFromContinuingOperatingActivities,69391000000.0,80674000000.0,104038000000.0,122151000000.0,109190000000.0
ChangeInAccountPayable,-1923000000.0,-4062000000.0,12326000000.0,9448000000.0,-16440000000.0
ChangeInCashSupplementalAsReported,24311000000.0,-10435000000.0,-3860000000.0,-10952000000.0,-16656000000.0
ChangeInInventory,-289000000.0,-127000000.0,-2642000000.0,1484000000.0,-1004000000.0
ChangeInOtherCurrentAssets,873000000.0,-9588000000.0,-8042000000.0,-6499000000.0,-5677000000.0
ChangeInOtherCurrentLiabilities,-4700000000.0,8916000000.0,5799000000.0,5632000000.0,5154000000.0
ChangeInOtherWorkingCapital,-625000000.0,2081000000.0,1676000000.0,478000000.0,147000000.0
ChangeInPayable,-1923000000.0,-4062000000.0,12326000000.0,9448000000.0,-16440000000.0
ChangeInPayablesAndAccruedExpense,-1923000000.0,-4062000000.0,12326000000.0,9448000000.0,-16440000000.0
ChangeInReceivables,3176000000.0,8470000000.0,-14028000000.0,-9343000000.0,10998000000.0
ChangeInWorkingCapital,-3488000000.0,5690000000.0,-4911000000.0,1200000000.0,-6822000000.0
ChangesInAccountReceivables,245000000.0,6917000000.0,-10125000000.0,-1823000000.0,6386000000.0
ChangesInCash,24311000000.0,-10435000000.0,-3860000000.0,-10952000000.0,-16656000000.0
CommonStockDividendPaid,-14119000000.0,-14081000000.0,-14467000000.0,-14841000000.0,
CommonStockIssuance,781000000.0,880000000.0,1105000000.0,,
CommonStockPayments,-66897000000.0,-72358000000.0,-85971000000.0,-89402000000.0,-88399000000.0
DeferredIncomeTax,-340000000.0,-215000000.0,-4774000000.0,895000000.0,
