,ABB,ABB,ABB,ABB,ABB
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AssetImpairmentCharge,,311000000.0,0.0,0.0,0.0
BeginningCashPosition,3445000000.0,3544000000.0,3901000000.0,4489000000.0,4489000000.0
CapitalExpenditure,-762000000.0,-694000000.0,-820000000.0,-762000000.0,-762000000.0
CapitalExpenditureReported,-762000000.0,-694000000.0,,,
CashDividendsPaid,-1675000000.0,-1736000000.0,-1726000000.0,-1698000000.0,-1698000000.0
CashFlowFromContinuingFinancingActivities,-1328000000.0,-8206000000.0,-4968000000.0,-2394000000.0,-2394000000.0
CashFlowFromContinuingInvestingActivities,-651000000.0,-2272000000.0,2671000000.0,1207000000.0,1207000000.0
CashFlowFromContinuingOperatingActivities,1899000000.0,1875000000.0,3338000000.0,1334000000.0,1334000000.0
CashFromDiscontinuedFinancingActivities,-55000000.0,31000000.0,0.0,0.0,0.0
CashFromDiscontinuedInvestingActivities,-164000000.0,9032000000.0,-364000000.0,-226000000.0,-226000000.0
CashFromDiscontinuedOperatingActivities,426000000.0,-182000000.0,-8000000.0,-47000000.0,-47000000.0
ChangeInAccountPayable,130000000.0,-13000000.0,659000000.0,395000000.0,395000000.0
ChangeInAccruedExpense,-76000000.0,-92000000.0,454000000.0,136000000.0,136000000.0
ChangeInCashSupplementalAsReported,99000000.0,357000000.0,588000000.0,-315000000.0,-315000000.0
ChangeInInventory,-182000000.0,196000000.0,-771000000.0,-1599000000.0,-1599000000.0
ChangeInOtherWorkingCapital,-42000000.0,361000000.0,108000000.0,216000000.0,216000000.0
ChangeInPayable,130000000.0,-13000000.0,659000000.0,395000000.0,395000000.0
ChangeInPayablesAndAccruedExpense,54000000.0,-105000000.0,1113000000.0,531000000.0,531000000.0
ChangeInReceivables,-202000000.0,-100000000.0,-142000000.0,-831000000.0,-831000000.0
ChangeInWorkingCapital,-372000000.0,352000000.0,308000000.0,-1683000000.0,-1683000000.0
ChangesInAccountReceivables,-202000000.0,-100000000.0,-142000000.0,-831000000.0,-831000000.0
ChangesInCash,127000000.0,278000000.0,669000000.0,-126000000.0,-126000000.0
CommonStockDividendPaid,-1675000000.0,-1736000000.0,,-1698000000.0,-1698000000.0
CommonStockIssuance,10000000.0,412000000.0,826000000.0,610000000.0,610000000.0
CommonStockPayments,0.0,-3048000000.0,-3708000000.0,-3553000000.0,-3553000000.0
DeferredIncomeTax,-83000000.0,-280000000.0,-289000000.0,-344000000.0,-344000000.0
DeferredTax,-83000000.0,-280000000.0,-289000000.0,-344000000.0,-344000000.0
DepreciationAmortizationDepletion,961000000.0,915000000.0,893000000.0,814000000.0,814000000.0
DepreciationAndAmortization,961000000.0,915000000.0,893000000.0,814000000.0,814000000.0
EarningsLossesFromEquityInvestments,,,100000000.0,102000000.0,102000000.0
EffectOfExchangeRateChanges,-28000000.0,79000000.0,-81000000.0,-189000000.0,-189000000.0
EndCashPosition,3544000000.0,3901000000.0,4489000000.0,4174000000.0,4174000000.0
FinancingCashFlow,-1383000000.0,-8175000000.0,-4968000000.0,-2394000000.0,-2394000000.0
FreeCashFlow,1563000000.0,999000000.0,2510000000.0,525000000.0,525000000.0
GainLossOnInvestmentSecurities,1000000.0,-2000000.0,49000000.0,-23000000.0,-23000000.0
GainLossOnSaleOfBusiness,-55000000.0,2000000.0,-2193000000.0,7000000.0,7000000.0
GainLossOnSaleOfPPE,-51000000.0,-37000000.0,-38000000.0,-84000000.0,-84000000.0
IncomeTaxPaidSupplementalData,1005000000.0,905000000.0,1292000000.0,1188000000.0,1188000000.0
InterestPaidSupplementalData,284000000.0,189000000.0,132000000.0,90000000.0,90000000.0
InvestingCashFlow,-815000000.0,6760000000.0,2307000000.0,981000000.0,981000000.0
IssuanceOfCapitalStock,10000000.0,412000000.0,826000000.0,610000000.0,610000000.0
IssuanceOfDebt,2570000000.0,343000000.0,1400000000.0,3849000000.0,3849000000.0
LongTermDebtIssuance,2406000000.0,343000000.0,1400000000.0,3849000000.0,3849000000.0
LongTermDebtPayments,-2156000000.0,-3459000000.0,-1538000000.0,-2703000000.0,-2703000000.0
NetBusinessPurchaseAndSale,47000000.0,-257000000.0,2717000000.0,1253000000.0,1253000000.0
NetCommonStockIssuance,10000000.0,-2636000000.0,-2882000000.0,-2943000000.0,-2943000000.0
NetIncome,1439000000.0,5146000000.0,4546000000.0,2475000000.0,2475000000.0
NetIncomeFromContinuingOperations,1090000000.0,345000000.0,4730000000.0,2637000000.0,2637000000.0
NetInvestmentPurchaseAndSale,81000000.0,-1581000000.0,704000000.0,283000000.0,283000000.0
NetIssuancePaymentsOfDebt,414000000.0,-3703000000.0,-221000000.0,2512000000.0,2512000000.0
NetLongTermDebtIssuance,250000000.0,-3116000000.0,-138000000.0,1146000000.0,1146000000.0
NetOtherFinancingCharges,-77000000.0,-131000000.0,-139000000.0,-265000000.0,-265000000.0
NetOtherInvestingChanges,-99000000.0,146000000.0,-23000000.0,306000000.0,306000000.0
NetPPEPurchaseAndSale,-680000000.0,-580000000.0,-727000000.0,-635000000.0,-635000000.0
NetShortTermDebtIssuance,164000000.0,-587000000.0,-83000000.0,1366000000.0,1366000000.0
OperatingCashFlow,2325000000.0,1693000000.0,3330000000.0,1287000000.0,1287000000.0
OperatingGainsLosses,-105000000.0,175000000.0,-2298000000.0,-123000000.0,-123000000.0
OtherNonCashItems,362000000.0,13000000.0,117000000.0,880000000.0,880000000.0
PensionAndEmployeeBenefitExpense,,50000000.0,-216000000.0,-125000000.0,-125000000.0
PurchaseOfBusiness,-22000000.0,-257000000.0,-241000000.0,-288000000.0,-288000000.0
PurchaseOfInvestment,-748000000.0,-5933000000.0,-1649000000.0,-487000000.0,-487000000.0
PurchaseOfPPE,-762000000.0,-694000000.0,-820000000.0,-762000000.0,-762000000.0
RepaymentOfDebt,-2156000000.0,-4046000000.0,-1621000000.0,-2703000000.0,-2703000000.0
RepurchaseOfCapitalStock,0.0,-3048000000.0,-3708000000.0,-3553000000.0,-3553000000.0
SaleOfBusiness,69000000.0,,2958000000.0,1541000000.0,1541000000.0
SaleOfInvestment,829000000.0,4352000000.0,2353000000.0,770000000.0,770000000.0
SaleOfPPE,82000000.0,114000000.0,93000000.0,127000000.0,127000000.0
ShortTermDebtIssuance,164000000.0,,,,
ShortTermDebtPayments,,-587000000.0,-83000000.0,,
StockBasedCompensation,46000000.0,44000000.0,,,
UnrealizedGainLossOnInvestmentSecurities,,,-123000000.0,-33000000.0,-33000000.0
