,ABBV,ABBV,ABBV,ABBV,ABBV
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationCashFlow,1553000000.0,5805000000.0,7718000000.0,7689000000.0,7689000000.0
AmortizationOfIntangibles,1553000000.0,5805000000.0,7718000000.0,7689000000.0,7689000000.0
AssetImpairmentCharge,1030000000.0,0.0,0.0,770000000.0,770000000.0
BeginningCashPosition,7289000000.0,39924000000.0,8449000000.0,9746000000.0,9746000000.0
CapitalExpenditure,-552000000.0,-798000000.0,-787000000.0,-695000000.0,-695000000.0
CashDividendsPaid,-6366000000.0,-7716000000.0,-9261000000.0,-10043000000.0,-10043000000.0
CashFlowFromContinuingFinancingActivities,18708000000.0,-11501000000.0,-19039000000.0,-24803000000.0,-24803000000.0
CashFlowFromContinuingInvestingActivities,596000000.0,-37557000000.0,-2344000000.0,-623000000.0,-623000000.0
CashFlowFromContinuingOperatingActivities,13324000000.0,17588000000.0,22777000000.0,24943000000.0,24943000000.0
ChangeInAccountPayable,-1121000000.0,1514000000.0,1628000000.0,1605000000.0,1605000000.0
ChangeInCashSupplementalAsReported,32635000000.0,-31475000000.0,1297000000.0,-545000000.0,-545000000.0
ChangeInInventory,-231000000.0,-40000000.0,-142000000.0,-686000000.0,-686000000.0
ChangeInOtherWorkingCapital,,-573000000.0,-1290000000.0,542000000.0,542000000.0
ChangeInPayable,-1121000000.0,1514000000.0,1628000000.0,1605000000.0,1605000000.0
ChangeInPayablesAndAccruedExpense,-1121000000.0,1514000000.0,1628000000.0,1605000000.0,1605000000.0
ChangeInPrepaidAssets,97000000.0,134000000.0,-197000000.0,-264000000.0,-264000000.0
ChangeInReceivables,-74000000.0,-929000000.0,-1321000000.0,-1455000000.0,-1455000000.0
ChangeInWorkingCapital,-1329000000.0,106000000.0,-1322000000.0,-258000000.0,-258000000.0
ChangesInAccountReceivables,-74000000.0,-929000000.0,-1321000000.0,-1455000000.0,-1455000000.0
ChangesInCash,32628000000.0,-31470000000.0,1394000000.0,-483000000.0,-483000000.0
CommonStockDividendPaid,-6366000000.0,-7716000000.0,-9261000000.0,-10043000000.0,-10043000000.0
CommonStockPayments,-629000000.0,-978000000.0,-934000000.0,-1487000000.0,-1487000000.0
DeferredIncomeTax,,-2325000000.0,-898000000.0,-1931000000.0,-1931000000.0
DeferredTax,,-2325000000.0,-898000000.0,-1931000000.0,-1931000000.0
Depreciation,464000000.0,666000000.0,803000000.0,778000000.0,778000000.0
DepreciationAmortizationDepletion,2017000000.0,6471000000.0,8521000000.0,8467000000.0,8467000000.0
DepreciationAndAmortization,2017000000.0,6471000000.0,8521000000.0,8467000000.0,8467000000.0
EffectOfExchangeRateChanges,7000000.0,-5000000.0,-97000000.0,-62000000.0,-62000000.0
EndCashPosition,39924000000.0,8449000000.0,9746000000.0,9201000000.0,9201000000.0
FinancingCashFlow,18708000000.0,-11501000000.0,-19039000000.0,-24803000000.0,-24803000000.0
FreeCashFlow,12772000000.0,16790000000.0,21990000000.0,24248000000.0,24248000000.0
GainLossOnSaleOfBusiness,-330000000.0,0.0,-68000000.0,-172000000.0,-172000000.0
GainLossOnSaleOfPPE,-330000000.0,,,,
IncomeTaxPaidSupplementalData,1447000000.0,1674000000.0,3648000000.0,2988000000.0,2988000000.0
InterestPaidSupplementalData,1794000000.0,2619000000.0,2712000000.0,2546000000.0,2546000000.0
InvestingCashFlow,596000000.0,-37557000000.0,-2344000000.0,-623000000.0,-623000000.0
IssuanceOfDebt,31482000000.0,3000000000.0,1000000000.0,2000000000.0,2000000000.0
LongTermDebtIssuance,31482000000.0,3000000000.0,1000000000.0,2000000000.0,2000000000.0
LongTermDebtPayments,-1536000000.0,-5683000000.0,-9414000000.0,-14433000000.0,-14433000000.0
NetBusinessPurchaseAndSale,-1135000000.0,-39610000000.0,-1902000000.0,-794000000.0,-794000000.0
NetCommonStockIssuance,-629000000.0,-978000000.0,-934000000.0,-1487000000.0,-1487000000.0
NetIncome,7882000000.0,4616000000.0,11542000000.0,11836000000.0,11836000000.0
NetIncomeFromContinuingOperations,7882000000.0,4622000000.0,11549000000.0,11845000000.0,11845000000.0
NetInvestmentPurchaseAndSale,2116000000.0,1464000000.0,-21000000.0,92000000.0,92000000.0
NetIssuancePaymentsOfDebt,26247000000.0,-2683000000.0,-8414000000.0,-12433000000.0,-12433000000.0
NetLongTermDebtIssuance,29946000000.0,-2683000000.0,-8414000000.0,-12433000000.0,-12433000000.0
NetOtherFinancingCharges,-552000000.0,-333000000.0,-674000000.0,-1102000000.0,-1102000000.0
NetOtherInvestingChanges,167000000.0,1387000000.0,366000000.0,774000000.0,774000000.0
NetPPEPurchaseAndSale,-552000000.0,-798000000.0,-787000000.0,-695000000.0,-695000000.0
NetShortTermDebtIssuance,-3699000000.0,0.0,0.0,,
OperatingCashFlow,13324000000.0,17588000000.0,22777000000.0,24943000000.0,24943000000.0
OperatingGainsLosses,-330000000.0,,-68000000.0,-172000000.0,-172000000.0
OtherNonCashItems,3624000000.0,7961000000.0,4303000000.0,3308000000.0,3308000000.0
ProceedsFromStockOptionExercised,8000000.0,209000000.0,244000000.0,262000000.0,262000000.0
ProvisionandWriteOffofAssets,,,,2243000000.0,2243000000.0
PurchaseOfBusiness,-1135000000.0,-39610000000.0,-1902000000.0,-794000000.0,-794000000.0
PurchaseOfInvestment,-583000000.0,-61000000.0,-119000000.0,-1438000000.0,-1438000000.0
PurchaseOfPPE,-552000000.0,-798000000.0,-787000000.0,-695000000.0,-695000000.0
RepaymentOfDebt,-5235000000.0,-5683000000.0,-9414000000.0,-14433000000.0,-14433000000.0
RepurchaseOfCapitalStock,-629000000.0,-978000000.0,-934000000.0,-1487000000.0,-1487000000.0
SaleOfInvestment,2699000000.0,1525000000.0,98000000.0,1530000000.0,1530000000.0
ShortTermDebtIssuance,,0.0,,,
ShortTermDebtPayments,-3699000000.0,0.0,0.0,,
StockBasedCompensation,430000000.0,753000000.0,692000000.0,671000000.0,671000000.0
