,AMP.MI,AMP.MI,AMP.MI,AMP.MI,AMP.MI
asOfDate,2019-12-31 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,TTM,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR,EUR
AmortizationCashFlow,60927000.0,,63400000.0,80225000.0,86076000.0
BeginningCashPosition,89915000.0,,138371000.0,545027000.0,521805000.0
CapitalExpenditure,-91113000.0,,-60835000.0,-113402000.0,-132791000.0
CashDividendsPaid,-30939000.0,,,-49356000.0,-58237000.0
ChangeInCashSupplementalAsReported,46355000.0,,408706000.0,-279876000.0,-359503000.0
ChangeInInventory,-2960000.0,,942000.0,178000.0,-1922000.0
ChangeInOtherCurrentAssets,34101000.0,,21110000.0,19123000.0,-13351000.0
ChangeInPayable,3244000.0,,5648000.0,53088000.0,72892000.0
ChangeInReceivables,-33251000.0,,32873000.0,3016000.0,-22960000.0
ChangeInWorkingCapital,1134000.0,,60573000.0,75405000.0,34659000.0
ChangesInCash,46305000.0,,408706000.0,-279876000.0,-359503000.0
CommonStockDividendPaid,-30939000.0,0.0,,,
CommonStockPayments,0.0,,0.0,-31085000.0,-43480000.0
DeferredTax,41615000.0,,38263000.0,58382000.0,63436000.0
Depreciation,132572000.0,,139068000.0,147185000.0,158526000.0
DepreciationAndAmortization,193499000.0,,202468000.0,227410000.0,244602000.0
DividendReceivedCFO,188000.0,,2000.0,2000.0,344000.0
EffectOfExchangeRateChanges,444000.0,,-2050000.0,3396000.0,6155000.0
EndCashPosition,138371000.0,,545027000.0,268546000.0,162302000.0
FinancingCashFlow,-111322000.0,,151523000.0,-208639000.0,-268545000.0
FreeCashFlow,228254000.0,,330631000.0,348967000.0,339228000.0
InterestPaidCFO,-24511000.0,,-21234000.0,-23616000.0,-27384000.0
InvestingCashFlow,-161690000.0,,-134283000.0,-533606000.0,-562977000.0
NetBusinessPurchaseAndSale,-73190000.0,,-77089000.0,-427737000.0,-436417000.0
NetCommonStockIssuance,0.0,,0.0,-31085000.0,-43920000.0
NetIncome,108666000.0,,101004000.0,157785000.0,172526000.0
NetIncomeFromContinuingOperations,108524000.0,,101062000.0,157843000.0,172778000.0
NetIntangiblesPurchaseAndSale,-40600000.0,,-30727000.0,-61628000.0,-70710000.0
NetInvestmentPurchaseAndSale,378000.0,,0.0,5167000.0,1414000.0
NetIssuancePaymentsOfDebt,-1756000.0,,232054000.0,-32666000.0,
NetLongTermDebtIssuance,-1756000.0,,232054000.0,-32666000.0,
NetOtherFinancingCharges,2379000.0,,-19000.0,784000.0,-26607000.0
NetOtherInvestingChanges,2235000.0,,3641000.0,,
NetPPEPurchaseAndSale,-50513000.0,,-30108000.0,-49408000.0,-59715000.0
OperatingCashFlow,319367000.0,,391466000.0,462369000.0,472019000.0
OtherCashAdjustmentInsideChangeinCash,-50000.0,,,,
OtherCashAdjustmentOutsideChangeinCash,1707000.0,3533000.0,,-1000.0,
OtherNonCashItems,,,28863000.0,22006000.0,27569000.0
ProvisionandWriteOffofAssets,26771000.0,,24799000.0,17935000.0,21033000.0
PurchaseOfBusiness,-73190000.0,,-89199000.0,-427737000.0,-420495000.0
PurchaseOfIntangibles,-40600000.0,,-30727000.0,-61628000.0,-70710000.0
PurchaseOfPPE,-50513000.0,,-30108000.0,-51774000.0,-62081000.0
RepurchaseOfCapitalStock,0.0,,0.0,-31085000.0,-43480000.0
SaleOfBusiness,,,12110000.0,,
SaleOfPPE,,,,2366000.0,
StockBasedCompensation,27322000.0,,,,
TaxesRefundPaid,-46983000.0,,-34462000.0,-65579000.0,-55801000.0
