,ELN.MI,ELN.MI,ELN.MI,ELN.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
BeginningCashPosition,80966102.0,97030962.0,123744217.0,
CapitalExpenditure,-21580110.0,-10508518.0,-16129613.0,
CashDividendsPaid,-8611453.0,-113541.0,-9414328.0,
ChangeInCashSupplementalAsReported,16064860.0,26713255.0,57618596.0,
ChangeInInventory,-11144853.0,-14556450.0,-40537672.0,
ChangeInOtherCurrentAssets,143087.0,-2407911.0,11841992.0,
ChangeInOtherCurrentLiabilities,10247400.0,10498001.0,47902857.0,
ChangeInPayable,15521160.0,15970027.0,59123677.0,
ChangeInReceivables,-13258675.0,-1121293.0,-53045948.0,
ChangeInWorkingCapital,1508119.0,8382374.0,25284906.0,
ChangesInCash,18102936.0,26744666.0,55748481.0,
CommonStockDividendPaid,-8611453.0,-113541.0,,
CommonStockIssuance,2866299.0,1137321.0,4328616.0,
Depreciation,6886064.0,7899157.0,8709925.0,
DepreciationAndAmortization,6886064.0,7899157.0,8709925.0,
EffectOfExchangeRateChanges,-2038076.0,-31411.0,1870116.0,
EndCashPosition,97030962.0,123744217.0,181362812.0,
FinancingCashFlow,4794517.0,-8661172.0,-3505807.0,
FreeCashFlow,16145524.0,33623056.0,63351819.0,
GainLossOnInvestmentSecurities,,,-10166.0,
InterestPaidCFO,,,-838188.0,
InterestReceivedCFO,,,912066.0,
InvestingCashFlow,-24417215.0,-8725736.0,-20227144.0,
IssuanceOfCapitalStock,2866299.0,1137321.0,4328616.0,
IssuanceOfDebt,,15959917.0,2470548.0,
LongTermDebtIssuance,,9808129.0,2470548.0,
NetBusinessPurchaseAndSale,,1894400.0,-4432775.0,
NetCommonStockIssuance,2866299.0,1137321.0,4328616.0,
NetIncome,26016748.0,20255146.0,45436387.0,57794387.0
NetIncomeFromContinuingOperations,28775292.0,22542355.0,49124385.0,
NetIntangiblesPurchaseAndSale,-1021428.0,-352631.0,-1400523.0,
NetInvestmentPurchaseAndSale,-2826598.0,1894400.0,,
NetIssuancePaymentsOfDebt,10539671.0,15959917.0,1602740.0,
NetLongTermDebtIssuance,4993188.0,9808129.0,2470548.0,
NetOtherFinancingCharges,,-25644869.0,-22835.0,
NetOtherInvestingChanges,-10507.0,-111618.0,335244.0,
NetPPEPurchaseAndSale,-20558682.0,-10155887.0,-14729090.0,
NetShortTermDebtIssuance,5546483.0,6151788.0,-867808.0,
OperatingCashFlow,37725634.0,44131574.0,79481432.0,
OtherCashAdjustmentOutsideChangeinCash,,,-2.0,
PensionAndEmployeeBenefitExpense,-42912.0,122467.0,114939.0,
ProvisionandWriteOffofAssets,-161886.0,2401125.0,5396769.0,
PurchaseOfBusiness,,,-4432775.0,
PurchaseOfIntangibles,-1021428.0,-352631.0,-1400523.0,
PurchaseOfInvestment,-2826598.0,,,
PurchaseOfPPE,-20558682.0,-10155887.0,-14729090.0,
RepaymentOfDebt,,,-867808.0,
SaleOfInvestment,,1894400.0,,
ShortTermDebtIssuance,,6151788.0,,
ShortTermDebtPayments,,,-867808.0,
StockBasedCompensation,711198.0,2359361.0,156075.0,
TaxesRefundPaid,,,-9564627.0,
