,FUN,FUN,FUN,FUN,FUN,FUN
asOfDate,2019-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,TTM,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD,USD
AssetImpairmentCharge,,,103999000.0,0.0,0.0,0.0
BeginningCashPosition,105349000.0,,182252000.0,376736000.0,61119000.0,61119000.0
CapitalExpenditure,-330662000.0,,-129087000.0,-59183000.0,-183352000.0,-183352000.0
CapitalExpenditureReported,-330662000.0,,-129087000.0,-59183000.0,-183352000.0,-183352000.0
CashDividendsPaid,-210011000.0,,-53020000.0,0.0,-33455000.0,-33455000.0
CashFlowFromContinuingFinancingActivities,270469000.0,,730850000.0,-466433000.0,-489552000.0,-489552000.0
CashFlowFromContinuingInvestingActivities,-600216000.0,,-120821000.0,-57778000.0,126648000.0,126648000.0
CashFlowFromContinuingOperatingActivities,403041000.0,,-416537000.0,201226000.0,407672000.0,407672000.0
ChangeInAccountPayable,-1107000.0,,-9917000.0,34515000.0,-8721000.0,-8721000.0
ChangeInAccruedExpense,24088000.0,,7626000.0,27139000.0,-112000.0,-112000.0
ChangeInCashSupplementalAsReported,76903000.0,,194484000.0,-315617000.0,40070000.0,40070000.0
ChangeInIncomeTaxPayable,8547000.0,8547000.0,,,,
ChangeInInterestPayable,13414000.0,,12235000.0,-1711000.0,162000.0,162000.0
ChangeInInventory,-211000.0,,-14499000.0,15384000.0,-13400000.0,-13400000.0
ChangeInOtherCurrentAssets,-5221000.0,,-12180000.0,1928000.0,5595000.0,5595000.0
ChangeInOtherCurrentLiabilities,-4587000.0,569000.0,-2445000.0,6387000.0,3722000.0,3722000.0
ChangeInOtherWorkingCapital,36920000.0,,31160000.0,3622000.0,86834000.0,86834000.0
ChangeInPayable,7440000.0,,-9917000.0,34515000.0,-8721000.0,-8721000.0
ChangeInPayablesAndAccruedExpense,31528000.0,,-2291000.0,61654000.0,-8833000.0,-8833000.0
ChangeInReceivables,-8166000.0,,-68759000.0,-44253000.0,-9117000.0,-9117000.0
ChangeInTaxPayable,8547000.0,8547000.0,,,,
ChangeInWorkingCapital,50263000.0,,-69014000.0,44722000.0,64801000.0,64801000.0
ChangesInAccountReceivables,,,28729000.0,-27651000.0,,
ChangesInCash,73294000.0,,193492000.0,-322985000.0,44768000.0,44768000.0
CommonStockDividendPaid,-210011000.0,,-53020000.0,,,
CommonStockPayments,,,,,-184646000.0,-184646000.0
DeferredIncomeTax,-4106000.0,,-41933000.0,26888000.0,4385000.0,4385000.0
DeferredTax,-4106000.0,,-41933000.0,26888000.0,4385000.0,4385000.0
DepreciationAmortizationDepletion,170456000.0,,157549000.0,148803000.0,153274000.0,153274000.0
DepreciationAndAmortization,170456000.0,,157549000.0,148803000.0,153274000.0,153274000.0
EffectOfExchangeRateChanges,3609000.0,,992000.0,7368000.0,-4698000.0,-4698000.0
EndCashPosition,182252000.0,,376736000.0,61119000.0,101189000.0,101189000.0
FinancingCashFlow,270469000.0,,730850000.0,-466433000.0,-489552000.0,-489552000.0
FreeCashFlow,72379000.0,,-545624000.0,142043000.0,224320000.0,224320000.0
GainLossOnInvestmentSecurities,,,,-19000000.0,-25641000.0,-25641000.0
GainLossOnSaleOfPPE,,,,,-159405000.0,-159405000.0
IncomeTaxPaidSupplementalData,40793000.0,,1792000.0,10054000.0,,
InterestPaidSupplementalData,85596000.0,,130444000.0,174253000.0,137694000.0,137694000.0
InvestingCashFlow,-600216000.0,,-120821000.0,-57778000.0,126648000.0,126648000.0
IssuanceOfDebt,500000000.0,,1300000000.0,0.0,0.0,0.0
LongTermDebtIssuance,500000000.0,,1300000000.0,0.0,0.0,0.0
LongTermDebtPayments,-5625000.0,,-465125000.0,-460755000.0,-264250000.0,-264250000.0
NetBusinessPurchaseAndSale,-270171000.0,,0.0,0.0,,
NetCommonStockIssuance,,,,,-184646000.0,-184646000.0
NetForeignCurrencyExchangeGainLoss,-22307000.0,,-9344000.0,5986000.0,23274000.0,23274000.0
NetIncome,172365000.0,,-590243000.0,-48518000.0,307668000.0,307668000.0
NetIncomeFromContinuingOperations,172365000.0,,-590243000.0,-48518000.0,307668000.0,307668000.0
NetInvestmentPurchaseAndSale,617000.0,617000.0,,,,
NetIssuancePaymentsOfDebt,494375000.0,,834875000.0,-460755000.0,-264250000.0,-264250000.0
NetLongTermDebtIssuance,494375000.0,,834875000.0,-460755000.0,-264250000.0,-264250000.0
NetOtherFinancingCharges,-13895000.0,,-51005000.0,-5678000.0,-7201000.0,-7201000.0
NetOtherInvestingChanges,,,8266000.0,1405000.0,,
NetPPEPurchaseAndSale,,,,,310000000.0,310000000.0
OperatingCashFlow,403041000.0,,-416537000.0,201226000.0,407672000.0,407672000.0
OperatingGainsLosses,-22307000.0,,-7082000.0,-7105000.0,-159962000.0,-159962000.0
OtherNonCashItems,24460000.0,,30396000.0,21005000.0,16917000.0,16917000.0
ProceedsFromStockOptionExercised,0.0,0.0,,,,
PurchaseOfBusiness,-270171000.0,,0.0,0.0,,
RepaymentOfDebt,-5625000.0,,-465125000.0,-460755000.0,-264250000.0,-264250000.0
RepurchaseOfCapitalStock,,,,,-184646000.0,-184646000.0
SaleOfInvestment,617000.0,617000.0,,,,
SaleOfPPE,,,,,310000000.0,310000000.0
StockBasedCompensation,11910000.0,,-209000.0,15431000.0,20589000.0,20589000.0
