,GOOG,GOOG,GOOG,GOOG,GOOG
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationCashFlow,925000000.0,792000000.0,886000000.0,641000000.0,641000000.0
AmortizationOfIntangibles,925000000.0,792000000.0,886000000.0,641000000.0,641000000.0
BeginningCashPosition,16701000000.0,18498000000.0,26465000000.0,20945000000.0,20945000000.0
CapitalExpenditure,-23548000000.0,-22281000000.0,-24640000000.0,-31485000000.0,-31485000000.0
CashFlowFromContinuingFinancingActivities,-23209000000.0,-24408000000.0,-61362000000.0,-69757000000.0,-69757000000.0
CashFlowFromContinuingInvestingActivities,-29491000000.0,-32773000000.0,-35523000000.0,-20298000000.0,-20298000000.0
CashFlowFromContinuingOperatingActivities,54520000000.0,65124000000.0,91652000000.0,91495000000.0,91495000000.0
ChangeInAccountPayable,428000000.0,694000000.0,283000000.0,707000000.0,707000000.0
ChangeInAccruedExpense,8443000000.0,7143000000.0,8986000000.0,3470000000.0,3470000000.0
ChangeInCashSupplementalAsReported,1797000000.0,7967000000.0,-5520000000.0,934000000.0,934000000.0
ChangeInOtherCurrentAssets,-621000000.0,-1330000000.0,-1846000000.0,-5046000000.0,-5046000000.0
ChangeInOtherWorkingCapital,-3091000000.0,1844000000.0,149000000.0,951000000.0,951000000.0
ChangeInPayable,428000000.0,694000000.0,283000000.0,707000000.0,707000000.0
ChangeInPayablesAndAccruedExpense,8871000000.0,7837000000.0,9269000000.0,4177000000.0,4177000000.0
ChangeInReceivables,-4340000000.0,-6524000000.0,-9095000000.0,-2317000000.0,-2317000000.0
ChangeInWorkingCapital,819000000.0,1827000000.0,-1523000000.0,-2235000000.0,-2235000000.0
ChangesInAccountReceivables,-4340000000.0,-6524000000.0,-9095000000.0,-2317000000.0,-2317000000.0
ChangesInCash,1820000000.0,7943000000.0,-5233000000.0,1440000000.0,1440000000.0
CommonStockPayments,-18396000000.0,-31149000000.0,-50274000000.0,-59296000000.0,-59296000000.0
DeferredIncomeTax,173000000.0,1390000000.0,1808000000.0,-8081000000.0,-8081000000.0
DeferredTax,173000000.0,1390000000.0,1808000000.0,-8081000000.0,-8081000000.0
Depreciation,10856000000.0,12905000000.0,11555000000.0,15287000000.0,15287000000.0
DepreciationAmortizationDepletion,11781000000.0,13697000000.0,12441000000.0,15928000000.0,15928000000.0
DepreciationAndAmortization,11781000000.0,13697000000.0,12441000000.0,15928000000.0,15928000000.0
EffectOfExchangeRateChanges,-23000000.0,24000000.0,-287000000.0,-506000000.0,-506000000.0
EndCashPosition,18498000000.0,26465000000.0,20945000000.0,21879000000.0,21879000000.0
FinancingCashFlow,-23209000000.0,-24408000000.0,-61362000000.0,-69757000000.0,-69757000000.0
FreeCashFlow,30972000000.0,42843000000.0,67012000000.0,60010000000.0,60010000000.0
GainLossOnInvestmentSecurities,-2798000000.0,-6317000000.0,-12270000000.0,5519000000.0,5519000000.0
IncomeTaxPaidSupplementalData,8203000000.0,4990000000.0,13412000000.0,18892000000.0,18892000000.0
InvestingCashFlow,-29491000000.0,-32773000000.0,-35523000000.0,-20298000000.0,-20298000000.0
IssuanceOfDebt,317000000.0,11761000000.0,20199000000.0,52872000000.0,52872000000.0
LongTermDebtIssuance,317000000.0,11761000000.0,20199000000.0,52872000000.0,52872000000.0
LongTermDebtPayments,-585000000.0,-2100000000.0,-21435000000.0,-54068000000.0,-54068000000.0
NetBusinessPurchaseAndSale,-2515000000.0,-738000000.0,-2618000000.0,-6969000000.0,-6969000000.0
NetCommonStockIssuance,-18396000000.0,-31149000000.0,-50274000000.0,-59296000000.0,-59296000000.0
NetIncome,34343000000.0,40269000000.0,76033000000.0,59972000000.0,59972000000.0
NetIncomeFromContinuingOperations,34343000000.0,40269000000.0,76033000000.0,59972000000.0,59972000000.0
NetIntangiblesPurchaseAndSale,-2515000000.0,,,,
NetInvestmentPurchaseAndSale,-4017000000.0,-9822000000.0,-8806000000.0,16567000000.0,16567000000.0
NetIssuancePaymentsOfDebt,-268000000.0,9661000000.0,-1236000000.0,-1196000000.0,-1196000000.0
NetLongTermDebtIssuance,-268000000.0,9661000000.0,-1236000000.0,-1196000000.0,-1196000000.0
NetOtherFinancingCharges,220000000.0,2800000000.0,310000000.0,35000000.0,35000000.0
NetOtherInvestingChanges,589000000.0,68000000.0,541000000.0,1589000000.0,1589000000.0
NetPPEPurchaseAndSale,-23548000000.0,-22281000000.0,-24640000000.0,-31485000000.0,-31485000000.0
OperatingCashFlow,54520000000.0,65124000000.0,91652000000.0,91495000000.0,91495000000.0
OperatingGainsLosses,-2798000000.0,-6317000000.0,-12270000000.0,5519000000.0,5519000000.0
OtherNonCashItems,-592000000.0,1267000000.0,-213000000.0,1030000000.0,1030000000.0
ProceedsFromStockOptionExercised,-4765000000.0,-5720000000.0,-10162000000.0,-9300000000.0,-9300000000.0
PurchaseOfBusiness,-2515000000.0,-738000000.0,-2618000000.0,-6969000000.0,-6969000000.0
PurchaseOfIntangibles,-2515000000.0,,,,
PurchaseOfInvestment,-102247000000.0,-143751000000.0,-138034000000.0,-81405000000.0,-81405000000.0
PurchaseOfPPE,-23548000000.0,-22281000000.0,-24640000000.0,-31485000000.0,-31485000000.0
RepaymentOfDebt,-585000000.0,-2100000000.0,-21435000000.0,-54068000000.0,-54068000000.0
RepurchaseOfCapitalStock,-18396000000.0,-31149000000.0,-50274000000.0,-59296000000.0,-59296000000.0
SaleOfInvestment,98230000000.0,133929000000.0,129228000000.0,97972000000.0,97972000000.0
StockBasedCompensation,10794000000.0,12991000000.0,15376000000.0,19362000000.0,19362000000.0
