,HER.MI,HER.MI,HER.MI,HER.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
AmortizationCashFlow,,,469900000.0,484400000.0
BeginningCashPosition,535500000.0,364000000.0,987100000.0,788300000.0
CapitalExpenditure,-533200000.0,-506400000.0,-588700000.0,-674600000.0
CashDividendsPaid,-161500000.0,-163300000.0,-193000000.0,-232900000.0
ChangeInCashSupplementalAsReported,-171500000.0,623100000.0,-101500000.0,436200000.0
ChangeInInventory,-17900000.0,-3800000.0,-196700000.0,-733000000.0
ChangeInOtherCurrentAssets,103600000.0,-65100000.0,279800000.0,320000000.0
ChangeInPayable,-65000000.0,101900000.0,858500000.0,587100000.0
ChangeInReceivables,-162500000.0,4800000.0,-893800000.0,-1284200000.0
ChangeInWorkingCapital,-141800000.0,37800000.0,47800000.0,-1110100000.0
ChangesInCash,-171500000.0,623100000.0,-101500000.0,436200000.0
CommonStockDividendPaid,-161500000.0,,,
Depreciation,433700000.0,457100000.0,,
DepreciationAndAmortization,433700000.0,457100000.0,469900000.0,484400000.0
DividendReceivedCFO,13300000.0,10100000.0,12000000.0,12900000.0
EndCashPosition,364000000.0,987100000.0,885600000.0,1224500000.0
FinancingCashFlow,-314100000.0,250300000.0,-484300000.0,1217400000.0
FreeCashFlow,196500000.0,385000000.0,456700000.0,-757600000.0
GainLossOnInvestmentSecurities,7000000.0,-6700000.0,25500000.0,215100000.0
GainLossOnSaleOfPPE,7000000.0,-6700000.0,,
InterestPaidCFO,-115000000.0,-81900000.0,-96200000.0,-117400000.0
InterestReceivedCFO,44900000.0,37400000.0,32600000.0,33700000.0
InvestingCashFlow,-587100000.0,-518600000.0,-662600000.0,-698200000.0
IssuanceOfDebt,214300000.0,512600000.0,525100000.0,1593100000.0
LongTermDebtIssuance,214300000.0,512600000.0,525100000.0,1593100000.0
LongTermDebtPayments,-377000000.0,-20900000.0,-772700000.0,
NetBusinessPurchaseAndSale,-195700000.0,-48600000.0,-74900000.0,-60300000.0
NetCommonStockIssuance,31300000.0,-54800000.0,-200000.0,-29000000.0
NetIncome,385700000.0,302700000.0,333500000.0,130500000.0
NetIncomeFromContinuingOperations,528100000.0,434600000.0,406900000.0,245400000.0
NetIntangiblesPurchaseAndSale,-369000000.0,-365800000.0,-416800000.0,-464800000.0
NetInvestmentPurchaseAndSale,168200000.0,2000000.0,,
NetIssuancePaymentsOfDebt,-162700000.0,491700000.0,-247600000.0,820400000.0
NetLongTermDebtIssuance,-162700000.0,491700000.0,-247600000.0,820400000.0
NetOtherFinancingCharges,-2200000.0,-1200000.0,-21000000.0,704400000.0
NetOtherInvestingChanges,-31100000.0,30800000.0,-1500000.0,21600000.0
NetPPEPurchaseAndSale,-159500000.0,-137000000.0,-169400000.0,-205300000.0
OperatingCashFlow,729700000.0,891400000.0,1045400000.0,-83000000.0
OtherNonCashItems,27800000.0,124900000.0,218000000.0,192200000.0
PensionAndEmployeeBenefitExpense,-12200000.0,-13500000.0,-12600000.0,-11400000.0
ProvisionandWriteOffofAssets,80400000.0,84400000.0,111000000.0,124000000.0
PurchaseOfBusiness,-195700000.0,-48600000.0,-75100000.0,-60300000.0
PurchaseOfIntangibles,-369000000.0,-365800000.0,-416800000.0,-464800000.0
PurchaseOfPPE,-164200000.0,-140600000.0,-171900000.0,-209800000.0
RepaymentOfDebt,-377000000.0,-20900000.0,-772700000.0,
SaleOfBusiness,,,200000.0,0.0
SaleOfInvestment,168200000.0,2000000.0,,
SaleOfPPE,4700000.0,3600000.0,2500000.0,4500000.0
TaxesRefundPaid,-123100000.0,-184600000.0,-156300000.0,-140000000.0
