,HMC,HMC,HMC,HMC,HMC
asOfDate,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,JPY,JPY,JPY,JPY,JPY
BeginningCashPosition,2256488000000.0,2494121000000.0,2672353000000.0,2758020000000.0,2690451000000.0
CapitalExpenditure,-607807000000.0,-601258000000.0,-551137000000.0,-449226000000.0,-631351000000.0
CashDividendsPaid,-194271000000.0,-196795000000.0,-145090000000.0,-188402000000.0,-213475000000.0
CashFlowFromContinuingFinancingActivities,22924000000.0,-87411000000.0,-283980000000.0,-615718000000.0,-1242392000000.0
CashFlowFromContinuingInvestingActivities,-577555000000.0,-619481000000.0,-796881000000.0,-376056000000.0,-578968000000.0
CashFlowFromContinuingOperatingActivities,775988000000.0,979415000000.0,1072379000000.0,1679622000000.0,2444574000000.0
ChangeInAccountPayable,-11816000000.0,-141159000000.0,101301000000.0,50122000000.0,-13453000000.0
ChangeInAccruedExpense,25372000000.0,-4529000000.0,-40927000000.0,-68811000000.0,27755000000.0
ChangeInCashSupplementalAsReported,237633000000.0,178232000000.0,85667000000.0,916911000000.0,904636000000.0
ChangeInInventory,-60906000000.0,-59931000000.0,68281000000.0,-208895000000.0,-126214000000.0
ChangeInOtherCurrentAssets,-230311000000.0,-270677000000.0,-161579000000.0,171600000000.0,824470000000.0
ChangeInOtherWorkingCapital,9455000000.0,-20406000000.0,34356000000.0,-127098000000.0,106786000000.0
ChangeInPayable,-11816000000.0,-141159000000.0,101301000000.0,50122000000.0,-13453000000.0
ChangeInPayablesAndAccruedExpense,13556000000.0,-145688000000.0,60374000000.0,-18689000000.0,14302000000.0
ChangeInReceivables,-251360000000.0,236316000000.0,-193722000000.0,485704000000.0,320403000000.0
ChangeInWorkingCapital,-519566000000.0,-260386000000.0,-192290000000.0,302622000000.0,1139747000000.0
ChangesInAccountReceivables,9344000000.0,132702000000.0,-133788000000.0,-24037000000.0,-59364000000.0
ChangesInCash,221357000000.0,272523000000.0,-8482000000.0,687848000000.0,623214000000.0
CommonStockDividendPaid,-194271000000.0,-196795000000.0,,,
Depreciation,721695000000.0,699877000000.0,624239000000.0,611063000000.0,
DepreciationAmortizationDepletion,721695000000.0,699877000000.0,624239000000.0,611063000000.0,689964000000.0
DepreciationAndAmortization,721695000000.0,699877000000.0,624239000000.0,611063000000.0,689964000000.0
DividendReceivedCFO,175244000000.0,185742000000.0,191112000000.0,193555000000.0,230595000000.0
EarningsLossesFromEquityInvestments,-228827000000.0,-164203000000.0,-272734000000.0,-202512000000.0,-194365000000.0
EffectOfExchangeRateChanges,16276000000.0,-94291000000.0,94149000000.0,229063000000.0,281422000000.0
EndCashPosition,2494121000000.0,2672353000000.0,2758020000000.0,3674931000000.0,3313665000000.0
FinancingCashFlow,22924000000.0,-87411000000.0,-283980000000.0,-615718000000.0,-1242392000000.0
FreeCashFlow,168181000000.0,378157000000.0,521242000000.0,1230396000000.0,1813223000000.0
InterestPaidCFO,-150162000000.0,-162263000000.0,-113100000000.0,-97884000000.0,-131478000000.0
InterestReceivedCFO,270776000000.0,288821000000.0,236729000000.0,237724000000.0,289193000000.0
