,INTC,INTC,INTC,INTC,INTC
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationCashFlow,1622000000.0,1757000000.0,1839000000.0,1907000000.0,1907000000.0
AmortizationOfIntangibles,1622000000.0,1757000000.0,1839000000.0,1907000000.0,1907000000.0
BeginningCashPosition,3019000000.0,4194000000.0,5865000000.0,4827000000.0,4827000000.0
CapitalExpenditure,-16213000000.0,-14453000000.0,-20329000000.0,-25050000000.0,-25050000000.0
CashDividendsPaid,-5576000000.0,-5568000000.0,-5644000000.0,-5997000000.0,-5997000000.0
CashFlowFromContinuingFinancingActivities,-17565000000.0,-12917000000.0,-5862000000.0,1361000000.0,1361000000.0
CashFlowFromContinuingInvestingActivities,-14405000000.0,-20796000000.0,-25167000000.0,-10477000000.0,-10477000000.0
CashFlowFromContinuingOperatingActivities,33145000000.0,35384000000.0,29991000000.0,15433000000.0,15433000000.0
ChangeInAccountPayable,696000000.0,412000000.0,1190000000.0,-29000000.0,-29000000.0
ChangeInCashSupplementalAsReported,1175000000.0,1671000000.0,-1038000000.0,6317000000.0,6317000000.0
ChangeInIncomeTaxPayable,,,,-4535000000.0,
ChangeInInventory,-1481000000.0,-687000000.0,-2339000000.0,-2436000000.0,-2436000000.0
ChangeInOtherWorkingCapital,2868000000.0,1571000000.0,-1050000000.0,-7346000000.0,-7346000000.0
ChangeInPayable,696000000.0,412000000.0,1190000000.0,-29000000.0,-29000000.0
ChangeInPayablesAndAccruedExpense,696000000.0,412000000.0,1190000000.0,-29000000.0,-29000000.0
ChangeInPrepaidAssets,,-181000000.0,-1583000000.0,-24000000.0,-24000000.0
ChangeInReceivables,-935000000.0,883000000.0,-2674000000.0,5327000000.0,5327000000.0
ChangeInTaxPayable,,,,-4535000000.0,
ChangeInWorkingCapital,1148000000.0,2179000000.0,-4873000000.0,-4508000000.0,-4508000000.0
ChangesInAccountReceivables,-935000000.0,883000000.0,-2674000000.0,5327000000.0,5327000000.0
ChangesInCash,1175000000.0,1671000000.0,-1038000000.0,6317000000.0,6317000000.0
CommonStockDividendPaid,-5576000000.0,-5568000000.0,,-5997000000.0,-5997000000.0
CommonStockIssuance,,,,1032000000.0,1032000000.0
CommonStockPayments,-13576000000.0,-14229000000.0,-2415000000.0,0.0,0.0
Depreciation,9204000000.0,10482000000.0,9953000000.0,11128000000.0,11128000000.0
DepreciationAmortizationDepletion,10826000000.0,12239000000.0,11792000000.0,13035000000.0,13035000000.0
DepreciationAndAmortization,10826000000.0,12239000000.0,11792000000.0,13035000000.0,13035000000.0
EarningsLossesFromEquityInvestments,-892000000.0,-1757000000.0,,,
EndCashPosition,4194000000.0,5865000000.0,4827000000.0,11144000000.0,11144000000.0
FinancingCashFlow,-17565000000.0,-12917000000.0,-5862000000.0,1361000000.0,1361000000.0
FreeCashFlow,16932000000.0,20931000000.0,9662000000.0,-9617000000.0,-9617000000.0
GainLossOnInvestmentSecurities,-892000000.0,-1757000000.0,-1458000000.0,-4254000000.0,-4254000000.0
GainLossOnSaleOfBusiness,-690000000.0,-30000000.0,,-1059000000.0,-1059000000.0
IncomeTaxPaidSupplementalData,2110000000.0,2436000000.0,2263000000.0,4282000000.0,4282000000.0
InterestPaidSupplementalData,469000000.0,594000000.0,545000000.0,459000000.0,459000000.0
InvestingCashFlow,-14405000000.0,-20796000000.0,-25167000000.0,-10477000000.0,-10477000000.0
IssuanceOfCapitalStock,,,,1032000000.0,1032000000.0
IssuanceOfDebt,3392000000.0,10247000000.0,4974000000.0,10493000000.0,10493000000.0
LongTermDebtIssuance,3392000000.0,10247000000.0,4974000000.0,6548000000.0,6548000000.0
LongTermDebtPayments,-2627000000.0,-4525000000.0,-2500000000.0,-5329000000.0,-5329000000.0
NetBusinessPurchaseAndSale,-1047000000.0,-714000000.0,-209000000.0,6579000000.0,6579000000.0
NetCommonStockIssuance,-13576000000.0,-14229000000.0,-2415000000.0,1032000000.0,1032000000.0
NetIncome,21048000000.0,20899000000.0,19868000000.0,8014000000.0,8014000000.0
NetIncomeFromContinuingOperations,21048000000.0,20899000000.0,19868000000.0,8017000000.0,8017000000.0
NetInvestmentPurchaseAndSale,2140000000.0,-6891000000.0,-5287000000.0,9534000000.0,9534000000.0
NetIssuancePaymentsOfDebt,765000000.0,5722000000.0,2474000000.0,5164000000.0,5164000000.0
NetLongTermDebtIssuance,765000000.0,5722000000.0,2474000000.0,1219000000.0,1219000000.0
NetOtherFinancingCharges,72000000.0,261000000.0,-1297000000.0,185000000.0,185000000.0
NetOtherInvestingChanges,715000000.0,1262000000.0,658000000.0,-1540000000.0,-1540000000.0
NetPPEPurchaseAndSale,-16213000000.0,-14453000000.0,-20329000000.0,-25050000000.0,-25050000000.0
NetShortTermDebtIssuance,,,,3945000000.0,3945000000.0
OperatingCashFlow,33145000000.0,35384000000.0,29991000000.0,15433000000.0,15433000000.0
OperatingGainsLosses,-1582000000.0,-1787000000.0,-1458000000.0,-5313000000.0,-5313000000.0
OtherNonCashItems,,,2626000000.0,1074000000.0,1074000000.0
ProceedsFromStockOptionExercised,750000000.0,897000000.0,1020000000.0,977000000.0,977000000.0
PurchaseOfBusiness,-1958000000.0,-837000000.0,-209000000.0,-510000000.0,-510000000.0
PurchaseOfInvestment,-11952000000.0,-29959000000.0,-41167000000.0,-44157000000.0,-44157000000.0
PurchaseOfPPE,-16213000000.0,-14453000000.0,-20329000000.0,-25050000000.0,-25050000000.0
RepaymentOfDebt,-2627000000.0,-4525000000.0,-2500000000.0,-5329000000.0,-5329000000.0
RepurchaseOfCapitalStock,-13576000000.0,-14229000000.0,-2415000000.0,0.0,0.0
SaleOfBusiness,911000000.0,123000000.0,,6579000000.0,6579000000.0
SaleOfInvestment,14092000000.0,23068000000.0,35880000000.0,53691000000.0,53691000000.0
ShortTermDebtIssuance,,,,3945000000.0,3945000000.0
StockBasedCompensation,1705000000.0,1854000000.0,2036000000.0,3128000000.0,3128000000.0
