,JNJ,JNJ,JNJ,JNJ,JNJ
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AssetImpairmentCharge,1096000000.0,233000000.0,989000000.0,1216000000.0,1216000000.0
BeginningCashPosition,18107000000.0,17305000000.0,13985000000.0,14487000000.0,14487000000.0
CapitalExpenditure,-3498000000.0,-3347000000.0,-3652000000.0,-4009000000.0,-4009000000.0
CashDividendsPaid,-9917000000.0,-10481000000.0,-11032000000.0,-11682000000.0,-11682000000.0
CashFlowFromContinuingFinancingActivities,-18015000000.0,-6120000000.0,-14047000000.0,-8871000000.0,-8871000000.0
CashFlowFromContinuingInvestingActivities,-6194000000.0,-20825000000.0,-8683000000.0,-12371000000.0,-12371000000.0
CashFlowFromContinuingOperatingActivities,23416000000.0,23536000000.0,23410000000.0,21194000000.0,21194000000.0
ChangeInCashSupplementalAsReported,-802000000.0,-3320000000.0,502000000.0,-360000000.0,-360000000.0
ChangeInInventory,-277000000.0,-265000000.0,-1248000000.0,-2527000000.0,-2527000000.0
ChangeInOtherCurrentAssets,-1054000000.0,-3704000000.0,-1964000000.0,687000000.0,687000000.0
ChangeInOtherCurrentLiabilities,1425000000.0,744000000.0,-1061000000.0,-1979000000.0,-1979000000.0
ChangeInPayablesAndAccruedExpense,4060000000.0,5141000000.0,2437000000.0,1098000000.0,1098000000.0
ChangeInReceivables,-289000000.0,774000000.0,-2402000000.0,-1290000000.0,-1290000000.0
ChangeInWorkingCapital,3865000000.0,2690000000.0,-4238000000.0,-4011000000.0,-4011000000.0
ChangesInAccountReceivables,-289000000.0,774000000.0,-2402000000.0,-1290000000.0,-1290000000.0
ChangesInCash,-793000000.0,-3409000000.0,680000000.0,-48000000.0,-48000000.0
CommonStockDividendPaid,-9917000000.0,-10481000000.0,-11032000000.0,-11682000000.0,-11682000000.0
CommonStockPayments,-6746000000.0,-3221000000.0,-3456000000.0,-6035000000.0,-6035000000.0
DeferredIncomeTax,-2476000000.0,-1141000000.0,-2079000000.0,-1663000000.0,-1663000000.0
DeferredTax,-2476000000.0,-1141000000.0,-2079000000.0,-1663000000.0,-1663000000.0
DepreciationAmortizationDepletion,7009000000.0,7231000000.0,7390000000.0,6970000000.0,6970000000.0
DepreciationAndAmortization,7009000000.0,7231000000.0,7390000000.0,6970000000.0,6970000000.0
EffectOfExchangeRateChanges,-9000000.0,89000000.0,-178000000.0,-312000000.0,-312000000.0
EndCashPosition,17305000000.0,13985000000.0,14487000000.0,14127000000.0,14127000000.0
FinancingCashFlow,-18015000000.0,-6120000000.0,-14047000000.0,-8871000000.0,-8871000000.0
FreeCashFlow,19918000000.0,20189000000.0,19758000000.0,17185000000.0,17185000000.0
IncomeTaxPaidSupplementalData,4191000000.0,4619000000.0,4768000000.0,5223000000.0,5223000000.0
InterestPaidSupplementalData,995000000.0,904000000.0,990000000.0,982000000.0,982000000.0
InvestingCashFlow,-6194000000.0,-20825000000.0,-8683000000.0,-12371000000.0,-12371000000.0
IssuanceOfDebt,42000000.0,10822000000.0,2002000000.0,16136000000.0,16136000000.0
LongTermDebtIssuance,3000000.0,7431000000.0,5000000.0,2000000.0,2000000.0
LongTermDebtPayments,-2823000000.0,-1064000000.0,-1802000000.0,-2134000000.0,-2134000000.0
NetBusinessPurchaseAndSale,-5810000000.0,-7323000000.0,-60000000.0,-17652000000.0,-17652000000.0
NetCommonStockIssuance,-6746000000.0,-3221000000.0,-3456000000.0,-6035000000.0,-6035000000.0
NetIncome,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetIncomeFromContinuingOperations,15119000000.0,14714000000.0,20878000000.0,17941000000.0,17941000000.0
NetInvestmentPurchaseAndSale,-195000000.0,-8952000000.0,-5388000000.0,9225000000.0,9225000000.0
NetIssuancePaymentsOfDebt,-2881000000.0,7095000000.0,-990000000.0,7452000000.0,7452000000.0
NetLongTermDebtIssuance,-2820000000.0,6367000000.0,-1797000000.0,-2132000000.0,-2132000000.0
NetOtherFinancingCharges,575000000.0,-627000000.0,395000000.0,65000000.0,65000000.0
NetOtherInvestingChanges,3309000000.0,-1203000000.0,417000000.0,65000000.0,65000000.0
NetPPEPurchaseAndSale,-3498000000.0,-3347000000.0,-3652000000.0,-4009000000.0,-4009000000.0
NetShortTermDebtIssuance,-61000000.0,728000000.0,807000000.0,9584000000.0,9584000000.0
OperatingCashFlow,23416000000.0,23536000000.0,23410000000.0,21194000000.0,21194000000.0
OperatingGainsLosses,-2154000000.0,-111000000.0,-617000000.0,-380000000.0,-380000000.0
OtherNonCashItems,,-1148000000.0,,,
ProceedsFromStockOptionExercised,954000000.0,1114000000.0,1036000000.0,1329000000.0,1329000000.0
ProvisionandWriteOffofAssets,-20000000.0,63000000.0,-48000000.0,-17000000.0,-17000000.0
PurchaseOfBusiness,-5810000000.0,-7323000000.0,-60000000.0,-17652000000.0,-17652000000.0
PurchaseOfInvestment,-3920000000.0,-21089000000.0,-30394000000.0,-32384000000.0,-32384000000.0
PurchaseOfPPE,-3498000000.0,-3347000000.0,-3652000000.0,-4009000000.0,-4009000000.0
RepaymentOfDebt,-2923000000.0,-3727000000.0,-2992000000.0,-8684000000.0,-8684000000.0
RepurchaseOfCapitalStock,-6746000000.0,-3221000000.0,-3456000000.0,-6035000000.0,-6035000000.0
SaleOfInvestment,3725000000.0,12137000000.0,25006000000.0,41609000000.0,41609000000.0
ShortTermDebtIssuance,39000000.0,3391000000.0,1997000000.0,16134000000.0,16134000000.0
ShortTermDebtPayments,-100000000.0,-2663000000.0,-1190000000.0,-6550000000.0,-6550000000.0
StockBasedCompensation,977000000.0,1005000000.0,1135000000.0,1138000000.0,1138000000.0
