,LDO.MI,LDO.MI,LDO.MI,LDO.MI
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-09-30 00:00:00
periodType,12M,12M,12M,TTM
currencyCode,EUR,EUR,EUR,EUR
BeginningCashPosition,2049000000.0,1962000000.0,2213000000.0,467000000.0
CapitalExpenditure,-594000000.0,-311000000.0,-615000000.0,
CapitalExpenditureReported,-594000000.0,-311000000.0,-615000000.0,
CashDividendsPaid,-81000000.0,-81000000.0,,
ChangeInCashSupplementalAsReported,-83000000.0,297000000.0,231000000.0,175000000.0
ChangeInInventory,-380000000.0,-167000000.0,488000000.0,
ChangeInOtherCurrentAssets,-148000000.0,-489000000.0,-1131000000.0,
ChangeInWorkingCapital,-918000000.0,-1081000000.0,-645000000.0,
ChangesInCash,-89000000.0,297000000.0,231000000.0,175000000.0
CommonStockDividendPaid,-81000000.0,-81000000.0,,
DeferredTax,147000000.0,12000000.0,166000000.0,
Depreciation,619000000.0,795000000.0,525000000.0,
DepreciationAndAmortization,619000000.0,795000000.0,525000000.0,
EffectOfExchangeRateChanges,2000000.0,-46000000.0,35000000.0,89000000.0
EndCashPosition,1962000000.0,2213000000.0,2479000000.0,642000000.0
FinancingCashFlow,-262000000.0,460000000.0,30000000.0,-359000000.0
FreeCashFlow,51000000.0,-36000000.0,127000000.0,643000000.0
GainLossOnSaleOfBusiness,-100000000.0,-2000000.0,0.0,
InterestPaidCFO,-216000000.0,-247000000.0,-183000000.0,
InvestingCashFlow,-466000000.0,-438000000.0,-541000000.0,-724000000.0
IssuanceOfDebt,300000000.0,592000000.0,800000000.0,
LongTermDebtIssuance,300000000.0,592000000.0,800000000.0,
LongTermDebtPayments,-481000000.0,-51000000.0,-770000000.0,
NetIncome,821000000.0,241000000.0,586000000.0,1020000000.0
NetIncomeFromContinuingOperations,822000000.0,243000000.0,587000000.0,
NetIssuancePaymentsOfDebt,-181000000.0,541000000.0,30000000.0,
NetLongTermDebtIssuance,-181000000.0,541000000.0,30000000.0,
NetOtherInvestingChanges,111000000.0,-145000000.0,55000000.0,-123000000.0
NetPPEPurchaseAndSale,17000000.0,18000000.0,19000000.0,
OperatingCashFlow,645000000.0,275000000.0,742000000.0,1258000000.0
OtherCashAdjustmentInsideChangeinCash,-6000000.0,0.0,,
OtherNonCashItems,327000000.0,268000000.0,237000000.0,
PensionAndEmployeeBenefitExpense,37000000.0,72000000.0,77000000.0,
ProvisionandWriteOffofAssets,178000000.0,339000000.0,169000000.0,
RepaymentOfDebt,-481000000.0,-51000000.0,-770000000.0,
SaleOfPPE,17000000.0,18000000.0,19000000.0,
TaxesRefundPaid,-68000000.0,-98000000.0,-53000000.0,
