,LLY,LLY,LLY,LLY,LLY
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
BeginningCashPosition,7998200000.0,2337500000.0,3657100000.0,3818500000.0,3818500000.0
CapitalExpenditure,-1353500000.0,-2029100000.0,-1873200000.0,-2484000000.0,-2484000000.0
CashDividendsPaid,-2409800000.0,-2687100000.0,-3086800000.0,-3535800000.0,-3535800000.0
CashFlowFromContinuingFinancingActivities,-2324500000.0,-3137100000.0,-4131300000.0,-5406700000.0,-5406700000.0
CashFlowFromContinuingInvestingActivities,-8082900000.0,-2258900000.0,-2762300000.0,-3261600000.0,-3261600000.0
CashFlowFromContinuingOperatingActivities,4836600000.0,6499600000.0,7260700000.0,7084400000.0,7084400000.0
ChangeInAccountPayable,-477700000.0,1271300000.0,-664100000.0,1331700000.0,1331700000.0
ChangeInCashSupplementalAsReported,-5660700000.0,1319600000.0,161400000.0,-1751500000.0,-1751500000.0
ChangeInIncomeTaxPayable,-221300000.0,322000000.0,-359700000.0,346600000.0,346600000.0
ChangeInInventory,-258700000.0,-533400000.0,-235900000.0,-599700000.0,-599700000.0
ChangeInOtherCurrentAssets,-602300000.0,-457100000.0,1515400000.0,-793500000.0,-793500000.0
ChangeInPayable,-699000000.0,1593300000.0,-1023800000.0,1678300000.0,1678300000.0
ChangeInPayablesAndAccruedExpense,-699000000.0,1593300000.0,-1023800000.0,1678300000.0,1678300000.0
ChangeInReceivables,-127200000.0,-1350200000.0,-1278300000.0,-299600000.0,-299600000.0
ChangeInTaxPayable,-221300000.0,322000000.0,-359700000.0,346600000.0,346600000.0
ChangeInWorkingCapital,-1687200000.0,-747400000.0,-1022600000.0,-14500000.0,-14500000.0
ChangesInCash,-5570800000.0,1103600000.0,367100000.0,-1583900000.0,-1583900000.0
CommonStockDividendPaid,-2409800000.0,-2687100000.0,-3086800000.0,-3535800000.0,-3535800000.0
CommonStockPayments,-4400000000.0,-500000000.0,-1250000000.0,-1500000000.0,-1500000000.0
DeferredIncomeTax,62400000.0,-134500000.0,-802300000.0,-2185200000.0,-2185200000.0
DeferredTax,62400000.0,-134500000.0,-802300000.0,-2185200000.0,-2185200000.0
DepreciationAmortizationDepletion,1232600000.0,1323900000.0,1547600000.0,1522500000.0,1522500000.0
DepreciationAndAmortization,1232600000.0,1323900000.0,1547600000.0,1522500000.0,1522500000.0
EffectOfExchangeRateChanges,-89900000.0,216000000.0,-205700000.0,-167600000.0,-167600000.0
EndCashPosition,2337500000.0,3657100000.0,3818500000.0,2067000000.0,2067000000.0
FinancingCashFlow,-2324500000.0,-3137100000.0,-4131300000.0,-5406700000.0,-5406700000.0
FreeCashFlow,3483100000.0,4470500000.0,5387500000.0,4600400000.0,4600400000.0
GainLossOnSaleOfBusiness,-3990300000.0,,0.0,,
InvestingCashFlow,-8082900000.0,-2258900000.0,-2762300000.0,-3261600000.0,-3261600000.0
IssuanceOfDebt,6556400000.0,2062300000.0,2410800000.0,0.0,0.0
LongTermDebtIssuance,6556400000.0,2062300000.0,2410800000.0,0.0,0.0
LongTermDebtPayments,-2866400000.0,-276500000.0,-1905400000.0,-1560000000.0,-1560000000.0
NetBusinessPurchaseAndSale,-6936900000.0,-849300000.0,-747400000.0,-327200000.0,-327200000.0
NetCommonStockIssuance,-4400000000.0,-500000000.0,-1250000000.0,-1500000000.0,-1500000000.0
NetIncome,8318400000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetIncomeFromContinuingOperations,8318400000.0,6193700000.0,5581700000.0,6244800000.0,6244800000.0
NetIntangiblesPurchaseAndSale,-319600000.0,-641200000.0,-563400000.0,-629700000.0,-629700000.0
NetInvestmentPurchaseAndSale,456200000.0,516700000.0,-166000000.0,-244000000.0,-244000000.0
NetIssuancePaymentsOfDebt,4685400000.0,291600000.0,501400000.0,-62000000.0,-62000000.0
NetLongTermDebtIssuance,3690000000.0,1785800000.0,505400000.0,-1560000000.0,-1560000000.0
NetOtherFinancingCharges,-200100000.0,-241600000.0,-295900000.0,-308900000.0,-308900000.0
NetOtherInvestingChanges,-248700000.0,102800000.0,24300000.0,-206400000.0,-206400000.0
NetPPEPurchaseAndSale,-1033900000.0,-1387900000.0,-1309800000.0,-1854300000.0,-1854300000.0
NetShortTermDebtIssuance,995400000.0,-1494200000.0,-4000000.0,1498000000.0,1498000000.0
OperatingCashFlow,4836600000.0,6499600000.0,7260700000.0,7084400000.0,7084400000.0
OperatingGainsLosses,-3990300000.0,-1438500000.0,227200000.0,420000000.0,420000000.0
OtherNonCashItems,588300000.0,994300000.0,1386300000.0,725700000.0,725700000.0
PurchaseOfBusiness,-7291700000.0,-849300000.0,-747400000.0,-327200000.0,-327200000.0
PurchaseOfIntangibles,-319600000.0,-641200000.0,-563400000.0,-629700000.0,-629700000.0
PurchaseOfInvestment,-290200000.0,-370100000.0,-1013400000.0,-707600000.0,-707600000.0
PurchaseOfPPE,-1033900000.0,-1387900000.0,-1309800000.0,-1854300000.0,-1854300000.0
RepaymentOfDebt,-2866400000.0,-276500000.0,-1905400000.0,-1560000000.0,-1560000000.0
RepurchaseOfCapitalStock,-4400000000.0,-500000000.0,-1250000000.0,-1500000000.0,-1500000000.0
SaleOfBusiness,354800000.0,,0.0,,
SaleOfInvestment,746400000.0,886800000.0,847400000.0,463600000.0,463600000.0
StockBasedCompensation,312400000.0,308100000.0,342800000.0,371100000.0,371100000.0
