,MRK,MRK,MRK,MRK,MRK
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M,TTM
currencyCode,USD,USD,USD,USD,USD
AmortizationCashFlow,,1899000000.0,1636000000.0,2085000000.0,2085000000.0
AmortizationOfIntangibles,,1899000000.0,1636000000.0,2085000000.0,2085000000.0
AssetImpairmentCharge,1040000000.0,1718000000.0,302000000.0,1749000000.0,1749000000.0
BeginningCashPosition,7967000000.0,9934000000.0,8153000000.0,8167000000.0,8167000000.0
CapitalExpenditure,-3473000000.0,-4684000000.0,-4448000000.0,-4388000000.0,-4388000000.0
CapitalExpenditureReported,-3473000000.0,-4684000000.0,-4448000000.0,-4388000000.0,-4388000000.0
CashDividendsPaid,-5695000000.0,-6215000000.0,-6610000000.0,-7012000000.0,-7012000000.0
CashFlowFromContinuingFinancingActivities,-8861000000.0,-2832000000.0,3097000000.0,-9119000000.0,-9119000000.0
CashFlowFromContinuingInvestingActivities,-2629000000.0,-9443000000.0,-16421000000.0,-4960000000.0,-4960000000.0
CashFlowFromContinuingOperatingActivities,13440000000.0,10253000000.0,13122000000.0,19095000000.0,19095000000.0
CashFromDiscontinuedFinancingActivities,,,-504000000.0,0.0,0.0
CashFromDiscontinuedInvestingActivities,,,-134000000.0,0.0,0.0
CashFromDiscontinuedOperatingActivities,,,987000000.0,0.0,0.0
ChangeInAccountPayable,399000000.0,724000000.0,405000000.0,-289000000.0,-289000000.0
ChangeInAccruedExpense,376000000.0,-1138000000.0,277000000.0,-50000000.0,-50000000.0
ChangeInCashSupplementalAsReported,1967000000.0,-1769000000.0,14000000.0,4606000000.0,4606000000.0
ChangeInIncomeTaxPayable,-2359000000.0,560000000.0,-540000000.0,380000000.0,380000000.0
ChangeInInventory,-508000000.0,-855000000.0,-674000000.0,-161000000.0,-161000000.0
ChangeInOtherCurrentLiabilities,-237000000.0,-453000000.0,484000000.0,-545000000.0,-545000000.0
ChangeInOtherWorkingCapital,-32000000.0,-2426000000.0,-1758000000.0,-1473000000.0,-1473000000.0
ChangeInPayable,-1960000000.0,1284000000.0,-135000000.0,91000000.0,91000000.0
ChangeInPayablesAndAccruedExpense,-1584000000.0,146000000.0,142000000.0,41000000.0,41000000.0
ChangeInReceivables,294000000.0,-1002000000.0,-2033000000.0,-644000000.0,-644000000.0
ChangeInTaxPayable,-2359000000.0,560000000.0,-540000000.0,380000000.0,380000000.0
ChangeInWorkingCapital,-2067000000.0,-4590000000.0,-3839000000.0,-2782000000.0,-2782000000.0
ChangesInAccountReceivables,294000000.0,-1002000000.0,-2033000000.0,-644000000.0,-644000000.0
ChangesInCash,1950000000.0,-2022000000.0,147000000.0,5016000000.0,5016000000.0
CommonStockDividendPaid,-5695000000.0,-6215000000.0,,-7012000000.0,-7012000000.0
CommonStockPayments,-4780000000.0,-1281000000.0,-840000000.0,0.0,0.0
DeferredIncomeTax,-556000000.0,-668000000.0,187000000.0,-1568000000.0,-1568000000.0
DeferredTax,-556000000.0,-668000000.0,187000000.0,-1568000000.0,-1568000000.0
Depreciation,,1726000000.0,1578000000.0,1824000000.0,1824000000.0
DepreciationAmortizationDepletion,3652000000.0,3625000000.0,3214000000.0,3909000000.0,3909000000.0
DepreciationAndAmortization,3652000000.0,3625000000.0,3214000000.0,3909000000.0,3909000000.0
EffectOfExchangeRateChanges,17000000.0,253000000.0,-133000000.0,-410000000.0,-410000000.0
EndCashPosition,9934000000.0,8165000000.0,8167000000.0,12773000000.0,12773000000.0
FinancingCashFlow,-8861000000.0,-2832000000.0,2593000000.0,-9119000000.0,-9119000000.0
FreeCashFlow,9967000000.0,5569000000.0,9661000000.0,14707000000.0,14707000000.0
GainLossOnInvestmentSecurities,,,-1940000000.0,1419000000.0,1419000000.0
InvestingCashFlow,-2629000000.0,-9443000000.0,-16555000000.0,-4960000000.0,-4960000000.0
IssuanceOfDebt,4958000000.0,4419000000.0,7936000000.0,0.0,0.0
LongTermDebtIssuance,4958000000.0,4419000000.0,7936000000.0,0.0,0.0
LongTermDebtPayments,0.0,-1957000000.0,-2319000000.0,-2251000000.0,-2251000000.0
NetBusinessPurchaseAndSale,-4954000000.0,-6606000000.0,-12907000000.0,-121000000.0,-121000000.0
NetCommonStockIssuance,-4780000000.0,-1281000000.0,-840000000.0,0.0,0.0
NetIncome,9843000000.0,7067000000.0,13049000000.0,14519000000.0,14519000000.0
NetIncomeFromContinuingOperations,9777000000.0,7082000000.0,12358000000.0,14526000000.0,14526000000.0
NetInvestmentPurchaseAndSale,5420000000.0,1717000000.0,1025000000.0,-483000000.0,-483000000.0
NetIssuancePaymentsOfDebt,1248000000.0,5011000000.0,1631000000.0,-2251000000.0,-2251000000.0
NetLongTermDebtIssuance,4958000000.0,2462000000.0,5617000000.0,-2251000000.0,-2251000000.0
NetOtherFinancingCharges,5000000.0,-436000000.0,8714000000.0,-240000000.0,-240000000.0
NetOtherInvestingChanges,378000000.0,130000000.0,-91000000.0,32000000.0,32000000.0
NetShortTermDebtIssuance,-3710000000.0,2549000000.0,-3986000000.0,0.0,0.0
OperatingCashFlow,13440000000.0,10253000000.0,14109000000.0,19095000000.0,19095000000.0
OperatingGainsLosses,,,-1940000000.0,1419000000.0,1419000000.0
OtherCashAdjustmentOutsideChangeinCash,,,0.0,0.0,0.0
OtherNonCashItems,1177000000.0,2611000000.0,2361000000.0,1301000000.0,1301000000.0
ProceedsFromStockOptionExercised,361000000.0,89000000.0,202000000.0,384000000.0,384000000.0
ProvisionandWriteOffofAssets,0.0,,,,
PurchaseOfBusiness,-4954000000.0,-6606000000.0,-12907000000.0,-121000000.0,-121000000.0
PurchaseOfInvestment,-3202000000.0,-1095000000.0,-1000000.0,-1204000000.0,-1204000000.0
RepaymentOfDebt,0.0,-1957000000.0,-2319000000.0,-2251000000.0,-2251000000.0
RepurchaseOfCapitalStock,-4780000000.0,-1281000000.0,-840000000.0,0.0,0.0
SaleOfInvestment,8622000000.0,2812000000.0,1026000000.0,721000000.0,721000000.0
StockBasedCompensation,417000000.0,475000000.0,479000000.0,541000000.0,541000000.0
